run_id,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,seed_profile_id,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,precontact_end_tick,determinism_digest,A_precontact_ticks,A_v2_mean,A_v2_p10,A_v2_p90,A_fragmentation_mean,A_dispersion_mean,A_outlier_mass_mean,A_elongation_mean,A_dominant_v2_penalty,A_v3_mean,A_v3_p10,A_v3_p90,A_c_conn_mean,A_c_scale_mean,A_rho_mean,A_rho_lt_low_pct,A_rho_in_band_pct,A_rho_gt_high_pct,B_precontact_ticks,B_v2_mean,B_v2_p10,B_v2_p90,B_fragmentation_mean,B_dispersion_mean,B_outlier_mass_mean,B_elongation_mean,B_dominant_v2_penalty,B_v3_mean,B_v3_p10,B_v3_p90,B_c_conn_mean,B_c_scale_mean,B_rho_mean,B_rho_lt_low_pct,B_rho_in_band_pct,B_rho_gt_high_pct
FR2_MB2_PD5_reinhard_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,reinhard,1,112,119,131,136,100,18e7c58af0b29c31a202906c41d3770814c764928cdf2af5a417b0ab9c8378d2,100,0.021564299535506218,0.0072155466745085,0.04633952023771609,0.8234,0.4029691608549477,0.0,0.7862735378395506,fragmentation,0.17659999999999992,0.05,0.4,0.17659999999999992,1.0,0.469671648407445,0.0,100.0,0.0,100,0.032549998396873406,0.015245205794834472,0.05488836783481865,0.8267999999999998,0.3614620655670664,0.0,0.6069533092328645,fragmentation,0.17319999999999997,0.04000000000000001,0.36100000000000004,0.17319999999999997,1.0,0.4499866945602273,0.0,100.0,0.0
FR2_MB2_PD5_reinhard_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,reinhard,1,111,119,130,136,100,5d8289ac73ced79528766b9f2e7cf2fcf68df22ac25de0b3088117f49f074cec,100,0.022347672138793576,0.006887645539088871,0.05422228148471926,0.8270999999999996,0.4063171669012002,0.0,0.7621890286842816,fragmentation,0.17289999999999994,0.04000000000000001,0.4510000000000001,0.17289999999999994,1.0,0.46616266864181755,0.0,100.0,0.0,100,0.04124779911924542,0.01944018780158816,0.0694051135575335,0.8226999999999998,0.349472174564357,0.0,0.5003972942259973,fragmentation,0.17730000000000004,0.05,0.4510000000000001,0.17730000000000004,1.0,0.4447728183019089,0.0,100.0,0.0
FR2_MB2_PD5_kircheis_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,kircheis,2,111,119,130,135,100,6b181648d6854957ec5bca14aa3cd59d9c5b225af55b024a0cfd6d6d97cd05b7,100,0.022868179540406722,0.008390275976556838,0.04635807508944754,0.8133000000000004,0.40772036899105757,0.0,0.7845065343141024,fragmentation,0.18669999999999992,0.06,0.39,0.18669999999999992,1.0,0.4705142363465668,0.0,100.0,0.0,100,0.05028583435054397,0.02616444914093664,0.07183181518750412,0.7996999999999999,0.3460467874351747,0.0,0.4881946654672864,fragmentation,0.20029999999999987,0.06,0.4110000000000001,0.20029999999999987,1.0,0.4455489230010729,0.0,100.0,0.0
FR2_MB2_PD5_kircheis_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,kircheis,2,111,118,130,136,100,179218c17119f8b1a46a83da1ae3450f74faa82831e1a68df66d59ddcab63356,100,0.021516645601810085,0.008276477827882633,0.047061455193428074,0.8296000000000001,0.39893581477398116,0.0,0.773228621113103,fragmentation,0.17040000000000005,0.059000000000000004,0.40400000000000036,0.17040000000000005,1.0,0.46763017094095716,0.0,100.0,0.0,100,0.072225670193443,0.040094582950844226,0.10243325728578372,0.7548999999999999,0.3464938416777688,0.0,0.4219275975611246,fragmentation,0.2450999999999999,0.08000000000000002,0.5310000000000001,0.2450999999999999,1.0,0.43984632854574757,0.0,100.0,0.0
FR2_MB2_PD5_reuenthal_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,reuenthal,3,114,122,133,137,100,58ffc815e11c78bce5d25d32bb1e6102ca4ce6b00cfc5628fe3140a80502c490,100,0.021993201298277212,0.009253701135375903,0.03656127651611202,0.8145000000000003,0.4098794957707794,0.0,0.7967547372490046,fragmentation,0.18549999999999994,0.07900000000000001,0.32,0.18549999999999994,1.0,0.47215156916662215,0.0,100.0,0.0,100,0.01486614226783134,0.006682769615200889,0.022956361608121163,0.8854,0.4069761796321679,0.0,0.7691035306005755,fragmentation,0.1146,0.049,0.1910000000000001,0.1146,1.0,0.4690203994773798,0.0,100.0,0.0
FR2_MB2_PD5_reuenthal_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,2,5,reuenthal,3,114,122,133,137,100,2c9315eec1ffc9009736ad67ea7e45b42825b1f28f1bd708c313022a074c17d7,100,0.023572664589394884,0.007906493708883421,0.04942888113797919,0.8105000000000001,0.4062907110048788,0.0,0.7757062813507655,fragmentation,0.18949999999999992,0.05,0.42100000000000004,0.18949999999999992,1.0,0.46870015386227065,0.0,100.0,0.0,100,0.01644121558512175,0.007932601039482979,0.02849877191102065,0.8833999999999996,0.39570093215296587,0.0,0.7447614170882484,fragmentation,0.11659999999999997,0.04000000000000001,0.21,0.11659999999999997,1.0,0.4667423888747224,0.0,100.0,0.0
FR2_MB5_PD5_reinhard_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,reinhard,1,112,120,131,136,100,a4511a888b66f92037d8f39b3a6b4bc449c8b190e75c0abeb3a5cfd6e4215570,100,0.018092489913036965,0.008428701145587547,0.02876180232554301,0.8552000000000003,0.4105896118475048,0.0,0.7800404909481606,fragmentation,0.1448,0.06,0.24,0.1448,1.0,0.47252049180181893,0.0,100.0,0.0,100,0.032846488168178437,0.016542574657724064,0.04871277522721219,0.8394999999999999,0.35476512981125163,0.0,0.5821305049078939,fragmentation,0.1605000000000001,0.04000000000000001,0.34,0.1605000000000001,1.0,0.4488722084779424,0.0,100.0,0.0
FR2_MB5_PD5_reinhard_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,reinhard,1,111,119,130,136,100,1b7a8343d2aa8b7d87f51a686ec6ff99bdf3b55783c9619ee9668b8ccbca5b7a,100,0.01907808134394608,0.008533345416195449,0.03478035820963575,0.8533999999999999,0.40843939098208987,0.0,0.7647120446544773,fragmentation,0.14660000000000006,0.05,0.3,0.14660000000000006,1.0,0.46927082585611063,0.0,100.0,0.0,100,0.04153121332317054,0.022876684000388357,0.06302812071364808,0.8133000000000002,0.3592600833857407,0.0,0.528319313757611,fragmentation,0.18669999999999998,0.05,0.3880000000000007,0.18669999999999998,1.0,0.4458286691863254,0.0,100.0,0.0
FR2_MB5_PD5_kircheis_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,kircheis,2,111,119,130,136,100,aaa183d9d30ede09f2783641e61ab749d8382955bf9d2c712aa10a7e78eb5935,100,0.01750531829505676,0.00896426037545176,0.026654716190279145,0.8593000000000004,0.4045295587719195,0.0,0.7831323323853002,fragmentation,0.14070000000000002,0.06,0.23300000000000026,0.14070000000000002,1.0,0.47257323102223725,0.0,100.0,0.0,100,0.0492770302740168,0.024170920455220034,0.0819890146027177,0.8071999999999998,0.34567447806895757,0.0,0.5131174413724695,fragmentation,0.19279999999999997,0.07,0.38,0.19279999999999997,1.0,0.44584816583456793,0.0,100.0,0.0
FR2_MB5_PD5_kircheis_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,kircheis,2,110,118,129,135,100,0097b82212628198aea2626149da8412fe2c5cb34cd2d39555fa3177776cb563,100,0.018318544951917773,0.006131886714842627,0.03782681262552332,0.8610999999999998,0.40591056246492874,0.0,0.7458185203375274,fragmentation,0.1388999999999999,0.03900000000000001,0.32,0.1388999999999999,1.0,0.46646590495241325,0.0,100.0,0.0,100,0.06552564230803401,0.035552651084591436,0.09331144797825952,0.7686000000000003,0.3341665669669405,0.0,0.41872700611920144,fragmentation,0.23139999999999997,0.07,0.54,0.23139999999999997,1.0,0.44064746675416017,0.0,100.0,0.0
FR2_MB5_PD5_reuenthal_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,reuenthal,3,114,122,133,137,100,b37b42b20c2758701272e28365cc138370a089b810b1bd5de9ef753e8872c5d6,100,0.017933760267815922,0.008265784535704968,0.028141981155809723,0.8549000000000002,0.40823802376625823,0.0,0.7815971208841145,fragmentation,0.14509999999999998,0.06,0.24300000000000024,0.14509999999999998,1.0,0.471342746007823,0.0,100.0,0.0,100,0.015682510734137185,0.008715645673359486,0.025585202839217343,0.8800000000000004,0.4074411390917376,0.0,0.771066501440501,fragmentation,0.12000000000000005,0.06,0.21,0.12000000000000005,1.0,0.470054402819518,0.0,100.0,0.0
FR2_MB5_PD5_reuenthal_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,5,5,reuenthal,3,114,122,133,137,100,34963b1a647318a54b2ffa16cbedb432cec075e2ffe8f0138356643af23d7f75,100,0.018884069707333886,0.007918284642820118,0.031407849320213496,0.8472999999999999,0.4018921883246885,0.0,0.7820450172393181,fragmentation,0.15270000000000009,0.06,0.27,0.15270000000000009,1.0,0.4721319965720036,0.0,100.0,0.0,100,0.014999981920814172,0.0077121168907584026,0.025789250766820943,0.8930000000000006,0.4019656479146231,0.0,0.7442022313424266,fragmentation,0.10700000000000012,0.05,0.21100000000000008,0.10700000000000012,1.0,0.46648663874175034,0.0,100.0,0.0
FR2_MB8_PD5_reinhard_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,reinhard,1,112,120,131,137,100,e7c851bc92aebab6faf0507048442423d5591b09460fefae073e4d2ffdb8357d,100,0.018501610551758495,0.008669818331618496,0.031537481293820224,0.8561000000000001,0.40119760712598584,0.0,0.7715958013678716,fragmentation,0.14390000000000008,0.06,0.27400000000000035,0.14390000000000008,1.0,0.4740046568522487,0.0,100.0,0.0,100,0.033244685408734674,0.018548858134252943,0.05560652308624387,0.8327000000000004,0.3680748216864739,0.0,0.6054491958269848,fragmentation,0.1673,0.06,0.38,0.1673,1.0,0.4502071415037667,0.0,100.0,0.0
FR2_MB8_PD5_reinhard_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,reinhard,1,111,120,130,137,100,837f3e2e7f7f0ddeae5973dc613b54e75eb04f15a55c0a92945476b2c701821d,100,0.02450576832121814,0.011340017614376951,0.042957442023241456,0.8282,0.3814378927786737,0.0,0.7317852193866069,fragmentation,0.17180000000000004,0.05,0.36,0.17180000000000004,1.0,0.47073048951676005,0.0,100.0,0.0,100,0.0498369222158962,0.025099151814182652,0.07440959825531035,0.7944,0.3499934121304796,0.0,0.4717435915565942,fragmentation,0.20559999999999992,0.059000000000000004,0.4710000000000001,0.20559999999999992,1.0,0.4440004319276812,0.0,100.0,0.0
FR2_MB8_PD5_kircheis_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,kircheis,2,112,119,131,136,100,62aebfdacbbf0585fcdb8b3d868af2d96a96f4b95caf20ab495a1e1da47f5bf4,100,0.01773696123849168,0.009394071673312566,0.032063943164272635,0.8650000000000003,0.40443226810975447,0.0,0.7632605345785278,fragmentation,0.13500000000000006,0.06,0.27100000000000013,0.13500000000000006,1.0,0.4732726361078704,0.0,100.0,0.0,100,0.04398673005121015,0.02348484542773016,0.06999701778075967,0.8144000000000001,0.3441187416534524,0.0,0.4944402442671158,fragmentation,0.18559999999999988,0.05,0.3960000000000005,0.18559999999999988,1.0,0.4460307523907175,0.0,100.0,0.0
FR2_MB8_PD5_kircheis_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,kircheis,2,111,119,130,136,100,261d1718a15eefa06638cabb4ed78ea773331a25da8dc575cf2c14b8113fa224,100,0.01908677879797346,0.008061404245750525,0.03567876997237448,0.8643999999999992,0.391623393826169,0.0,0.7316313189632223,fragmentation,0.1355999999999999,0.04000000000000001,0.2820000000000002,0.1355999999999999,1.0,0.4701594917076436,0.0,100.0,0.0,100,0.06608852063998823,0.02485321101000403,0.10201015148597975,0.7605999999999998,0.336498247485929,0.0,0.4423082665217153,fragmentation,0.2393999999999998,0.06,0.55,0.2393999999999998,1.0,0.43922725962221393,0.0,100.0,0.0
FR2_MB8_PD5_reuenthal_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,reuenthal,3,114,122,133,138,100,3e29f3ba8014069c25931228f6b613c67a71d9a61345335985e18b6d64a43f7e,100,0.018115556574692045,0.00927413435229676,0.029052035715264504,0.8610000000000003,0.40190613985198653,0.0,0.7713707404457071,fragmentation,0.139,0.07,0.24100000000000008,0.139,1.0,0.47414537342870494,0.0,100.0,0.0,100,0.013326007634816036,0.006971790837403957,0.02231530320895262,0.8996000000000002,0.39780619597538,0.0,0.7686999729212362,fragmentation,0.10039999999999999,0.05,0.18100000000000008,0.10039999999999999,1.0,0.4692736815550144,0.0,100.0,0.0
FR2_MB8_PD5_reuenthal_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,2,8,5,reuenthal,3,114,122,133,138,100,05a87dfb3c873543007272d7bc77c629fcc096e3d2b96121d5c1292fa7e9667e,100,0.017731017297795245,0.0079155683065673,0.032788953277099665,0.8661,0.40608055132363374,0.0,0.7519741291303041,fragmentation,0.13390000000000005,0.04000000000000001,0.28,0.13390000000000005,1.0,0.4708162859718181,0.0,100.0,0.0,100,0.016724749169212377,0.0074906428515771895,0.029418746954504336,0.8791000000000005,0.39417848385646076,0.0,0.7537715135659994,fragmentation,0.1209,0.049,0.23300000000000026,0.1209,1.0,0.46743771162770487,0.0,100.0,0.0
