tick,v2_A_cohesion_v2,v2_A_fragmentation,v2_A_dispersion,v2_A_outlier_mass,v2_A_elongation,v2_A_c_v3,v2_A_c_conn,v2_A_c_scale,v2_A_rho,v2_B_cohesion_v2,v2_B_fragmentation,v2_B_dispersion,v2_B_outlier_mass,v2_B_elongation,v2_B_c_v3,v2_B_c_conn,v2_B_c_scale,v2_B_rho,v3_test_A_cohesion_v2,v3_test_A_fragmentation,v3_test_A_dispersion,v3_test_A_outlier_mass,v3_test_A_elongation,v3_test_A_c_v3,v3_test_A_c_conn,v3_test_A_c_scale,v3_test_A_rho,v3_test_B_cohesion_v2,v3_test_B_fragmentation,v3_test_B_dispersion,v3_test_B_outlier_mass,v3_test_B_elongation,v3_test_B_c_v3,v3_test_B_c_conn,v3_test_B_c_scale,v3_test_B_rho
33,0.038915954941318054,0.73,0.41653288744679084,0.0,0.752971224344402,0.27,0.27,1.0,0.45870227421545595,0.02079920981563088,0.88,0.4032632574043522,0.0,0.7095423557971898,0.12,0.12,1.0,0.4504257327389622,0.05779675337070167,0.76,0.35560205502023745,0.0,0.6262871295798129,0.24,0.24,1.0,0.4398169974599028,0.06339177858391476,0.76,0.34886405820318334,0.0,0.5943513576636003,0.24,0.24,1.0,0.4394417261443483
34,0.049265645354438004,0.6599999999999999,0.4174775686195441,0.0,0.75125600471481,0.34,0.34,1.0,0.45819274648647096,0.032168740401364415,0.8200000000000001,0.39496453066798,0.0,0.7046202520170726,0.18,0.18,1.0,0.4500902531479736,0.0818195889830301,0.6699999999999999,0.34722634484988557,0.0,0.6201774589441609,0.33,0.33,1.0,0.4397915037584997,0.06768038766527362,0.75,0.34449316470857105,0.0,0.5870042292682797,0.25,0.25,1.0,0.43978602996410976
35,0.033600859522512905,0.77,0.41812721995175384,0.0,0.7489301809855586,0.23,0.23,1.0,0.45804412512807335,0.012648406480281205,0.9299999999999999,0.396739324054899,0.0,0.7004752201628364,0.07,0.07,1.0,0.44946768225200245,0.04790900473321624,0.81,0.3474251162912675,0.0,0.6136034916673917,0.19,0.19,1.0,0.4400583944067997,0.05817500464193426,0.79,0.3407246146223517,0.0,0.5798055899363318,0.21,0.21,1.0,0.43972098579140767
36,0.04748365422576084,0.6799999999999999,0.41753807783348207,0.0,0.745242712341493,0.32,0.32,1.0,0.4575557598501921,0.034924433139915556,0.81,0.3938096099002433,0.0,0.6967738040695317,0.19,0.19,1.0,0.44948956548577595,0.051441528813838344,0.8,0.3461743696755979,0.0,0.6066112551421763,0.2,0.2,1.0,0.44005202764287266,0.05326678022071751,0.81,0.3446675808785249,0.0,0.5721995941819653,0.19,0.19,1.0,0.4396488887316156
37,0.0422513418687227,0.72,0.4146065454037081,0.0,0.7422286697154532,0.28,0.28,1.0,0.45747130774201217,0.03570526208559699,0.81,0.38806470527565085,0.0,0.692904734128616,0.19,0.19,1.0,0.4494279358133146,0.04686192205114348,0.8200000000000001,0.3476760837324979,0.0,0.6008976447086434,0.18,0.18,1.0,0.4404364285228124,0.06802130212205992,0.76,0.35120000508442417,0.0,0.5631595339144084,0.24,0.24,1.0,0.4395403655112669
38,0.03663395926108881,0.76,0.4146823172266322,0.0,0.7392159823397895,0.24,0.24,1.0,0.45712307379163075,0.024853016559159835,0.87,0.38479352596436367,0.0,0.6892473364251339,0.13,0.13,1.0,0.44971663611249274,0.04009402652558436,0.85,0.34246016239804755,0.0,0.5934945764725352,0.15,0.15,1.0,0.4402569980906873,0.05309993482559039,0.8200000000000001,0.3385756923737717,0.0,0.5539933526503364,0.18,0.18,1.0,0.439491972747033
39,0.021951918002824256,0.86,0.4056952615525725,0.0,0.7361632775880051,0.14,0.14,1.0,0.4569556819950889,0.03108143664069085,0.84,0.3831470669032403,0.0,0.6850805620245852,0.16,0.16,1.0,0.4497767869808255,0.053896223722786574,0.8,0.3471384261628194,0.0,0.5872308473754041,0.2,0.2,1.0,0.4408596632661478,0.06849232978293962,0.77,0.34528467144181163,0.0,0.545156917522472,0.23,0.23,1.0,0.439355753380324
40,0.053504499820357765,0.6599999999999999,0.4101903628664836,0.0,0.7331915824450906,0.34,0.34,1.0,0.45638203816044254,0.039509469640101824,0.8,0.37878891450981256,0.0,0.6819964214826784,0.2,0.2,1.0,0.4499211525635526,0.052125870269789654,0.81,0.3459342681240747,0.0,0.5805518126693197,0.19,0.19,1.0,0.44096460193018017,0.039703554896494575,0.87,0.3409850898443203,0.0,0.536562897082073,0.13,0.13,1.0,0.43941262463844755
41,0.04320245502446274,0.73,0.4072251562880894,0.0,0.7300676734504614,0.27,0.27,1.0,0.4560526258876241,0.016062587985416155,0.92,0.37800348560200014,0.0,0.6771969855618405,0.08,0.08,1.0,0.44967377724013413,0.019789549677400875,0.9299999999999999,0.3357468132416982,0.0,0.5743974463803885,0.07,0.07,1.0,0.44122930100191243,0.06505267782994817,0.79,0.34420430772878496,0.0,0.5276354206288778,0.21,0.21,1.0,0.43960507773839314
42,0.022583754559199032,0.86,0.4080465439326669,0.0,0.7274911888556349,0.14,0.14,1.0,0.4562495175169679,0.016278336179173403,0.92,0.37789352521867037,0.0,0.6729190090632147,0.08,0.08,1.0,0.44916866820361906,0.03164270736639807,0.89,0.3382198337569674,0.0,0.5653224579224951,0.11,0.11,1.0,0.44092822586202757,0.03822304318669267,0.88,0.3362430178807707,0.0,0.5201175001246318,0.12,0.12,1.0,0.44000097941226224
43,0.03731772468503314,0.77,0.40834246289389886,0.0,0.7257687653485394,0.23,0.23,1.0,0.45622049745494947,0.02069334454798255,0.9,0.3753772497755864,0.0,0.6687065186058638,0.1,0.1,1.0,0.4489386368268506,0.04360355927591486,0.85,0.34172383872624756,0.0,0.5584066197835797,0.15,0.15,1.0,0.44090337509368827,0.045523629704307345,0.86,0.33506371300913584,0.0,0.5109775327892986,0.14,0.14,1.0,0.4401749236228424
44,0.04751442701811359,0.71,0.4075362896145944,0.0,0.7234550421999404,0.29,0.29,1.0,0.45550122329832965,0.03776589580457834,0.8200000000000001,0.37585092364266615,0.0,0.6638454814799111,0.18,0.18,1.0,0.4486951300770655,0.014769161964847455,0.95,0.34145700142983604,0.0,0.5514594492109273,0.05,0.05,1.0,0.4407460827827882,0.06328801679556639,0.81,0.33090247853688115,0.0,0.5021729799395411,0.19,0.19,1.0,0.44017760801048045
45,0.020134094507947342,0.88,0.39993634237712283,0.0,0.7203894640708124,0.12,0.12,1.0,0.4549517287768727,0.01909941409695426,0.91,0.3780860538211418,0.0,0.6587699737362879,0.09,0.09,1.0,0.44826588040458193,0.03909289272811911,0.87,0.34076661094845007,0.0,0.5438420376739219,0.13,0.13,1.0,0.44065091616789065,0.027189826529430472,0.92,0.3279708336881748,0.0,0.4942588080170046,0.08,0.08,1.0,0.4402008918311049
46,0.020410028290471005,0.88,0.3980358409600179,0.0,0.7174523324469864,0.12,0.12,1.0,0.45483505279085373,0.023808373144584172,0.89,0.3754261604617227,0.0,0.6534601000582072,0.11,0.11,1.0,0.4478805026529259,0.021535109754960757,0.9299999999999999,0.3345092653569678,0.0,0.537717943983266,0.07,0.07,1.0,0.4410290468916049,0.05882363616808339,0.83,0.32734636147560336,0.0,0.485587575229521,0.17,0.17,1.0,0.440113808437223
47,0.020580821610210465,0.88,0.3998960359980893,0.0,0.7142047761057485,0.12,0.12,1.0,0.4543493710927594,0.035246109448864194,0.84,0.3716093148985702,0.0,0.6494407232980483,0.16,0.16,1.0,0.44794125996534523,0.018811315267548978,0.94,0.3337563972969517,0.0,0.5294184891925249,0.06,0.06,1.0,0.4408669669181406,0.03894539911782813,0.89,0.3214486314444497,0.0,0.47822803210459963,0.11,0.11,1.0,0.44026418900816766
48,0.040428514961512785,0.77,0.3933328691673632,0.0,0.7102593117821816,0.23,0.23,1.0,0.45369658373802474,0.02674871957227798,0.88,0.37305458252057266,0.0,0.6444570927213698,0.12,0.12,1.0,0.4477374971770448,0.03183105026832922,0.9,0.3345855114349714,0.0,0.5216357501175983,0.1,0.1,1.0,0.44093686521923414,0.0359779457577849,0.9,0.31796303596816944,0.0,0.47249272905821793,0.1,0.1,1.0,0.44079565845226804
49,0.02145455652097583,0.88,0.39049784846915503,0.0,0.7066655621164218,0.12,0.12,1.0,0.45341119217281145,0.022426093018671822,0.9,0.37724101510133523,0.0,0.639891297235624,0.1,0.1,1.0,0.44781617207916763,0.06133117392780607,0.81,0.33451900493153197,0.0,0.5149438456639919,0.19,0.19,1.0,0.44091342869243266,0.0655424717685803,0.8200000000000001,0.3187420814646621,0.0,0.46551103003451977,0.18,0.18,1.0,0.4411466794766953
50,0.02888266615814883,0.84,0.39167084048910594,0.0,0.7032582432287676,0.16,0.16,1.0,0.4531272456290455,0.030027609909531017,0.87,0.3659356466082757,0.0,0.6357126631498234,0.13,0.13,1.0,0.4479838434146853,0.03960154102045621,0.88,0.33079088672012735,0.0,0.5068614050700788,0.12,0.12,1.0,0.44087895763694823,0.033447270068103774,0.91,0.3161838982849826,0.0,0.4565259092934866,0.09,0.09,1.0,0.4412060192041226
51,0.02030370937593795,0.89,0.3854194959065249,0.0,0.6996663985995619,0.11,0.11,1.0,0.4527247882365808,0.03288438053285747,0.86,0.3622995678546549,0.0,0.6316633633329306,0.14,0.14,1.0,0.44816662857516887,0.03347845229116109,0.9,0.3311821408787098,0.0,0.4994384220668696,0.1,0.1,1.0,0.44134686413320445,0.034014804945578514,0.91,0.31571864850739584,0.0,0.44767999836806927,0.09,0.09,1.0,0.4413361280824343
52,0.026176839333650004,0.86,0.3845869217661524,0.0,0.6961757388250737,0.14,0.14,1.0,0.4521883643403979,0.023763296078777918,0.9,0.3635056666746894,0.0,0.6266534541693622,0.1,0.1,1.0,0.4484373403869767,0.03730459241916473,0.89,0.3322300679949516,0.0,0.4921414665410849,0.11,0.11,1.0,0.4414686837354306,0.01540963305025922,0.96,0.3138621875988,0.0,0.4385372452972721,0.04,0.04,1.0,0.44133397307472144
53,0.028412169954795563,0.85,0.3813165297736787,0.0,0.6938426910031814,0.15,0.15,1.0,0.45204344122091056,0.02934345260475557,0.88,0.3529683032816522,0.0,0.6220760544707287,0.12,0.12,1.0,0.4482763931266215,0.034305791856801715,0.9,0.33340664680648036,0.0,0.4853565266972837,0.1,0.1,1.0,0.4417633006380347,0.04705129159185084,0.88,0.3145120495210658,0.0,0.4280073102308949,0.12,0.12,1.0,0.4410492079231366
