runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,runs,first_contact_tick_mean,first_kill_tick_mean,cut_tick_mean,pocket_tick_mean,A_v2_mean_mean,A_fragmentation_mean_mean,A_dispersion_mean_mean,A_outlier_mass_mean_mean,A_elongation_mean_mean,A_v3_mean_mean,A_c_conn_mean_mean,A_c_scale_mean_mean,A_rho_mean_mean,A_rho_lt_low_pct_mean,A_rho_in_band_pct_mean,A_rho_gt_high_pct_mean,dominant_v2_penalty_fragmentation,dominant_v2_penalty_dispersion,dominant_v2_penalty_outlier_mass,dominant_v2_penalty_elongation,rho_driver_lt_low,rho_driver_in_band,rho_driver_gt_high
v2,2,2,5,3,112.33333333333333,120.0,131.33333333333334,136.0,0.022141893458063385,0.8170666666666668,0.40685634187226155,0.0,0.7891782698008858,0.18293333333333325,0.18293333333333325,1.0,0.470779151306878,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,2,5,5,3,112.33333333333333,120.33333333333333,131.33333333333334,136.33333333333334,0.01784385615863655,0.8564666666666669,0.4077857314618942,0.0,0.7815899814058583,0.14353333333333332,0.14353333333333332,1.0,0.47214548961062636,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,2,8,5,3,112.66666666666667,120.33333333333333,131.66666666666666,137.0,0.01811804278831407,0.8607000000000001,0.4025120050292423,0.0,0.7687423587973689,0.13930000000000006,0.13930000000000006,1.0,0.47380755546294134,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,5,2,5,3,111.0,119.0,158.33333333333334,136.0,0.036184139762719746,0.7602666666666668,0.38309137861176196,0.0,0.6923373655903725,0.23973333333333327,0.23973333333333327,1.0,0.45381161423311117,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,5,5,2,3,110.33333333333333,118.33333333333333,142.33333333333334,138.66666666666666,0.03994774554712053,0.7825666666666665,0.36481185958028844,0.0,0.5952858143707074,0.21743333333333317,0.21743333333333317,1.0,0.4491610821356293,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,5,5,5,3,111.33333333333333,119.66666666666667,152.0,135.66666666666666,0.035394675639411996,0.7769333333333334,0.37710898023154565,0.0,0.6670305460063822,0.22306666666666672,0.22306666666666672,1.0,0.45367957260123287,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,5,5,8,3,111.33333333333333,119.33333333333333,152.66666666666666,136.66666666666666,0.032646141504934396,0.7909333333333333,0.3754549523147357,0.0,0.674037209013922,0.20906666666666654,0.20906666666666654,1.0,0.4539609811430321,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,5,8,5,3,111.0,119.0,139.33333333333334,136.0,0.03277868878920192,0.8138333333333332,0.36291969342945957,0.0,0.6153314188210705,0.18616666666666662,0.18616666666666662,1.0,0.45225475767303447,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,8,2,5,3,109.33333333333333,117.66666666666667,128.33333333333334,136.0,0.061986296978259324,0.7175666666666668,0.35705145724039006,0.0,0.523695319632412,0.28243333333333326,0.28243333333333326,1.0,0.44494021296463376,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,8,5,5,3,109.33333333333333,117.66666666666667,128.33333333333334,149.0,0.06503155490357769,0.7326666666666667,0.35227243075157055,0.0,0.49305048423585324,0.26733333333333326,0.26733333333333326,1.0,0.4442960073611455,0.0,100.0,0.0,3,0,0,0,0,3,0
v2,8,8,5,3,109.33333333333333,117.66666666666667,128.33333333333334,154.0,0.06788903383315446,0.7474666666666665,0.3434798896695416,0.0,0.4745570922357536,0.25253333333333333,0.25253333333333333,1.0,0.44311490660191466,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,2,2,5,3,112.0,119.66666666666667,131.0,136.33333333333334,0.022478994109999515,0.8224,0.4038478975600201,0.0,0.77037464371605,0.17759999999999998,0.17759999999999998,1.0,0.4674976644816818,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,2,5,5,3,111.66666666666667,119.66666666666667,130.66666666666666,136.0,0.018760232001065913,0.8539333333333333,0.4054140472572357,0.0,0.7641918607437743,0.14606666666666668,0.14606666666666668,1.0,0.46928957579350916,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,2,8,5,3,112.0,120.33333333333333,131.0,137.0,0.020441188138995616,0.8528999999999997,0.3930472793094921,0.0,0.7384635558267112,0.14709999999999998,0.14709999999999998,1.0,0.4705687557320739,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,5,2,5,3,109.33333333333333,117.33333333333333,162.66666666666666,135.66666666666666,0.04236966122276788,0.7754333333333333,0.363832670523948,0.0,0.5644540323070286,0.2245666666666665,0.2245666666666665,1.0,0.44660536787615923,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,5,5,2,3,108.66666666666667,117.33333333333333,127.66666666666667,159.66666666666666,0.07747119681360665,0.7059333333333332,0.34532678787026666,0.0,0.46566726190629965,0.29406666666666664,0.29406666666666664,1.0,0.44035172259814576,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,5,5,5,3,109.66666666666667,117.66666666666667,128.66666666666666,156.0,0.045844593798083276,0.7804333333333332,0.3460768558871617,0.0,0.5191957758208096,0.2195666666666666,0.2195666666666666,1.0,0.44575678980522165,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,5,5,8,3,110.0,118.33333333333333,141.0,142.0,0.03782701270856417,0.7893999999999997,0.36621776538942646,0.0,0.601613784439332,0.21059999999999982,0.21059999999999982,1.0,0.4491934499221899,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,5,8,5,3,109.66666666666667,118.33333333333333,128.66666666666666,139.0,0.050520903560456944,0.7709666666666667,0.3422261552510861,0.0,0.4804273599461455,0.22903333333333328,0.22903333333333328,1.0,0.4458359179581716,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,8,2,5,3,107.66666666666667,116.0,126.66666666666667,141.66666666666666,0.0989822406914546,0.6567000000000001,0.35112824592222086,0.0,0.45806489322667704,0.3433,0.3433,1.0,0.43843767894832975,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,8,5,5,3,107.33333333333333,116.0,126.33333333333333,154.33333333333334,0.10122396978052606,0.648,0.35998642617897897,0.0,0.4642927004770893,0.3520000000000001,0.3520000000000001,1.0,0.4379459890438088,0.0,100.0,0.0,3,0,0,0,0,3,0
v3_test,8,8,5,3,107.66666666666667,116.33333333333333,126.66666666666667,149.66666666666666,0.10720380358236865,0.6381,0.3576161248991327,0.0,0.469702566866526,0.36190000000000005,0.36190000000000005,1.0,0.43731700252966793,0.0,100.0,0.0,3,0,0,0,0,3,0
