metric,value
determinism_pass,True
combat_logic_regression_pass,True
mirror_not_worsened,True
no_new_attractor_signal,True
boundary_penetration_count,0
max_boundary_band_consecutive_ticks,2
trapped_units_count,0
rpg_overhead_pct,17.638152645200677
tau,0.04991619821847638
outward_ratio,0.5
tangential_ratio,0.0
suppressed_ratio,0.0
p_return_overall,0.3185840707964602
mirror_soft_off_mean_abs_antisym_error,0.010684456143194536
mirror_soft_on_mean_abs_antisym_error,0.010459983625703972
