scene,aspect_ratio,mode,tick,physical_min_spacing,restore_strength,width_depth_ratio,front_extent_ratio,expected_position_rms_error,projection_pairs_count,corrected_unit_ratio,objective_reached_tick,final_tick
neutral_transit_v1,4.0,split_restore_0.25,50,1.0,0.25,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.25,100,1.0,0.25,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.25,200,1.0,0.25,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.25,300,1.0,0.25,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.25,443,1.0,0.25,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,1,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,20,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,50,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,100,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,200,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,300,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,4.0,split_restore_0.05_probe,443,1.0,0.05,4.750000,1.000000,0.000000,0,0.000000,423,443
