case_id,tick,side,enemy_cohesion_v2,enemy_cohesion_v1,collapse_threshold_theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability,N_alive_enemy,LCC_ratio_enemy,Q50_dist_enemy,Q90_dist_enemy,IQR_dist_enemy,lambda1_enemy,lambda2_enemy
FR2_MB2_PD2,0,A,0.004912299060015335,1.0,0.1111111111111111,0.955789308459862,True,0.96,0.39240946658945597,0.0,0.7978778967950073,0.9950877009399847,100,0.04,8.363013810822022,13.764226647639687,5.902642719522947,72.92104501388701,14.738954986112986
FR2_MB2_PD2,0,B,0.04052646724512632,1.0,0.1111111111111111,0.6352617947938631,True,0.6699999999999999,0.39240946658945464,0.0,0.7978778967950074,0.9594735327548737,100,0.33,8.363013810822027,13.764226647639667,5.902642719522941,72.921045013887,14.738954986112976
FR2_MB2_PD2,1,A,0.03546646368487416,1.0,0.1111111111111111,0.6808018268361326,True,0.71,0.4072944816465808,0.0,0.793661191180992,0.9645335363151258,100,0.29,8.189688955230853,13.817467024743465,5.777873767875331,71.26214538649977,14.704146192937532
FR2_MB2_PD2,1,B,0.10864958111885437,0.9966666666666666,0.1111111111111111,0.02215376993031065,True,0.09999999999999998,0.4036913120915968,0.0,0.7975515714483926,0.8913504188811456,100,0.9,8.359005639347547,14.017916909224278,5.7982668512361215,72.68834284962968,14.715640783928198
FR2_MB2_PD2,2,A,0.09090584200356677,1.0,0.1111111111111111,0.181847421967899,True,0.28,0.4167354513080481,0.0,0.7835319938834044,0.9090941579964332,100,0.72,7.937689920426393,13.609073169676977,6.125043161660005,67.35607129880574,14.580434453899947
FR2_MB2_PD2,2,B,0.03545634306501455,0.9933333333333332,0.1111111111111111,0.680892912414869,True,0.7,0.4075051642422216,0.0,0.8005251639610373,0.9645436569349854,100,0.3,8.309431151736486,14.02447861188535,6.039276640714675,73.81053211959059,14.72334379250412
FR2_MB2_PD2,3,A,0.08003475721243536,1.0,0.1111111111111111,0.2796871850880817,True,0.38,0.4184184088133057,0.0,0.7780391951176214,0.9199652427875646,100,0.62,7.813594644150073,13.435079037160964,6.039112964871634,65.98333812083965,14.645714838127923
FR2_MB2_PD2,3,B,0.04763188197582735,0.9899999999999998,0.1111111111111111,0.5713130622175538,True,0.5900000000000001,0.4132698021679434,0.0,0.8019953254127283,0.9523681180241726,100,0.41,8.23909805727341,14.042396467264734,5.997644176704756,74.10570183899713,14.673275377692203
FR2_MB2_PD2,4,A,0.0908097473347208,1.0,0.1111111111111111,0.18271227398751272,True,0.31000000000000005,0.427604088092587,0.0,0.7700746515955238,0.9091902526652792,100,0.69,7.710788848679291,13.47107603019977,5.789140194819972,64.37737294948116,14.801989904774587
FR2_MB2_PD2,4,B,0.07406823270092822,0.9866666666666664,0.1111111111111111,0.333385905691646,True,0.35,0.4229722758505642,0.0,0.802520533306842,0.9259317672990718,100,0.65,8.225907527148228,14.255653901681375,6.224467322754681,74.55573839568599,14.723227457294865
FR2_MB2_PD2,5,A,0.10727080539625966,1.0,0.1111111111111111,0.034562751433663,True,0.22999999999999998,0.4149003413778043,0.0,0.7618991359370931,0.8927291946037403,100,0.77,7.737237485916307,13.22379422359792,6.04236866726522,62.94640421166594,14.987593232450898
FR2_MB2_PD2,5,B,0.07247136724465064,0.983333333333333,0.1111111111111111,0.34775769479814417,True,0.37,0.419037657600119,0.0,0.8019941950348111,0.9275286327553494,100,0.63,8.24838902353746,14.197803233623407,6.066451189173541,74.36979278454018,14.725650685397376
FR2_MB2_PD2,6,A,0.1110477366837016,1.0,0.1111111111111111,0.0005703698466855145,True,0.20999999999999996,0.42549301711684606,0.0,0.7553262893509268,0.8889522633162984,100,0.79,7.646052349091191,13.30889367213711,6.021446612501018,62.01415919625151,15.173234443329449
