case_id,side,cohesion_v2_t0,cohesion_v2_t1,margin_t1,collapse_event_t1,dominant_component_t1,frag_t1,disp_t1,out_t1,elong_t1
FR2_MB2_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR2_MB2_PD2,B,0.04052646724512632,0.10864958111885437,0.02215376993031065,True,elong,0.09999999999999998,0.4036913120915968,0.0,0.7975515714483926
FR2_MB2_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR2_MB2_PD5,B,0.04052646724512632,0.10985912191680425,0.7528169756871904,True,elong,0.08999999999999997,0.4035775821729326,0.0,0.7975858951806034
FR2_MB2_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR2_MB2_PD8,B,0.04052646724512632,0.11106670958601339,0.8571999448179828,True,elong,0.07999999999999996,0.40356151470410007,0.0,0.7975907200677529
FR2_MB5_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR2_MB5_PD2,B,0.04052646724512632,0.10798050051931962,0.028175495326123345,True,elong,0.09999999999999998,0.4065265624177411,0.0,0.7978370617577548
FR2_MB5_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR2_MB5_PD5,B,0.04052646724512632,0.10918755070045094,0.7543280109239854,True,elong,0.08999999999999997,0.4063924267424631,0.0,0.7978692913356937
FR2_MB5_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR2_MB5_PD8,B,0.04052646724512632,0.10798871431935808,0.8611573673036824,True,elong,0.09999999999999998,0.40637346746823877,0.0,0.7978738250746523
FR2_MB8_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR2_MB8_PD2,B,0.04052646724512632,0.10955718398703718,0.013985344116665355,True,elong,0.07999999999999996,0.4097696205902879,0.0,0.7982416700455517
FR2_MB8_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR2_MB8_PD5,B,0.04052646724512632,0.10837960023746185,0.7561458994657109,True,elong,0.08999999999999997,0.4096122507702028,0.0,0.7982707772056905
FR2_MB8_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR2_MB8_PD8,B,0.04052646724512632,0.1083814834079162,0.8606523784755363,True,elong,0.08999999999999997,0.40959000330403306,0.0,0.798274873589545
FR5_MB2_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR5_MB2_PD2,B,0.04052646724512632,0.10597341277863359,0.046239284992297625,True,elong,0.14,0.40406827862478156,0.0,0.7932231258046758
