tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
0,A,0.004912299060015335,1.0,0.4444444444444444,0.9889473271149655,True,0.96,0.39240946658945597,0.0,0.7978778967950073,0.9950877009399847
0,B,0.04052646724512632,1.0,0.4444444444444444,0.9088154486984658,True,0.6699999999999999,0.39240946658945464,0.0,0.7978778967950074,0.9594735327548737
1,A,0.030555642515344372,1.0,0.4444444444444444,0.9312498043404751,True,0.75,0.4038379860132454,0.0,0.7949843042765671,0.9694443574846556
1,B,0.11449233937138736,1.0,0.4444444444444444,0.7423922364143785,True,0.07999999999999996,0.40964059153183907,0.0,0.7891992688118378,0.8855076606286126
2,A,0.08448811302287451,1.0,0.4444444444444444,0.8099017456985323,True,0.31000000000000005,0.4172753420683223,0.0,0.7898723883635315,0.9155118869771255
2,B,0.1050342124487671,1.0,0.4444444444444444,0.763673021990274,True,0.16000000000000003,0.4159100273080437,0.0,0.7859221439303488,0.8949657875512329
3,A,0.08870534700526223,1.0,0.4444444444444444,0.80041296923816,True,0.28,0.42206416866184915,0.0,0.7868243078900633,0.9112946529947378
3,B,0.10628012569252632,1.0,0.4444444444444444,0.7608697171918157,True,0.18000000000000005,0.4161980521454026,0.0,0.7779899333028424,0.8937198743074737
4,A,0.06700643434039821,1.0,0.4444444444444444,0.849235522734104,True,0.47,0.41998110701839886,0.0,0.7820291095094806,0.9329935656596018
4,B,0.11422341877123443,1.0,0.4444444444444444,0.7429973077647225,True,0.15000000000000002,0.4227647788864016,0.0,0.7671997692504028,0.8857765812287656
5,A,0.0565321957050382,1.0,0.4444444444444444,0.872802559663664,True,0.55,0.4311422654638166,0.0,0.7791590164996502,0.9434678042949618
5,B,0.08532956085849541,1.0,0.4444444444444444,0.8080084880683853,True,0.4,0.4241204514170658,0.0,0.753045693124353,0.9146704391415046
6,A,0.07064380917210766,1.0,0.4444444444444444,0.8410514293627578,True,0.45999999999999996,0.4216782060849841,0.0,0.7737905259429655,0.9293561908278923
6,B,0.08687525263245421,1.0,0.4444444444444444,0.804530681576978,True,0.4,0.43743988907867937,0.0,0.7426193487419027,0.9131247473675458
7,A,0.06236604992998196,1.0,0.4444444444444444,0.8596763876575406,True,0.53,0.42656955074982106,0.0,0.7685966564405642,0.937633950070018
7,B,0.10287277030034137,1.0,0.4444444444444444,0.7685362668242319,True,0.32999999999999996,0.4260745265379895,0.0,0.7324714526377822,0.8971272296996586
8,A,0.08193067994412451,1.0,0.4444444444444444,0.8156559701257199,True,0.39,0.4365017750635456,0.0,0.7616450520541006,0.9180693200558755
8,B,0.1123602966995968,1.0,0.4444444444444444,0.7471893324259072,True,0.29000000000000004,0.43493260189186056,0.0,0.719937940954734,0.8876397033004032
9,A,0.06731650619195739,1.0,0.4444444444444444,0.8485378610680958,True,0.51,0.44283327458121313,0.0,0.7534299544211199,0.9326834938080426
9,B,0.12086059692828532,1.0,0.4444444444444444,0.728063656911358,True,0.29000000000000004,0.4182297545346665,0.0,0.7073996235050091,0.8791394030717147
10,A,0.04921135055537795,1.0,0.4444444444444444,0.8892744612503996,True,0.6599999999999999,0.4304528286370449,0.0,0.745869572149786,0.950788649444622
10,B,0.12978965098464634,1.0,0.4444444444444444,0.7079732852845457,True,0.29000000000000004,0.39980275486416084,0.0,0.6954295828380298,0.8702103490153537
11,A,0.08632113268444808,1.0,0.4444444444444444,0.8057774514599918,True,0.43000000000000005,0.42663718189202415,0.0,0.7358730303498559,0.9136788673155519
11,B,0.10778158205754007,1.0,0.4444444444444444,0.7574914403705348,True,0.43999999999999995,0.3965929046173592,0.0,0.6810327351305243,0.8922184179424599
12,A,0.07766591824444324,1.0,0.4444444444444444,0.8252516839500027,True,0.51,0.41980807565011946,0.0,0.726811306196899,0.9223340817555568
12,B,0.14571986568822315,1.0,0.4444444444444444,0.6721303022014979,True,0.29000000000000004,0.388072635862203,0.0,0.6646019454655654,0.8542801343117769
13,A,0.09229038010269175,1.0,0.4444444444444444,0.7923466447689436,True,0.43999999999999995,0.4169840242232469,0.0,0.717324641123583,0.9077096198973083
13,B,0.11494946731271305,1.0,0.4444444444444444,0.7413636985463956,True,0.47,0.3834729964255469,0.0,0.6482136449416919,0.885050532687287
14,A,0.0886424167390446,1.0,0.4444444444444444,0.8005545623371496,True,0.49,0.40506864899354966,0.0,0.7078508974546343,0.9113575832609554
