case,fr,mobility_bias,determinism_pass,mb5_regression_case,alive_crossing,alive_crossing_tick,survivors_A,survivors_B,first_contact_tick,ffc_mean,ffc_p90,orbit_ratio,mean_radial_closure_rate,tangential_share,parallel_share,tangential_dominant_ratio,mirror_abs_antisym_error,jitter_count,no_new_attractor_proxy,runtime_overhead_ratio_vs_baseline,elapsed_seconds,digest
FR2_MB2,2.0,2.0,True,False,False,,37,31,107,0.2163625736793977,0.2695833333333334,0.27117256623483343,0.16248185549077973,0.2537874697617829,0.9358891767171051,0.04323649568769859,0.013213981244671782,4515,True,0.10326134901841622,6.555566799943335,46759cda72b253661812f26c6715867b441497efe6cdbd151a9f630c72a8327c
FR2_MB5,2.0,5.0,True,False,False,,31,40,107,0.23526899806745527,0.3262976694915255,0.30688453587601533,0.18307330956388812,0.28335728463631066,0.9233351684777954,0.04762804048949992,0.32079041412655035,4048,True,0.1844379382161676,7.03791720001027,3af97afde77b46ae7e8643cf90ff3719b30aa068b01667fea40c0ac93f168aef
FR2_MB8,2.0,8.0,True,False,True,182,25,30,108,0.2076574979538346,0.3057675244010648,0.33280485448785513,0.20494135784287298,0.3033061932412196,0.9113634886966109,0.07267165474763342,0.03636363636363635,5847,True,0.059435131919916895,6.295151900034398,5d342dae9866a14e0db20b5b9aecd600e43577a590828be1ac3fb0b69323df40
FR5_MB2,5.0,2.0,True,False,False,,30,20,104,0.22688331254631197,0.3,0.32973691583608505,0.27064568171914466,0.3006222983525746,0.9117034942548453,0.08358742936130423,0.2833333333333333,6391,True,0.1009115466350956,6.541604300029576,3d0d8f4ad29a7774c06ab625aafdc339143eeb1d2d0eb1bb523a3fe6c56cac34
FR5_MB5,5.0,5.0,True,True,True,161,26,24,105,0.2229355794285452,0.30981717011128773,0.36160752942727076,0.2891535629370485,0.325550777847584,0.900287608400204,0.09541330434419032,0.08,6207,True,0.0,5.941988999955356,cb568a5097bcc8cea510f0cf08275ef9634a34ebb486661d27c04ad0a9d56d5d
FR5_MB8,5.0,8.0,True,False,False,,27,24,102,0.22810891481306642,0.35566583953680736,0.4036634314701378,0.3125712027345185,0.3558366726456447,0.881518227573133,0.11963448358783216,0.08932461873638343,7230,True,0.056456533326920244,6.27745309995953,18bf2644e525c01813702fdbfc3eab8df26017675d745b4ffdc4b58fa1330e1a
FR8_MB2,8.0,2.0,True,False,False,,15,34,99,0.24215573655537567,0.3184782608695652,0.3968105921227404,0.38169272165234164,0.34987016641348334,0.8817057139071087,0.11570999367488931,0.2723704866562009,8100,True,0.05294311384022654,6.256576400017366,efe95c779aad3c443a93f353a1b9a4b85e8e381e2b7a6d9121d8dfd71e82b8ec
FR8_MB5,8.0,5.0,True,False,True,153,30,25,101,0.2448288102370356,0.36864041391204366,0.41333768475217,0.3500612400830931,0.3605319749433042,0.8722455954130407,0.14617099248177112,0.4780058651026393,7070,True,0.1100792007666147,6.5960784000344574,8cf22882a899e5b6101eeeb6c3b609c2b011f722313b6292c07afc8fe5489b19
FR8_MB8,8.0,8.0,True,False,False,,25,32,99,0.2541259265154879,0.3783783783783784,0.43006869051642543,0.3793362999293083,0.3704011573130458,0.8612604578777148,0.16495035618056325,0.27534939042521556,7407,True,0.12129066546772616,6.66269679996185,7622186fabb1d8c2ce28bbf62b8b456fb3039fd8b43d7fa8d16a63d977d42512
