tick,side,split_separation,angle_coverage,split_cond,env_cond,in_contact_count,sustain_split_geom,sustain_split_tactical,sustain_env_geom,sustain_env_tactical,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
0,A,1.7233266161234584,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
0,B,1.7233266161234586,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
1,A,1.7157626093767302,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
1,B,1.7146320708166276,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
2,A,1.71935589127938,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
2,B,1.7129353291442475,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
3,A,1.7126036821915729,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
3,B,1.7128212478103502,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
4,A,1.7150148778304461,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
4,B,1.715975490328245,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
5,A,1.7123638324915982,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
5,B,1.7154661105457092,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
6,A,1.710439573163511,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
6,B,1.7131046926865126,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,A,1.713609032624832,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,B,1.7095515373054953,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,A,1.7070141632347766,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,B,1.7048099162366046,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,A,1.702715613749012,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,B,1.7025466851363467,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,A,1.699239809632339,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,B,1.6985232336036122,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,A,1.6993142079928785,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,B,1.6889499277418794,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,A,1.697176305108598,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,B,1.6886187108081776,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,A,1.6976002530930505,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,B,1.6871218834994979,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,A,1.6938973821656178,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,B,1.6871794987084596,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,A,1.6991620260661762,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,B,1.68630330832764,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,A,1.7056700792086166,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,B,1.6865366464394105,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,A,1.6986664724171066,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,B,1.6867443376659146,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,A,1.6975547110488838,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,B,1.6889611528286879,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,A,1.6986621135318263,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,B,1.68444705365308,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,A,1.6933708482640224,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,B,1.6865111941897404,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,A,1.6934771405142883,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,B,1.683777968511279,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,A,1.6952581775399236,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,B,1.6901573161266292,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,A,1.701091617203477,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,B,1.6926764346078147,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,A,1.7017124009031346,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,B,1.687827641360474,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,A,1.699930421091404,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,B,1.6898392491852088,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,A,1.702720065618436,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,B,1.6898390749789205,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,A,1.7012350542969874,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,B,1.6867386794171826,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,A,1.6970088114244644,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,B,1.6880413343461427,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,A,1.69532150900261,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,B,1.6894133558052296,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,A,1.6948788785152686,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,B,1.6854734777709153,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,A,1.6971402953580306,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,B,1.6865050298315318,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,A,1.6922359754310152,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,B,1.6863522025129414,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,A,1.691394319303659,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,B,1.6865429631918816,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,A,1.6884758789516388,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,B,1.6861185811088968,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,A,1.6919547044135141,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,B,1.6882059264542955,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,A,1.696245939648783,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,B,1.6929938802022924,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,A,1.6924623386209405,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,B,1.6840762238571083,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,A,1.6924812071369706,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,B,1.6884731139040654,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,A,1.698468841097035,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,B,1.6843173482881246,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,A,1.6943665910736838,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,B,1.6800534764168604,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
