run_id,cell_FR,cell_MB,cell_PD,movement_model,runtime_decision_source_effective,opponent_archetype_name,opponent_archetype_index,injected_test_persona_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,ar_p90_A,ar_p99_A,wedge_p50_A,split_p90_A,determinism_digest
doe_3b1_FR8_MB2_PD5_vs_muller_v3a,8,2,5,v3a,v2,muller,6,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 3.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,474,0,11,105,113,124,217,2.2953395762604334,1079291862.2770066,0.9620838166426022,1.8314197821137395,be66c18bb3ff450b7ae9e968898ce9ccd0bf62db6b29286a829dbacef51c805c
doe_3b1_FR8_MB2_PD5_vs_muller_v3b1,8,2,5,v3b1,v2,muller,6,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 3.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,394,30,0,102,112,186,187,2.2251933515887212,2.5772299119380695,0.82144780339679,1.9027817648003507,05de416174f4ff85156649cc444437c863bb29faf12d9c50a93259a85f61302c
doe_3b1_FR8_MB5_PD5_vs_reinhard_v3a,8,5,5,v3a,v2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,492,8,0,105,114,124,177,2.1294883743313844,2.3475022473299894,0.9694855194318126,1.8083499540779915,9fd50a75cd55759a9b25b9ba4bf704b97c3f4bc9b21d9faaa139ce023ef43d85
doe_3b1_FR8_MB5_PD5_vs_reinhard_v3b1,8,5,5,v3b1,v2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,509,0,8,105,114,417,174,2.2593273565653393,892070554.2467952,0.9713141770062667,1.8945255144251738,76252e837f4812109577036fd84095726d0c7e50059078eac7bf48428110b1a1
doe_3b1_FR8_MB5_PD5_vs_kircheis_v3a,8,5,5,v3a,v2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,583,3,0,104,114,292,204,2.3003691820365244,8.563257432796167,0.9096977136394039,1.9400674119861088,4c76ed0286fe4c609269ef10c45dcca137f9bdfbfe9cceaba094604833a623aa
doe_3b1_FR8_MB5_PD5_vs_kircheis_v3b1,8,5,5,v3b1,v2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,471,11,0,105,114,279,168,2.1239086017352022,2.4390289489699732,0.9711475541164496,1.8093625100025434,5dc7e676f3164d7d89d6ac2345737b707cedf214ed8763dfc16dc42407fa0659
doe_3b1_FR8_MB5_PD5_vs_reuenthal_v3a,8,5,5,v3a,v2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,456,12,0,109,117,138,137,2.033909556606372,2.3664776286965368,0.880604998115436,1.783589145830892,2772e1d263ab267afb15aabb10c3f9f7d8139ab9e24e2ae749b9f6a6ab2a427a
doe_3b1_FR8_MB5_PD5_vs_reuenthal_v3b1,8,5,5,v3b1,v2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,536,6,0,109,117,135,143,2.0840308977392583,2.3034536357748765,0.8515053010018565,1.8401117922088606,84ca67357e85593dba525884e4c7e2b3c8f789900b32eebfbff773dad053f8af
doe_3b1_FR8_MB5_PD5_vs_mittermeyer_v3a,8,5,5,v3a,v2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,502,7,0,107,115,126,167,1.9620634833188573,2.1880069577558485,0.8107870540116054,1.8006213364857768,af2753f551530683ba268cbb6ff2ec78701d56eb859b695c08429a14a894005e
doe_3b1_FR8_MB5_PD5_vs_mittermeyer_v3b1,8,5,5,v3b1,v2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,499,0,9,107,115,170,185,2.1834286225598385,958695618.037187,0.8306548747855517,1.8248793962163354,a814d540af23970af3e19211f9dd54e38efa1015e9f5346005e689e08c66cecd
