movement_model,cell_FR,cell_MB,cell_PD,n_runs,win_rate_A,end_tick_mean,ar_p90_A_mean,ar_p99_A_mean,wedge_p50_A_mean,cut_tick_T_mean
v3a,8,2,5,6,0.6666666666666666,452.8333333333333,2.1100688391275835,341770098.8924386,0.9471340513923088,153.83333333333334
v3a,8,5,5,6,0.8333333333333334,490.3333333333333,2.1048503445621773,308793932.28109944,0.8976451216618105,154.5
v3a,8,8,5,6,0.3333333333333333,466.6666666666667,2.1415183198350554,455594652.79025716,0.9335238115509176,219.0
v3b1,8,2,5,6,0.8333333333333334,419.6666666666667,2.164004032514321,18773555.446199086,0.9263442787504527,212.83333333333334
v3b1,8,5,5,6,0.3333333333333333,469.5,2.2243205141144173,517939549.2132554,0.9197372570768696,260.5
v3b1,8,8,5,6,0.5,445.3333333333333,2.1191213925749195,193942045.02709737,0.8905377960917727,247.0
