tick,max_projection_displacement,mean_projection_displacement,projection_pairs_count,collision_pairs_count,outlier_count_A,outlier_count_B,max_outlier_persistence_A,max_outlier_persistence_B,in_contact_count,frontline_width,frontline_width_std,persistent_outlier_unit_ids
213,2.180202,0.513716,224,224,2,3,82,22,95,27.058624,4.213769,A22|A8|B5
214,2.101883,0.569283,228,228,2,2,83,23,95,27.095726,4.299896,A22|A8|B5
215,1.506802,0.465810,254,254,2,2,84,24,94,26.402441,4.173881,A22|A8|B5
216,1.783435,0.502502,244,244,2,1,85,25,93,25.967689,4.163512,A22|A8|B5
217,2.036145,0.507989,262,262,2,1,86,26,92,24.924648,4.130306,A22|A8|B5
218,2.675692,0.626171,271,271,2,1,87,27,92,23.415198,4.060608,A22|A8|B5
219,1.450544,0.505360,228,228,2,1,88,28,91,23.300017,3.998029,A22|A8|B5
220,1.876153,0.490773,221,221,2,1,89,29,90,21.846393,3.834017,A22|A8|B5
221,1.195004,0.451917,218,218,2,1,90,30,90,16.511716,3.775564,A22|A8|B5
222,1.657374,0.455780,228,228,2,1,91,31,89,17.223445,3.635583,A22|A8|B5
223,2.414556,0.534044,222,222,2,1,92,32,88,15.964772,3.671440,A22|A8|B5
224,1.868612,0.518843,233,233,2,1,93,33,88,16.179948,3.634041,A22|A8|B5
225,1.853024,0.457917,224,224,2,1,94,34,87,16.212057,3.484395,A22|A8|B5
226,1.586452,0.445693,225,225,2,0,95,0,86,16.518944,3.559822,A22|A8
227,1.541531,0.525880,228,228,2,0,96,0,86,19.953327,3.878912,A22|A8
228,1.561909,0.467014,207,207,2,0,97,0,85,22.150057,3.978548,A22|A8
