case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,7,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9416522912,3.2000000000,3.1066436658,100,100,1.0000000000,9.0700986057,20.0000000000,19.4165229115,0.4535049303,0.4671330004,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,8,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9183043149,3.2000000000,3.0692869039,100,100,1.0000000000,9.1671323713,20.0000000000,19.1830431491,0.4583566186,0.4778768572,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,8,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9387772336,3.2000000000,3.1020435737,100,100,1.0000000000,9.0728081229,20.0000000000,19.3877723357,0.4536404061,0.4679654767,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,9,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9396561565,3.2000000000,3.1034498505,100,100,1.0000000000,9.1405860865,20.0000000000,19.3965615654,0.4570293043,0.4712477547,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,9,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9588772868,3.2000000000,3.1342036589,100,100,1.0000000000,9.0714619612,20.0000000000,19.5887728683,0.4535730981,0.4630949586,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,10,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9646148701,3.2000000000,3.1433837921,100,100,1.0000000000,9.1097861713,20.0000000000,19.6461487006,0.4554893086,0.4636932312,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,10,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9333292964,3.2000000000,3.0933268742,100,100,1.0000000000,9.0540071842,20.0000000000,19.3332929635,0.4527003592,0.4683116943,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,11,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9604758806,3.2000000000,3.1367614089,100,100,1.0000000000,9.0739753148,20.0000000000,19.6047588055,0.4536987657,0.4628455471,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,11,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9636815940,3.2000000000,3.1418905505,100,100,1.0000000000,9.0299996260,20.0000000000,19.6368159404,0.4514999813,0.4598504999,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,12,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9520702848,3.2000000000,3.1233124557,100,100,1.0000000000,9.0516367099,20.0000000000,19.5207028481,0.4525818355,0.4636942010,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
