tick,cohesion_v1_A,cohesion_v2_A,cohesion_v1_B,cohesion_v2_B
1,1.0,0.04052646724512632,1.0,0.004912299060015335
2,1.0,0.1082295679350952,1.0,0.040756852368048824
3,1.0,0.09923771567843498,1.0,0.10155974959467484
4,1.0,0.08325349749874122,1.0,0.09883541424491171
5,1.0,0.11049211587196694,1.0,0.09506437920926714
6,1.0,0.11964987805071847,1.0,0.09620916528388512
7,1.0,0.13760897685830586,1.0,0.10338336800516101
8,1.0,0.14472798169675483,1.0,0.10096429828104048
9,1.0,0.15583240434686985,1.0,0.12061529909533464
10,1.0,0.17097530397494964,1.0,0.1299317420275108
11,1.0,0.19381674399769588,1.0,0.1363838651045356
12,1.0,0.21260787308889584,1.0,0.15311282224785727
13,1.0,0.23307384750267213,1.0,0.15419586071817115
14,1.0,0.26980932464642626,1.0,0.1636571148261049
15,1.0,0.27323766487242374,1.0,0.16269142830537864
16,1.0,0.28826380203229507,1.0,0.16130371615912587
17,1.0,0.33871839030776474,1.0,0.15328856660660883
18,1.0,0.3803619602035846,1.0,0.16446599955813812
19,1.0,0.40550522278234646,1.0,0.22360244739416602
20,1.0,0.39188194334462745,1.0,0.23432552710280563
21,1.0,0.4493465530497964,1.0,0.22232420231512018
22,1.0,0.4580120298423638,1.0,0.26520613953315886
23,1.0,0.47299637602417555,1.0,0.25272937882457824
24,1.0,0.47541543055183577,1.0,0.2618894719623195
25,1.0,0.42609140539292234,1.0,0.2977549628380063
26,1.0,0.4227566802721494,1.0,0.3203221624677639
27,1.0,0.3364565508087868,1.0,0.35006741738393565
28,1.0,0.3625577682779644,1.0,0.35397464748627105
29,1.0,0.317047935232593,1.0,0.3557294570438674
30,1.0,0.334507844715354,1.0,0.386169639781931
31,1.0,0.29705090839102266,1.0,0.40230951150158223
32,1.0,0.29928852356735736,1.0,0.41521860005836786
33,1.0,0.29355808673667017,1.0,0.4314671948258082
34,1.0,0.2679938320689411,1.0,0.3675533499527188
35,1.0,0.26781823759883117,1.0,0.33306512270618405
36,1.0,0.24792785885211388,1.0,0.36938188607778855
37,1.0,0.2205141207402025,1.0,0.33433550712737037
