tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
48,A,0.6200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
48,B,0.6600000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
49,A,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
49,B,0.8000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
50,A,0.6800000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
50,B,0.7300000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
51,A,0.6300000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
51,B,0.7300000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
52,A,0.7300000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
52,B,0.7900000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
53,A,0.7200000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
53,B,0.6600000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
54,A,0.7300000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
54,B,0.6700000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
55,A,0.7000000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
55,B,0.7000000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
56,A,0.6900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
56,B,0.7600000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
57,A,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
57,B,0.7500000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
58,A,0.7500000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
58,B,0.7200000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
59,A,0.5900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
59,B,0.7300000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
60,A,0.6500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
60,B,0.6900000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
61,A,0.6900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
61,B,0.7500000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
62,A,0.7500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
62,B,0.7400000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
63,A,0.6500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
63,B,0.7800000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
64,A,0.7700000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
64,B,0.6900000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
65,A,0.6900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
65,B,0.7600000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
66,A,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
66,B,0.8200000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
67,A,0.7700000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
67,B,0.6600000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
68,A,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
68,B,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
69,A,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
