batch_name,run_id,movement_model,archetype_id,formation_rigidity,mobility_bias,offense_defense_weight,force_concentration_ratio,risk_appetite,time_preference,targeting_logic,perception_radius,pursuit_drive,retreat_threshold,objective_x,objective_y,origin_x,origin_y,facing_angle_deg,fleet_size,aspect_ratio,stop_radius,random_seed_effective,metatype_random_seed_effective,background_map_seed_effective,boundary_enabled,observer_enabled,objective_reached,objective_reached_tick,final_tick,initial_distance,final_distance,min_distance,final_rms_radius_ratio,max_rms_radius_ratio,mean_corrected_unit_ratio,peak_corrected_unit_ratio,peak_projection_pairs_count,peak_projection_mean_displacement,peak_projection_max_displacement
batch03_of07,neutral_transit_fixture_fr3_mb7_odw1_obj150_150,v3a,lobos,3.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,161,171,141.4213562373095,0.2255686911642426,0.21760770379945954,0.689219496278629,0.9891357242473201,0.8794152046783625,1.0,115,0.47511097737741936,0.9771099661393371
batch03_of07,neutral_transit_fixture_fr3_mb7_odw3_obj150_150,v3a,lobos,3.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,155,165,141.4213562373095,0.5131272289121499,0.4078463663860756,0.6941161860896111,0.9895869624227643,0.8693939393939393,1.0,111,0.4155361643672329,0.8698877815817635
batch03_of07,neutral_transit_fixture_fr3_mb7_odw5_obj150_150,v3a,lobos,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,150,160,141.4213562373095,0.6754145182385114,0.2665062692379385,0.6637836285951629,0.9907465251061893,0.8881875000000001,1.0,110,0.3434423776012756,0.7383261297623827
batch03_of07,neutral_transit_fixture_fr3_mb7_odw7_obj150_150,v3a,lobos,3.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,147,157,141.4213562373095,0.6424941390525766,0.32626894226790637,0.6597685868293626,0.9918480434829748,0.8945222929936305,0.98,120,0.29000189749335137,0.5948846754101872
batch03_of07,neutral_transit_fixture_fr3_mb7_odw9_obj150_150,v3a,lobos,3.0,7.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,145,155,141.4213562373095,0.07216689080544425,0.06288762659920641,0.656365584319924,0.9924333556431559,0.8963225806451613,0.98,108,0.2644898895993577,0.5841846247216352
batch03_of07,neutral_transit_fixture_fr3_mb9_odw1_obj150_150,v3a,lobos,3.0,9.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,168,178,141.4213562373095,0.1597161201429431,0.13003692110776563,0.6857422776372308,0.9896997730199514,0.8764044943820225,0.98,116,0.5273712156503698,1.2369361965738768
batch03_of07,neutral_transit_fixture_fr3_mb9_odw3_obj150_150,v3a,lobos,3.0,9.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,161,171,141.4213562373095,0.5076618995974376,0.3828440122640656,0.7042570614362753,0.9898028870082078,0.870233918128655,0.98,114,0.47279652843305753,0.9943973408404289
batch03_of07,neutral_transit_fixture_fr3_mb9_odw5_obj150_150,v3a,lobos,3.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,153,163,141.4213562373095,0.23286386603491172,0.19688976161203567,0.6995153472949985,0.9904362158700292,0.8684049079754602,1.0,109,0.39635098730071305,0.8477466447303235
batch03_of07,neutral_transit_fixture_fr3_mb9_odw7_obj150_150,v3a,lobos,3.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,149,159,141.4213562373095,0.20409016613710682,0.18525086881972322,0.6763925453239477,0.9913208309963711,0.8749685534591195,0.98,107,0.34012350080891074,0.6473509804267881
batch03_of07,neutral_transit_fixture_fr3_mb9_odw9_obj150_150,v3a,lobos,3.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,148,158,141.4213562373095,0.5838628890845966,0.3714651372913341,0.6745247690726186,0.9918362180614532,0.8825316455696203,1.0,111,0.31241942790946586,0.6831931685329259
batch03_of07,neutral_transit_fixture_fr5_mb1_odw1_obj150_150,v3a,lobos,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,150,160,141.4213562373095,0.4939011480674652,0.42988959612041844,0.6246949661142639,0.9816813505133207,0.9496874999999999,1.0,171,0.3028416772550895,1.0721801800767055
batch03_of07,neutral_transit_fixture_fr5_mb1_odw3_obj150_150,v3a,lobos,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,147,157,141.4213562373095,0.4482029211774405,0.4265793912927124,0.6438182254359938,0.9841489411945982,0.9487898089171976,1.0,164,0.2568557577316867,0.8069724813416318
batch03_of07,neutral_transit_fixture_fr5_mb1_odw5_obj150_150,v3a,lobos,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.3965845388919735,0.3965845388919735,0.637476130767525,0.9871982429769844,0.9552597402597401,1.0,162,0.20672884867975794,0.7204103138585245
batch03_of07,neutral_transit_fixture_fr5_mb1_odw7_obj150_150,v3a,lobos,5.0,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,143,153,141.4213562373095,0.6509689685067088,0.3280046943610614,0.629437511949677,0.9893397907338725,0.9513725490196079,1.0,162,0.18419869189501678,0.6133562844883244
batch03_of07,neutral_transit_fixture_fr5_mb1_odw9_obj150_150,v3a,lobos,5.0,1.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.10494445114241276,0.09976975028352197,0.6280319647178739,0.9903310957337579,0.9651973684210526,1.0,162,0.16624276288464665,0.5616723046777153
batch03_of07,neutral_transit_fixture_fr5_mb3_odw1_obj150_150,v3a,lobos,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,154,164,141.4213562373095,0.4635587562914651,0.451406053747501,0.6143880857367663,0.9813002178467851,0.9426829268292682,1.0,172,0.34479105595423154,1.2345229334620107
batch03_of07,neutral_transit_fixture_fr5_mb3_odw3_obj150_150,v3a,lobos,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,149,159,141.4213562373095,0.10163129903436728,0.06469131217835726,0.634407387999997,0.9834751363367249,0.9340880503144655,1.0,161,0.2996896544819724,0.8994338041574048
batch03_of07,neutral_transit_fixture_fr5_mb3_odw5_obj150_150,v3a,lobos,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,146,156,141.4213562373095,0.5970001987326152,0.366399171673757,0.6504843019120696,0.9863543085449462,0.9408333333333334,1.0,158,0.2522070341083408,0.7601402780730123
batch03_of07,neutral_transit_fixture_fr5_mb3_odw7_obj150_150,v3a,lobos,5.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.41155946483149974,0.4051381083510042,0.6387604518253702,0.9884837041337546,0.950194805194805,1.0,158,0.2080160762462989,0.6583725118309125
batch03_of07,neutral_transit_fixture_fr5_mb3_odw9_obj150_150,v3a,lobos,5.0,3.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,143,153,141.4213562373095,0.16951687367161214,0.16951687367161214,0.6381285502869415,0.9894966221814885,0.9545751633986929,1.0,156,0.18839018554451356,0.6228566453967073
