batch_name,run_id,movement_model,archetype_id,formation_rigidity,mobility_bias,offense_defense_weight,force_concentration_ratio,risk_appetite,time_preference,targeting_logic,perception_radius,pursuit_drive,retreat_threshold,objective_x,objective_y,origin_x,origin_y,facing_angle_deg,fleet_size,aspect_ratio,stop_radius,random_seed_effective,metatype_random_seed_effective,background_map_seed_effective,boundary_enabled,observer_enabled,objective_reached,objective_reached_tick,final_tick,initial_distance,final_distance,min_distance,final_rms_radius_ratio,max_rms_radius_ratio,mean_corrected_unit_ratio,peak_corrected_unit_ratio,peak_projection_pairs_count,peak_projection_mean_displacement,peak_projection_max_displacement
batch02_of07,neutral_transit_fixture_fr1_mb9_odw1_obj150_150,v3a,lobos,1.0,9.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,158,168,141.4213562373095,0.3798730311863644,0.33777184636406016,0.8105851536939396,0.9971594598451391,0.6570833333333334,0.98,110,0.553755080008216,0.8804405299842285
batch02_of07,neutral_transit_fixture_fr1_mb9_odw3_obj150_150,v3a,lobos,1.0,9.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,154,164,141.4213562373095,0.736537186828186,0.21477339378214017,0.7860986891633499,0.9967746672328072,0.6843292682926829,0.96,93,0.4893150008622345,0.7744798145047966
batch02_of07,neutral_transit_fixture_fr1_mb9_odw5_obj150_150,v3a,lobos,1.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,149,159,141.4213562373095,0.022811829865647778,0.011291905809868179,0.7190696845711574,0.9967027955941158,0.7230817610062893,0.97,94,0.40789129644633393,0.642420525749316
batch02_of07,neutral_transit_fixture_fr1_mb9_odw7_obj150_150,v3a,lobos,1.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,147,157,141.4213562373095,0.2139407993273658,0.1959184029183925,0.7066915357814648,0.9968648350613959,0.7750318471337581,0.99,88,0.34620155511822537,0.5939042913816166
batch02_of07,neutral_transit_fixture_fr1_mb9_odw9_obj150_150,v3a,lobos,1.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,146,156,141.4213562373095,0.1829872777748975,0.1829872777748975,0.6895499537937607,0.9970011203790534,0.7830128205128205,1.0,96,0.31643355083430347,0.5379459220951746
batch02_of07,neutral_transit_fixture_fr3_mb1_odw1_obj150_150,v3a,lobos,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,149,159,141.4213562373095,0.8108748641733684,0.13196949524096532,0.6640526497456193,0.989125562360714,0.910125786163522,0.98,129,0.3152326845356988,0.6979147496029932
batch02_of07,neutral_transit_fixture_fr3_mb1_odw3_obj150_150,v3a,lobos,3.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,146,156,141.4213562373095,0.5130011584764883,0.4513578027481259,0.6483157832386899,0.9905733548959932,0.9042948717948718,1.0,121,0.26537637409082476,0.6525839851115257
batch02_of07,neutral_transit_fixture_fr3_mb1_odw5_obj150_150,v3a,lobos,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.7746559385624934,0.20251833320934853,0.6386969296344756,0.9924008418229869,0.9174025974025974,1.0,122,0.20801396546578585,0.5156874608608953
batch02_of07,neutral_transit_fixture_fr3_mb1_odw7_obj150_150,v3a,lobos,3.0,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.015355083821254807,0.014828861447021089,0.6397724183081981,0.9936886661317289,0.9276315789473685,0.98,122,0.17011375539471033,0.536184505722709
batch02_of07,neutral_transit_fixture_fr3_mb1_odw9_obj150_150,v3a,lobos,3.0,1.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.3585788512061929,0.35641285662873784,0.6414042427723655,0.9942833273360466,0.9234868421052632,0.98,126,0.1531392919470159,0.4508828693851044
