run_id,seed_profile_id,opponent_archetype_name,runtime_decision_source_effective,semantic_connectivity_multiplier,v2_connect_radius_multiplier,v3_connect_radius_multiplier,v3_r_ref_radius_multiplier,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,cell_FR,cell_MB,cell_PD,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,ar_forward_p90_A,wedge_ratio_p10_A,split_separation_p90_A,missing_cut,pocket_without_cut,event_order_anomaly,A_v2_mean,A_fragmentation_mean,A_dispersion_mean,A_elongation_mean,A_v3_mean,A_c_conn_mean,A_c_scale_mean,A_rho_mean,B_v2_mean,B_fragmentation_mean,B_dispersion_mean,B_elongation_mean,B_v3_mean,B_c_conn_mean,B_c_scale_mean,B_rho_mean,determinism_digest
FR2_MB5_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,5,5,1981813971,897304369,3095987153,111,119,130,136,1,1,52.27272727272727,100.0,0.18567805783305688,0.5759479739949139,0.5875704344011299,0.7172986493299417,0.8837931671354899,0.8816864129452899,2.2514862835627882,1.1225549195763795,1.7197061627831658,False,False,False,0.15172621124165298,0.0,0.39877539507457366,0.7492783966872696,0.1901999999999999,0.1901999999999999,1.0,0.4677416316801098,0.3000229993316044,0.0,0.3622585271112445,0.5447722982503324,0.19299999999999987,0.19299999999999987,1.0,0.44685608941961424,771a3d6e8e78b245824822f7841b43131059dacbea1385d54973e602bb5994f6
FR2_MB8_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,8,5,1981813971,897304369,3095987153,112,120,133,136,1,1,64.69194312796209,100.0,0.22933135552961864,0.5843977673017577,0.6213925652679065,0.722931844867838,0.9972482912349008,0.8806601710120571,2.2547311155982834,1.005714304220446,1.7182969555329706,False,False,False,0.15600378844629986,0.0,0.39883803745015856,0.7426751033675117,0.14469999999999997,0.14469999999999997,1.0,0.4702154004536737,0.2955972551745332,0.0,0.36182360702867883,0.5498770753745625,0.2022,0.2022,1.0,0.44726300471004454,e0e8c02570103afbfd7a35748ac3e83b08bbc959734965e9a178cbaaaaff52e4
FR5_MB2_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,2,5,1981813971,897304369,3095987153,109,117,128,176,1,1,83.04721030042919,99.78540772532189,0.3387104857722252,0.47911116264992637,0.6797098332747047,0.6527050218037759,0.9579884908393997,0.872866199227364,2.182793962781319,1.0891536798566102,1.7162728187795402,False,False,False,0.2727321431300928,0.0,0.3626496100834681,0.5874804427661847,0.3375,0.3375,1.0,0.44600894811089786,0.3197823298469667,0.0,0.3517833975301301,0.5210268736745635,0.2104999999999999,0.2104999999999999,1.0,0.44537081328157074,4a7f05d292703cb63a3fac9613d87a3d83a172803bf2727f42519cd3e6be82ad
FR5_MB5_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,1981813971,897304369,3095987153,109,117,128,143,1,1,78.83495145631068,99.80582524271844,0.34149250819638177,0.4944255174769458,0.6748370779915519,0.6629212678836791,0.8899261177552352,0.8597610503042085,2.187682043663827,1.1035590717089112,1.7136421204664116,False,False,False,0.28923492809893075,0.0,0.36693630372756936,0.5584425388855838,0.29980000000000007,0.29980000000000007,1.0,0.4451831359775986,0.3207270608805213,0.0,0.34870588847516515,0.5249222207216085,0.22339999999999996,0.22339999999999996,1.0,0.4443522017302731,503f89281094a2eab5d74e69f0277f0241fa1167ed0f8da052c22c9bf5c859d8
FR5_MB8_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,8,5,1981813971,897304369,3095987153,109,118,128,140,1,1,74.949083503055,97.75967413441956,0.23019356135709812,0.47170773629592533,0.63204623993581,0.6422912905408327,0.8388594805892671,0.9500661922554107,2.170906078476657,0.9793069330890773,1.7197033743644805,False,False,False,0.32394939807042633,0.0,0.3526470581278751,0.51526402833893,0.27,0.27,1.0,0.4451735922854849,0.3278485220663589,0.0,0.3500993972130566,0.5114662694412959,0.25379999999999986,0.25379999999999986,1.0,0.44374332224129537,f656c3d4a325866b3447964e16a4500942141e26615c940fd92c727df23ada2d
FR8_MB2_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,2,5,1981813971,897304369,3095987153,107,115,126,152,1,1,84.0,94.16666666666667,0.3996629329980825,0.6041374585045907,0.7144353466462047,0.7171880473608298,0.8992559485802585,1.0,2.078404713473684,0.7483933147044675,1.7302569009310191,False,False,False,0.31710229137955737,0.0006000000000000005,0.36552841546498555,0.5104209774148356,0.40809999999999996,0.40809999999999996,1.0,0.4367445514515383,0.3439236059438403,0.0,0.3525049094085125,0.4854880407342351,0.2356999999999999,0.2356999999999999,1.0,0.4426519144217329,c408bc43a4f8832f98d929e019f962d3ab36a01a7027441c70f8a287be7ad2ca
FR8_MB5_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,5,5,1981813971,897304369,3095987153,107,116,126,135,1,1,61.53846153846154,98.41628959276018,0.22690999377754106,0.5424004571225706,0.6214567168306387,0.6903542177336477,0.8520104471346124,0.8768933581216226,2.074225352802896,0.7536313287652732,1.7286185426478875,False,False,False,0.30457225709732744,0.0,0.36754829608158196,0.5288209863569737,0.41229999999999983,0.41229999999999983,1.0,0.4362325881441568,0.351649124492683,0.0,0.3491791685947495,0.47892125794101986,0.22729999999999995,0.22729999999999995,1.0,0.44357404218593344,8ef1c26538e403f05d6a8661f0d8b78f62835007e0fe8d5edb883ed8bea04d1f
FR8_MB8_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,8,5,1981813971,897304369,3095987153,107,115,126,139,1,1,74.19354838709677,99.13978494623656,0.294313442861577,0.4058051129433423,0.6501542479832304,0.6034546714207399,0.9130899525991969,0.8600962997068476,2.0569973306867735,0.6532431968860172,1.7509302486345697,False,False,False,0.30408346227694866,0.0,0.35736958307134564,0.5390314126205883,0.4598,0.4598,1.0,0.4365217224470962,0.3576521840360975,0.0,0.34784099570284055,0.4697348322999364,0.2183,0.2183,1.0,0.4424658174724294,a3efd5924aae72698c64887bbae879518afb49e5f072996e0ae735c3cd649485
FR2_MB2_PD5_reinhard_v2_m2.0,SP01,reinhard,v2,2.0,2.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,5,1981813971,897304369,3095987153,112,119,131,136,1,1,63.10043668122271,93.88646288209607,0.26470955253687695,0.574945398177497,0.6285433326962621,0.7118772245851883,0.911010555140076,0.8826641140744862,2.2475953564845113,1.124476003386556,1.7200404689764761,False,False,False,0.13582174314787343,0.0,0.3969220897671449,0.7753453190558716,0.20629999999999987,0.20629999999999987,1.0,0.46827943402707417,0.3001714133441665,0.0,0.35752623611690537,0.5450046732302206,0.1775999999999999,0.1775999999999999,1.0,0.4471626169509083,554e05c33947cc84f86ba1b20ee8795f9ce8d80f81aa9f412d7f3d528aaba735
FR2_MB5_PD5_reinhard_v2_m2.0,SP01,reinhard,v2,2.0,2.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,5,5,1981813971,897304369,3095987153,111,119,130,136,1,1,63.23529411764706,99.50980392156863,0.31497773677969904,0.598835779643203,0.646842584775511,0.7323044898611211,0.8766521122787887,0.8826193495015004,2.2514862835627882,1.1225549195763795,1.7197061627831658,False,False,False,0.15172621124165298,0.0,0.39877539507457366,0.7492783966872696,0.1901999999999999,0.1901999999999999,1.0,0.4677416316801098,0.3000229993316044,0.0,0.3622585271112445,0.5447722982503324,0.19299999999999987,0.19299999999999987,1.0,0.44685608941961424,915c341a7f4324ed859ea33b3f9dbaa02d83875bc5cb224bdf00a466cb904c8c
FR2_MB8_PD5_reinhard_v2_m2.0,SP01,reinhard,v2,2.0,2.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,8,5,1981813971,897304369,3095987153,112,120,131,136,1,1,64.92693110647181,97.28601252609603,0.23361188852209472,0.5201233250767703,0.6149605701891968,0.679223560815217,0.8766306551345597,0.8798414010910397,2.2547311155982834,1.005714304220446,1.7182969555329706,False,False,False,0.15600378844629986,0.0,0.39883803745015856,0.7426751033675117,0.14469999999999997,0.14469999999999997,1.0,0.4702154004536737,0.2955972551745332,0.0,0.36182360702867883,0.5498770753745625,0.2022,0.2022,1.0,0.44726300471004454,e53c48f279729bd3a01b2fb53964ca6a665518f1d527eb3c6ee33f49144f855b
FR5_MB2_PD5_reinhard_v2_m2.0,SP01,reinhard,v2,2.0,2.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,2,5,1981813971,897304369,3095987153,109,117,128,136,1,1,82.0627802690583,100.0,0.2943540819545821,0.4714090561943899,0.6691418432214958,0.6476060374629268,0.9045683255774384,0.8650412010351465,2.182793962781319,1.0891536798566102,1.7162728187795402,False,False,False,0.2727321431300928,0.0,0.3626496100834681,0.5874804427661847,0.3375,0.3375,1.0,0.44600894811089786,0.3197823298469667,0.0,0.3517833975301301,0.5210268736745635,0.2104999999999999,0.2104999999999999,1.0,0.44537081328157074,422e7f8f339b79a50ffe99baa751b86728df9e7d806bd1da0375e7526f429e0c
