runtime_decision_source_effective,cell_PD,n_runs,first_deep_pursuit_tick_A_mean,first_deep_pursuit_tick_B_mean,pct_ticks_deep_pursuit_A_mean,pct_ticks_deep_pursuit_B_mean,mean_pursuit_intensity_A_mean,mean_pursuit_intensity_B_mean,mean_enemy_collapse_signal_A_mean,mean_enemy_collapse_signal_B_mean,p95_enemy_collapse_signal_A_mean,p95_enemy_collapse_signal_B_mean
v2,2,108,1.0,1.0,67.69331172834951,97.79394021430565,0.3459210839452513,0.7671779331299342,0.8930403534801269,0.8799752989736709,0.9812140521758759,0.9817558023964276
v2,5,108,1.0,1.0,98.7591795858687,98.6182134099609,0.7763834967335183,0.8086822215259991,0.8945370713516916,0.9007665184544756,0.9839950375479565,0.9822086960026722
v2,8,108,1.0,1.0,98.94472763061403,98.78474807915144,0.8607226083049618,0.8152972341853538,0.8893280900830015,0.9066100646512605,0.9820086362310078,0.9838250214814233
v3_test,2,108,1.0,1.0,12.357491128174134,76.20694695127939,0.05401379151203525,0.39381433928953224,0.6653625252850842,0.653417099527102,0.9041921181160469,0.8702231618515737
v3_test,5,108,1.0,1.0,70.30947402340534,78.15080686274158,0.34825701111052587,0.43894842180875054,0.6726180302829923,0.6837247046250122,0.9180254215097521,0.9179505674487989
v3_test,8,108,1.0,1.0,98.38979509176332,82.44449580527574,0.5729425579258121,0.46484487595568214,0.6664613415250353,0.7086547982368543,0.9245726265671351,0.9276243426399775
