opponent_archetype_id,run_count,first_contact_tick_mean,first_deep_pursuit_tick_A_mean,precontact_ar_forward_p90_A_mean,precontact_wedge_ratio_p10_A_mean,precontact_net_axis_push_abs_p90_mean,event_order_anomaly_rate
reinhard,15,106.93333333333334,245.0,2.0252609084319486,0.8001920680150588,0.0031919385364623646,0.0
kircheis,15,106.46666666666667,271.6,2.024169729512565,0.8044011791414507,0.011972528668219396,0.0
reuenthal,15,110.0,72.6,2.0291036586207323,0.8231436517746922,0.0083430077170035,0.0
mittermeyer,15,108.26666666666667,102.66666666666667,2.025884664160156,0.82297840758929,0.011945667219117958,0.0
bittenfeld,15,106.46666666666667,267.06666666666666,2.023260574610337,0.8223193407639718,0.003910778304513595,0.0
muller,15,106.06666666666666,261.73333333333335,2.0231961627970914,0.8037416706036822,0.004517615698542191,0.06666666666666667
