seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,runtime_decision_source_requested_v2,runtime_decision_source_effective_v2,runtime_decision_source_requested_v3_test,runtime_decision_source_effective_v3_test,effective_source_match_pair,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,observable_runtime_difference
SP01,2,2,2,kircheis,v2,v2,v3_test,v3_test,True,0.16576956683556957,0.2328923633882685,0.8081824767331474,0.677260541795741,True,True,0.0,0.0,-0.2208256424053716,-0.1510944735819858,-26.360935403488597,-5.168998786020055,True
SP01,2,2,2,reinhard,v2,v2,v3_test,v3_test,True,0.17241861103666542,0.20434513981189797,0.8081824767331474,0.9996324494525304,True,True,0.0,0.0,-0.19799170348678952,-0.15309830148823622,-31.637306976848432,-0.9345794392523317,True
SP01,5,5,5,kircheis,v2,v2,v3_test,v3_test,True,0.17220559388827011,0.20075110614457775,0.7992798539497576,0.9980384627874745,True,True,0.0,0.0,-0.23447798902956019,-0.22128376742834455,-37.6088644954176,-20.28788898669289,True
SP01,5,5,5,reinhard,v2,v2,v3_test,v3_test,True,0.22462859188455073,0.17974799724341772,1.0,0.9622488459592808,True,True,0.0,0.0,-0.19603044232434497,-0.1676523747830223,-15.985130111524157,2.906951486678551,True
SP01,8,8,8,kircheis,v2,v2,v3_test,v3_test,True,0.215154779917731,0.17400365886576757,0.9999967297637077,0.6231855415673279,True,True,0.0,0.0,-0.28415908388460176,-0.2099401075141044,-0.44843049327354834,-28.987270045038443,True
SP01,8,8,8,reinhard,v2,v2,v3_test,v3_test,True,0.2618608376604898,0.14974149756361116,0.9999996662743127,0.5356605583465809,True,True,0.0,0.0,-0.2221407473575817,-0.2601144557774543,-1.2345679012345698,-4.086675724102619,True
SP01,2,2,2,bittenfeld,v2,v2,v3_test,v3_test,True,0.16597600452452146,0.21951460564703568,0.8081824767331474,0.9984428351787562,True,True,0.0,0.0,-0.21146757831448737,-0.1751413666115199,-32.52787912518294,-0.21231422505307762,True
SP01,2,2,2,kircheis,v2,v2,v3_test,v3_test,True,0.16576956683556957,0.2328923633882685,0.8081824767331474,0.677260541795741,True,True,0.0,0.0,-0.2208256424053716,-0.1510944735819858,-26.360935403488597,-5.168998786020055,True
SP01,2,2,2,mittermeyer,v2,v2,v3_test,v3_test,True,0.15427148846963848,0.17719361826563537,0.8081824767331474,0.9908245436446204,True,True,0.0,0.0,-0.17024429344949432,-0.16062156835039088,-48.391570846941974,-1.1520737327188897,True
SP01,2,2,2,muller,v2,v2,v3_test,v3_test,True,0.1567835410577158,0.2570372984732603,0.8081824767331474,0.7163761617483879,True,True,0.0,0.0,-0.32593030334877837,-0.1473737270889629,-42.20334984666194,-14.190453723362424,True
SP01,2,2,2,reinhard,v2,v2,v3_test,v3_test,True,0.17241861103666542,0.20434513981189797,0.8081824767331474,0.9996324494525304,True,True,0.0,0.0,-0.19799170348678952,-0.15309830148823622,-31.637306976848432,-0.9345794392523317,True
SP01,2,2,2,reuenthal,v2,v2,v3_test,v3_test,True,0.18364290957137291,0.14919989206102316,0.8081824767331474,0.7769976729597822,True,True,0.0,0.0,-0.14898542780726975,-0.15194575468367644,-61.84914841849149,-18.76317923763179,True
SP01,2,2,5,bittenfeld,v2,v2,v3_test,v3_test,True,0.19191485135372968,0.2604326999376391,0.8081787949465791,1.0,True,True,0.0,0.0,-0.24946006934474485,-0.15621439645720447,-40.42388508206798,-0.24813895781637996,True
SP01,2,2,5,kircheis,v2,v2,v3_test,v3_test,True,0.20304296456024065,0.22168032718013045,0.8081787949465791,0.9999999999999999,True,True,0.0,0.0,-0.2897260006367717,-0.15802730638314022,-52.83255683187404,-5.213270142180093,True
SP01,2,2,5,mittermeyer,v2,v2,v3_test,v3_test,True,0.17572885948486766,0.17811389328394792,0.8081787949465791,0.9909180514688256,True,True,0.0,0.0,-0.19683142941978204,-0.18879701764295576,-21.663520033564097,-0.6607929515418505,True
SP01,2,2,5,muller,v2,v2,v3_test,v3_test,True,0.16896839209835154,0.23938587640382056,0.8081787949465791,1.0,True,True,0.0,0.0,-0.33265137359532954,-0.2517551577374493,-70.79968511168695,-46.262341325811,True
SP01,2,2,5,reinhard,v2,v2,v3_test,v3_test,True,0.1918100294976545,0.1933130595932616,0.8081787949465791,0.9998479555346336,True,True,0.0,0.0,-0.2078686540289717,-0.13041946760961087,-29.261698886433365,-0.4784688995215305,True
SP01,2,2,5,reuenthal,v2,v2,v3_test,v3_test,True,0.2004053499114074,0.19597745756861942,0.8081787949465791,0.6209521448011962,True,True,0.0,0.0,-0.15137413675048061,-0.1889939260343455,-2.9626188394611006,-27.631477870894344,True
SP01,2,2,8,bittenfeld,v2,v2,v3_test,v3_test,True,0.1857850761204907,0.21989334702330854,0.8081782678829749,1.0,True,True,0.0,0.0,-0.24773279244549717,-0.20320330530540187,-5.537796064778192,-0.22471910112359694,True
SP01,2,2,8,kircheis,v2,v2,v3_test,v3_test,True,0.1933843180032852,0.23106050980449386,0.8081782678829749,0.9960162888854301,True,True,0.0,0.0,-0.2781080084400749,-0.21783455484757863,0.4900684012069405,-13.914656771799628,True
SP01,2,2,8,mittermeyer,v2,v2,v3_test,v3_test,True,0.21813659025064835,0.16767173424860318,0.8081782678829749,0.6323234801702501,True,True,0.0,0.0,-0.15339795030702097,-0.18997491884367745,1.7897091722595064,-0.956937799043061,True
SP01,2,2,8,muller,v2,v2,v3_test,v3_test,True,0.20934309792293654,0.24627528484623412,0.8081782678829749,0.6509280263915759,True,True,0.0,0.0,-0.3758262463608439,-0.17778659826419563,-7.644164012088552,-23.604304500530915,True
SP01,2,2,8,reinhard,v2,v2,v3_test,v3_test,True,0.22133079335580658,0.24026806270895484,0.8081782678829749,0.942946350731469,True,True,0.0,0.0,-0.25310518203269583,-0.18087076566178717,-0.7878373211518692,-1.1520737327188897,True
SP01,2,2,8,reuenthal,v2,v2,v3_test,v3_test,True,0.21670198799050144,0.21627376638205195,0.8081782678829749,0.9996992119587086,True,True,0.0,0.0,-0.158555984477468,-0.16804774387951316,1.9354838709677438,-16.702355460385434,True
SP01,2,5,2,bittenfeld,v2,v2,v3_test,v3_test,True,0.1438493577518919,0.23169516920040165,0.8089328816587168,1.0,True,True,0.0,0.0,-0.26252423572167516,-0.14986895378107723,-38.49763805516018,-0.2212389380530908,True
SP01,2,5,2,kircheis,v2,v2,v3_test,v3_test,True,0.137075881010219,0.180956378973787,0.8089328816587168,0.9971267763196696,True,True,0.0,0.0,-0.28669568493029207,-0.12900102126850388,-40.75717243419106,-4.308390022675738,True
SP01,2,5,2,mittermeyer,v2,v2,v3_test,v3_test,True,0.14919876529762283,0.1836955907959676,0.8089328816587168,0.6594811123344535,True,True,0.0,0.0,-0.19192050172186903,-0.13172883278191505,-68.12855574408624,-0.8583690987124442,True
SP01,2,5,2,muller,v2,v2,v3_test,v3_test,True,0.12876179537220753,0.27845303784164294,0.8089328816587168,0.6498763964916064,True,True,0.0,0.0,-0.34650061377482977,-0.1545116856411849,-47.46966127624429,-13.618872422498995,True
SP01,2,5,2,reinhard,v2,v2,v3_test,v3_test,True,0.15681697735362005,0.2067372290361817,0.8089328816587168,0.6671104054262486,True,True,0.0,0.0,-0.2511902797157025,-0.1332256202017955,-34.551909149508965,-0.4474272930648766,True
SP01,2,5,2,reuenthal,v2,v2,v3_test,v3_test,True,0.18583272594433112,0.13340913355983397,0.8089328816587168,0.48643918084377713,True,True,0.0,0.0,-0.1465584035494365,-0.13805161093343743,-56.88533688533688,-13.876123876123884,True
SP01,2,5,5,bittenfeld,v2,v2,v3_test,v3_test,True,0.15046885311402441,0.24166918357685502,0.808925012110781,0.6314003739917733,True,True,0.0,0.0,-0.25463631909634465,-0.15588585564004043,-36.90032927496702,-0.22026431718062156,True
SP01,2,5,5,kircheis,v2,v2,v3_test,v3_test,True,0.14321901182860486,0.20656863916852797,0.808925012110781,0.6241314143852053,True,True,0.0,0.0,-0.25520536964985174,-0.15251934648861742,-42.17789417915372,-5.422993492407812,True
SP01,2,5,5,mittermeyer,v2,v2,v3_test,v3_test,True,0.16709371142299767,0.10623319200968957,0.808925012110781,0.5531677215572227,True,True,0.0,0.0,-0.1928860296242727,-0.1108752450785222,-17.604959143420672,1.9273034657650072,True
SP01,2,5,5,muller,v2,v2,v3_test,v3_test,True,0.1404093784627721,0.23945745668880125,0.808925012110781,0.9999112602371983,True,True,0.0,0.0,-0.2741088259890926,-0.14080558320364234,-56.569125991973124,-10.389394661965554,True
SP01,2,5,5,reinhard,v2,v2,v3_test,v3_test,True,0.1706310048751643,0.18931740535283845,0.808925012110781,0.6188325317814554,True,True,0.0,0.0,-0.18100308360779427,-0.1137134166669399,-22.34517982549478,-0.7874015748031553,True
SP01,2,5,5,reuenthal,v2,v2,v3_test,v3_test,True,0.17163567065543245,0.1785940608686201,0.808925012110781,1.0,True,True,0.0,0.0,-0.15396108830600364,-0.18578872270450209,-10.630844081798145,-24.397853685730936,True
SP01,2,5,8,bittenfeld,v2,v2,v3_test,v3_test,True,0.15508734547083552,0.19896226213845636,0.8089238913112897,0.6313954889221781,True,True,0.0,0.0,-0.2177574716290872,-0.1390550598804301,1.4639594718576774,-0.21141649048625766,True
SP01,2,5,8,kircheis,v2,v2,v3_test,v3_test,True,0.1492903492354033,0.178496459698937,0.8089238913112897,0.6231235173086866,True,True,0.0,0.0,-0.2734305537116726,-0.15620188160090243,-0.9226040368090054,-4.219997525765351,True
SP01,2,5,8,mittermeyer,v2,v2,v3_test,v3_test,True,0.15421184395586046,0.19389176843786712,0.8089238913112897,0.5946619984368603,True,True,0.0,0.0,-0.15314081667611756,-0.14573594146069202,0.49742710120068523,-0.9090909090909065,True
SP01,2,5,8,muller,v2,v2,v3_test,v3_test,True,0.13922254246258536,0.25037535711142295,0.8089238913112897,1.0,True,True,0.0,0.0,-0.3209469493994763,-0.15303924532655744,-3.095668777007333,-12.45452718319767,True
SP01,2,5,8,reinhard,v2,v2,v3_test,v3_test,True,0.15526269607199905,0.21119749341092245,0.8089238913112897,0.7227121360017214,True,True,0.0,0.0,-0.18945814212413326,-0.13815835230760487,0.45107531887161656,-0.6423982869379046,True
SP01,2,5,8,reuenthal,v2,v2,v3_test,v3_test,True,0.23169664028259174,0.1981689446860524,0.8089238913112897,0.5682308481639593,True,True,0.0,0.0,-0.14111755007068527,-0.11505255440949169,-0.20790020790020947,-8.098093647226591,True
SP01,2,8,2,bittenfeld,v2,v2,v3_test,v3_test,True,0.1190524440011861,0.24261623609975622,0.8093196865166771,1.0,True,True,0.0,0.0,-0.20481954123111878,-0.12100678184714464,-29.7072196268975,-0.23201856148492084,True
SP01,2,8,2,kircheis,v2,v2,v3_test,v3_test,True,0.09580983076631085,0.18818029445920542,0.8093196865166771,1.0,True,True,0.0,0.0,-0.2380020189523121,-0.11941267223996821,-38.209702185740554,-2.0283975659229156,True
