run_id,seed_profile_id,runtime_decision_source_requested,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,v2_connect_radius_multiplier_effective,v3_connect_radius_multiplier_effective,v3_r_ref_radius_multiplier_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,collapse_prediction_error,ar_forward_p90_A,ar_forward_p90_B,wedge_ratio_p10_A,wedge_ratio_p10_B,split_separation_p90_A,split_separation_p90_B,collapse_signal_jitter_A,collapse_signal_jitter_B,missing_cut,pocket_without_cut,event_order_anomaly,determinism_digest,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,phase_label
confirm_FR2_MB2_PD5_mittermeyer_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,2,2,5,mittermeyer,1,1981813971,897304369,3095987153,A,419,28,0,113,120,132,137,1,1,1,98.09069212410502,100.0,0.7971802295294266,0.9161841388094478,0.8992506138136613,0.9441227592062986,0.9906749956126971,0.9919465117401305,-136,2.2630500779732294,2.143805016331962,1.1467819595262843,0.8508272424429651,1.7224870307861448,1.7096423303420407,0.009179234359571437,0.0067037748850285565,False,False,False,09ec4997fe4fc92a73b0bf36af94c35245901eb507670d1492989bab96adecd4,0.1720115592518227,0.18944378404583812,0.8081665525866378,0.662234181879756,True,True,confirmation
confirm_FR2_MB2_PD5_mittermeyer_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,2,2,5,mittermeyer,1,1981813971,897304369,3095987153,A,461,19,0,111,118,130,136,56,56,103,14.533622559652928,40.3470715835141,0.04737000440435232,0.09039543217585747,0.35200113038401387,0.2733914720700332,0.6923076923076923,0.6666666666666667,-80,2.2379911282949294,2.0271345537519205,1.128473151569307,0.8318032736574321,1.7197295362557494,1.7272086199323489,0.07818181818181817,0.027171717171717166,False,False,False,a90ad37668a7e9b23d74cbcb1e1a64d1697536b0fe3bcfa7ffcfdd764044a0b0,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR2_MB2_PD5_mittermeyer_SP02_v2,SP02,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,2,2,5,mittermeyer,1,104729,130363,181081,A,419,28,0,113,120,132,137,1,1,1,98.09069212410502,100.0,0.7971802295294266,0.9161841388094478,0.8992506138136613,0.9441227592062986,0.9906749956126971,0.9919465117401305,-136,2.2630500779732294,2.143805016331962,1.1467819595262843,0.8508272424429651,1.7224870307861448,1.7096423303420407,0.009179234359571437,0.0067037748850285565,False,False,False,09ec4997fe4fc92a73b0bf36af94c35245901eb507670d1492989bab96adecd4,0.1720115592518227,0.18944378404583812,0.8081665525866378,0.662234181879756,True,True,confirmation
confirm_FR2_MB2_PD5_mittermeyer_SP02_v3_test,SP02,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,2,2,5,mittermeyer,1,104729,130363,181081,A,461,19,0,111,118,130,136,56,56,103,14.533622559652928,40.3470715835141,0.04737000440435232,0.09039543217585747,0.35200113038401387,0.2733914720700332,0.6923076923076923,0.6666666666666667,-80,2.2379911282949294,2.0271345537519205,1.128473151569307,0.8318032736574321,1.7197295362557494,1.7272086199323489,0.07818181818181817,0.027171717171717166,False,False,False,a90ad37668a7e9b23d74cbcb1e1a64d1697536b0fe3bcfa7ffcfdd764044a0b0,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR2_MB2_PD5_muller_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,2,2,5,muller,2,1981813971,897304369,3095987153,A,398,39,0,111,119,130,136,1,1,1,97.73869346733669,99.74874371859296,0.6766582836442477,0.81660106093741,0.8478041147471868,0.9388201166495531,0.9779010908741927,0.9885217447645612,-135,2.272654159493809,2.080030059706905,1.06426415292138,0.8370993764048257,1.7253364107000448,1.7035720284444082,0.018183565508705982,0.009053996907301746,False,False,False,6b851089ffa8e2d7fc66f086976e5a2a8c60c217acdccf471510cc59d28d40d0,0.21631691104795994,0.25146045618904384,0.8081665525866378,0.9992971011517942,True,True,confirmation
confirm_FR2_MB2_PD5_muller_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,2,2,5,muller,2,1981813971,897304369,3095987153,B,444,0,21,110,117,129,135,226,226,331,0.22522522522522523,4.504504504504505,0.0003643349231584524,0.02675518925518925,0.12748152139243238,0.3179676733873273,0.30719063545150493,0.6630952380952373,91,2.237804741967459,2.058344568765291,1.069082266723596,0.8188643694400961,1.7192612087810837,1.7478143774061008,0.031818181818181794,0.011616161616161615,False,False,False,80935fa05ebaacf9a1fc4b6d7b2733b100ad0dd473d2e0832b8c8a5ab9c95c76,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR2_MB2_PD5_muller_SP02_v2,SP02,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,2,2,5,muller,2,104729,130363,181081,A,398,39,0,111,119,130,136,1,1,1,97.73869346733669,99.74874371859296,0.6766582836442477,0.81660106093741,0.8478041147471868,0.9388201166495531,0.9779010908741927,0.9885217447645612,-135,2.272654159493809,2.080030059706905,1.06426415292138,0.8370993764048257,1.7253364107000448,1.7035720284444082,0.018183565508705982,0.009053996907301746,False,False,False,6b851089ffa8e2d7fc66f086976e5a2a8c60c217acdccf471510cc59d28d40d0,0.21631691104795994,0.25146045618904384,0.8081665525866378,0.9992971011517942,True,True,confirmation
confirm_FR2_MB2_PD5_muller_SP02_v3_test,SP02,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,2,2,5,muller,2,104729,130363,181081,B,444,0,21,110,117,129,135,226,226,331,0.22522522522522523,4.504504504504505,0.0003643349231584524,0.02675518925518925,0.12748152139243238,0.3179676733873273,0.30719063545150493,0.6630952380952373,91,2.237804741967459,2.058344568765291,1.069082266723596,0.8188643694400961,1.7192612087810837,1.7478143774061008,0.031818181818181794,0.011616161616161615,False,False,False,80935fa05ebaacf9a1fc4b6d7b2733b100ad0dd473d2e0832b8c8a5ab9c95c76,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR2_MB2_PD5_reinhard_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,2,2,5,reinhard,3,1981813971,897304369,3095987153,A,416,32,0,112,119,131,136,1,1,1,98.5576923076923,100.0,0.7478704825543059,0.9125665037959927,0.8799296161779819,0.9417110025306619,0.98448832827211,0.9881616473550228,-135,2.2829831829435645,2.1361652797398363,1.0678814098657519,0.818659758661508,1.7241107585908144,1.7076581239326407,0.01342736047779627,0.009384565059001856,False,False,False,2b62cc40b42b54b57727c987e02e0f7ef1218cd828ff451afc69747bb1e01619,0.20430858010212785,0.24454004202001217,0.8081665525866378,0.9982445465558403,True,True,confirmation
confirm_FR2_MB2_PD5_reinhard_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,2,2,5,reinhard,3,1981813971,897304369,3095987153,A,432,31,0,110,118,129,141,41,314,41,3.009259259259259,36.342592592592595,0.023921849838969406,0.07336766066776532,0.19206478738988927,0.22782003952232285,0.5,0.5556055900621117,-100,2.2296346801687306,1.9689376294690069,1.0858120874126442,0.8392246197163046,1.717548212187556,1.7231713707277798,0.045959595959595985,0.03606060606060607,False,False,False,5a4f95b2afdb548719cbf2e493893b5b5dec59882ebfda4c4149421d2c24bbfb,0.0,0.0,0.0,0.0,False,False,confirmation
