cell_FR,cell_MB,cell_PD,n_pairs,v2_first_contact_tick_mean,v3_test_first_contact_tick_mean,delta_first_contact_tick_mean,v2_cut_exists_rate,v3_test_cut_exists_rate,v2_pocket_exists_rate,v3_test_pocket_exists_rate,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_ar_forward_p90_A,delta_wedge_ratio_p10_A,delta_split_separation_p90_A,event_order_anomaly_rate_v2,event_order_anomaly_rate_v3_test
2,2,2,12,112.0,111.16666666666667,-0.8333333333333334,1.0,1.0,1.0,1.0,-0.21257415813536518,-0.15654586530079537,-40.49503176960257,-6.736933190673095,-0.23497648908754395,-0.30427572311465373,-0.01817717118574828,0.01954513889894638,-0.0040590942482825465,0.0,0.0
2,2,5,12,112.16666666666667,111.5,-0.6666666666666666,1.0,1.0,1.0,1.0,-0.23798527729601346,-0.17903454531078433,-36.32399413084792,-13.415748357960865,-0.43734338932983935,-0.34257482376741016,-0.014479665518700354,-0.01796355965369667,-0.0021669340628603186,0.0,0.0
2,2,8,12,112.0,111.83333333333333,-0.16666666666666666,1.0,1.0,1.0,1.0,-0.24445436067726675,-0.18961964780035898,-1.6257559922640705,-9.425841227600253,-0.31608040368978146,-0.3583728830645674,-0.008773865439984485,0.010642191648409738,-0.0005929091438816592,0.0,0.0
2,5,2,12,112.16666666666667,111.33333333333333,-0.8333333333333334,1.0,1.0,1.0,1.0,-0.24756495323563418,-0.13939795410131903,-47.715045590754606,-5.5550702751881715,-0.26063892907353686,-0.2809816844310125,-0.02230098991687261,0.00035777145154876805,-0.0011039193839546362,0.0,0.16666666666666666
2,5,5,12,112.16666666666667,111.5,-0.6666666666666666,1.0,1.0,1.0,1.0,-0.21863345271222664,-0.14326469496371075,-31.03805541613458,-6.548434044387179,-0.42525085533116647,-0.28958439637718625,-0.018036340285339847,0.04302259173612836,-0.0012703911285181224,0.0,0.0
2,5,8,12,112.5,111.66666666666667,-0.8333333333333334,1.0,1.0,1.0,1.0,-0.2159752472685287,-0.14120717249761308,-0.30228518829776146,-4.42258734045078,-0.2793051543076076,-0.28518607627938686,-0.012019430676762255,0.0018345463637738924,-0.002659519399742627,0.0,0.0
2,8,2,12,112.16666666666667,111.33333333333333,-0.8333333333333334,1.0,1.0,1.0,1.0,-0.2075431646380261,-0.12173679685900902,-44.12320280553897,-3.469340056984116,-0.24687613281753396,-0.24526247088155984,-0.011018539577924239,-0.09690491499162128,0.0029769861513079996,0.0,0.16666666666666666
2,8,5,12,112.33333333333333,111.66666666666667,-0.6666666666666666,1.0,1.0,1.0,1.0,-0.2101182678130141,-0.09942582803944378,-30.597713071335495,-1.7484451595519748,-0.4044538542228782,-0.20422926049464243,-0.0180304338851498,0.008689826117965408,-0.002942602995615329,0.0,0.0
2,8,8,12,112.16666666666667,111.83333333333333,-0.3333333333333333,1.0,1.0,1.0,1.0,-0.20388311424813907,-0.12326811922740417,0.1289590550617774,-2.9785554288518816,-0.2644643628068171,-0.25980487524557466,-0.017561069143219827,-0.026385426788979965,-0.004142518839459671,0.0,0.0
5,2,2,12,110.16666666666667,108.33333333333333,-1.8333333333333333,1.0,1.0,1.0,1.0,-0.22760150705076843,-0.2446134778715964,-60.226587035201625,-22.260462247323133,-0.3415936331866991,-0.40134427244453175,-0.07205737349013693,-0.2624077568824901,-0.0005222048281946501,0.16666666666666666,0.16666666666666666
