side_a_odw,run_count,first_contact_tick_mean,cut_tick_mean,pocket_tick_mean,first_deep_pursuit_tick_A_mean,pct_ticks_deep_pursuit_A_mean,mean_enemy_collapse_signal_A_mean,precontact_ar_forward_p90_A_mean,precontact_wedge_ratio_p10_A_mean,precontact_split_separation_p90_A_mean,precontact_net_axis_push_abs_p90_mean
2,30,107.66666666666667,128.26666666666668,160.73333333333332,191.93333333333334,19.618048986636396,0.31228123869891194,2.0305935914580866,0.8865520832810689,1.7243404258877462,0.007143321825929083
5,30,107.36666666666666,126.76666666666667,160.63333333333333,205.1,18.563738810875282,0.3098349438466166,2.0304208866800137,0.7773693337044034,1.7284594171571157,0.007505324506992848
8,30,107.06666666666666,128.53333333333333,166.8,213.3,16.4687469532525,0.29077732787348914,2.014423370928317,0.7744667419586,1.7298944680916004,0.007292121739007573
