odw_a,odw_b,odw_posture_bias_k,odw_posture_bias_clip_delta,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,event_order_anomaly,event_order_anomaly_label,first_deep_pursuit_tick_A,pct_ticks_deep_pursuit_A,mean_enemy_collapse_signal_A,precontact_ar_forward_p90_A,precontact_wedge_ratio_p10_A,precontact_split_separation_p90_A,precontact_center_wing_gap_abs_p90_A,precontact_center_wing_gap_mean_A,end_tick
2.0,5.0,0.5,0.2,1981813971,897304369,3095987153,108,117,,,0,,210,7.972665148063781,0.2388551515038941,2.0435098998877876,0.8849880056689409,1.7422564395039954,0.023418682305588957,-0.01605045456436188,439
2.0,5.0,0.5,0.4,1981813971,897304369,3095987153,108,116,,,0,,211,8.7890625,0.2544072417164635,2.027497811525096,0.8987945683548257,1.7133476179443023,0.02616598450078187,-0.019924692742807646,512
2.0,5.0,0.5,0.6,1981813971,897304369,3095987153,108,116,,,0,,211,8.7890625,0.2544072417164635,2.027497811525096,0.8987945683548257,1.7133476179443023,0.02616598450078187,-0.019924692742807646,512
2.0,5.0,0.5,0.8,1981813971,897304369,3095987153,108,116,,,0,,211,8.7890625,0.2544072417164635,2.027497811525096,0.8987945683548257,1.7133476179443023,0.02616598450078187,-0.019924692742807646,512
2.0,5.0,0.5,1.0,1981813971,897304369,3095987153,108,116,,,0,,211,8.7890625,0.2544072417164635,2.027497811525096,0.8987945683548257,1.7133476179443023,0.02616598450078187,-0.019924692742807646,512
8.0,5.0,0.5,0.2,1981813971,897304369,3095987153,107,115,,,0,,242,25.335570469798657,0.33843193541709937,2.0212813761697888,0.7456071113900798,1.7488030318894223,0.007438432172052596,0.004130780672093537,596
8.0,5.0,0.5,0.4,1981813971,897304369,3095987153,107,115,,,0,,265,14.87758945386064,0.30831336463589426,2.0249130840420904,0.704942352722703,1.743102199325378,0.0077892038957491395,0.006037246221335684,531
8.0,5.0,0.5,0.6,1981813971,897304369,3095987153,107,115,,,0,,265,14.87758945386064,0.30831336463589426,2.0249130840420904,0.704942352722703,1.743102199325378,0.0077892038957491395,0.006037246221335684,531
8.0,5.0,0.5,0.8,1981813971,897304369,3095987153,107,115,,,0,,265,14.87758945386064,0.30831336463589426,2.0249130840420904,0.704942352722703,1.743102199325378,0.0077892038957491395,0.006037246221335684,531
8.0,5.0,0.5,1.0,1981813971,897304369,3095987153,107,115,,,0,,265,14.87758945386064,0.30831336463589426,2.0249130840420904,0.704942352722703,1.743102199325378,0.0077892038957491395,0.006037246221335684,531
