candidate_id,candidate_family,candidate_mode,a,sigma,p,q,beta,gamma,ranking_advisory_only,controls_all_preserved,pd8_sentinels_improved,protected_cell_not_harmed,hard_constraint_pass,failed_controls,failed_pd8_sentinels,mean_control_win_delta,mean_pd8_sentinel_win_delta,protected_cell_win_delta,odw_readability_delta,pd_selectivity_delta,pd5_mb_shoulder_contrast_delta,mb8_pd5_win_delta,mean_runtime_c_conn_delta,mean_runtime_collapse_delta,smoothness_score
A_a035_s010_q1,A,candidate_a,0.35,0.1,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07000568692301312,50.0,-50.0,50.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s010_q2,A,candidate_a,0.35,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.05861322058205417,16.666666666666664,0.0,0.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s010_q3,A,candidate_a,0.35,0.1,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.06445649406423712,16.666666666666664,-50.0,50.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s015_q1,A,candidate_a,0.35,0.15,1.0,1.0,0.0,0.0,True,False,False,True,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.06837378932977943,33.33333333333333,-50.0,50.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s015_q2,A,candidate_a,0.35,0.15,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.06267632430904665,33.33333333333333,0.0,0.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s015_q3,A,candidate_a,0.35,0.15,1.0,3.0,0.0,0.0,True,True,False,True,False,,FR5_MB2_PD8_ODW8,0.0,50.0,0.0,-0.07277222043511364,66.66666666666667,-100.0,100.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s020_q1,A,candidate_a,0.35,0.2,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07292181928633856,50.0,-50.0,50.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a035_s020_q2,A,candidate_a,0.35,0.2,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.04861652451232831,33.33333333333333,0.0,0.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a035_s020_q3,A,candidate_a,0.35,0.2,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0420671526599622,33.33333333333333,0.0,0.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a045_s010_q1,A,candidate_a,0.45,0.1,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.07611260476070911,33.33333333333333,-50.0,50.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s010_q2,A,candidate_a,0.45,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.08404464483096082,50.0,0.0,0.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s010_q3,A,candidate_a,0.45,0.1,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.0862916236731419,33.33333333333333,0.0,0.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s015_q1,A,candidate_a,0.45,0.15,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.09235626741448594,16.666666666666664,-50.0,50.0,-0.02433212803479694,0.024332128034796927,-0.30000000000000004
A_a045_s015_q2,A,candidate_a,0.45,0.15,1.0,2.0,0.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.08093045236211727,33.33333333333333,0.0,0.0,-0.02433212803479694,0.024332128034796927,-0.30000000000000004
A_a045_s015_q3,A,candidate_a,0.45,0.15,1.0,3.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,0.0,50.0,0.0,-0.0654135366302158,50.0,50.0,0.0,-0.02433212803479694,0.024332128034796927,-0.30000000000000004
A_a045_s020_q1,A,candidate_a,0.45,0.2,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.07534250074261503,50.0,0.0,0.0,-0.02403298293852925,0.024032982938529224,-0.25
A_a045_s020_q2,A,candidate_a,0.45,0.2,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.057336621400975674,33.33333333333333,-100.0,100.0,-0.02403298293852925,0.024032982938529224,-0.25
A_a045_s020_q3,A,candidate_a,0.45,0.2,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.07891183674068393,33.33333333333333,-50.0,50.0,-0.02403298293852925,0.024032982938529224,-0.25
A_a055_s010_q1,A,candidate_a,0.55,0.1,1.0,1.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.065803296944242,16.666666666666664,50.0,0.0,-0.02759849435183048,0.027598494351830462,-0.45000000000000007
A_a055_s010_q2,A,candidate_a,0.55,0.1,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.0730269439590388,-16.66666666666667,0.0,50.0,-0.02759849435183048,0.027598494351830462,-0.45000000000000007
A_a055_s010_q3,A,candidate_a,0.55,0.1,1.0,3.0,0.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.06914836022887072,33.33333333333333,0.0,0.0,-0.02759849435183048,0.027598494351830462,-0.45000000000000007
A_a055_s015_q1,A,candidate_a,0.55,0.15,1.0,1.0,0.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.09108413905071627,33.33333333333333,0.0,0.0,-0.02639211428535868,0.026392114285358658,-0.4
A_a055_s015_q2,A,candidate_a,0.55,0.15,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.06619045965607104,33.33333333333333,0.0,0.0,-0.02639211428535868,0.026392114285358658,-0.4
A_a055_s015_q3,A,candidate_a,0.55,0.15,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.08375492414959931,33.33333333333333,0.0,0.0,-0.02639211428535868,0.026392114285358658,-0.4
A_a055_s020_q1,A,candidate_a,0.55,0.2,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07626149798088028,50.0,-50.0,50.0,-0.024622714094357148,0.024622714094357134,-0.35000000000000003
A_a055_s020_q2,A,candidate_a,0.55,0.2,1.0,2.0,0.0,0.0,True,False,False,False,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.09072722035468847,33.33333333333333,-50.0,50.0,-0.024622714094357148,0.024622714094357134,-0.35000000000000003
A_a055_s020_q3,A,candidate_a,0.55,0.2,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.08397884054101455,33.33333333333333,0.0,0.0,-0.024622714094357148,0.024622714094357134,-0.35000000000000003
A_a065_s010_q1,A,candidate_a,0.65,0.1,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.06239191781404784,16.666666666666664,0.0,0.0,-0.03107857791177226,0.031078577911772244,-0.55
A_a065_s010_q2,A,candidate_a,0.65,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.07334570063704139,66.66666666666667,-100.0,100.0,-0.03107857791177226,0.031078577911772244,-0.55
A_a065_s010_q3,A,candidate_a,0.65,0.1,1.0,3.0,0.0,0.0,True,True,False,True,False,,FR5_MB2_PD8_ODW8,25.0,50.0,0.0,-0.051046981059399754,50.0,0.0,0.0,-0.03107857791177226,0.031078577911772244,-0.55
A_a065_s015_q1,A,candidate_a,0.65,0.15,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.09470888701225089,0.0,-50.0,50.0,-0.03463088157276657,0.03463088157276656,-0.5
A_a065_s015_q2,A,candidate_a,0.65,0.15,1.0,2.0,0.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.09165716377857239,50.0,0.0,0.0,-0.03463088157276657,0.03463088157276656,-0.5
A_a065_s015_q3,A,candidate_a,0.65,0.15,1.0,3.0,0.0,0.0,True,True,False,True,False,,FR5_MB2_PD8_ODW8,25.0,50.0,0.0,-0.10383519587503323,83.33333333333334,0.0,0.0,-0.03463088157276657,0.03463088157276656,-0.5
A_a065_s020_q1,A,candidate_a,0.65,0.2,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07868962328132725,33.33333333333333,0.0,0.0,-0.03276020726338701,0.032760207263387,-0.45
A_a065_s020_q2,A,candidate_a,0.65,0.2,1.0,2.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0581738339225929,66.66666666666667,-50.0,50.0,-0.03276020726338701,0.032760207263387,-0.45
A_a065_s020_q3,A,candidate_a,0.65,0.2,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.07279971742608798,33.33333333333333,0.0,0.0,-0.03276020726338701,0.032760207263387,-0.45
B_a015_s010_b15,B,candidate_b,0.15,0.1,1.0,1.0,1.5,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,-25.0,50.0,-100.0,-0.05480441539239155,50.0,50.0,0.0,-0.0033670732176778943,0.003367073217677888,-0.07999999999999999
B_a015_s010_b30,B,candidate_b,0.15,0.1,1.0,1.0,3.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.04442950886628256,16.666666666666664,-50.0,50.0,-0.00017423548035702926,0.00017423548035701666,-0.10999999999999999
B_a015_s015_b15,B,candidate_b,0.15,0.15,1.0,1.0,1.5,0.0,True,True,False,False,False,,FR5_MB2_PD8_ODW8,25.0,50.0,-100.0,-0.06271311545993992,66.66666666666667,0.0,50.0,-0.003005605592378179,0.0030056055923781536,-0.03
B_a015_s015_b30,B,candidate_b,0.15,0.15,1.0,1.0,3.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.053280079107042286,50.0,50.0,0.0,-0.000851918990576219,0.0008519189905762032,-0.06
B_a015_s020_b15,B,candidate_b,0.15,0.2,1.0,1.0,1.5,0.0,True,True,False,False,False,,FR5_MB5_PD8_ODW8,0.0,50.0,-100.0,-0.04452063374615305,50.0,50.0,0.0,6.963304085903157e-05,-6.96330408590609e-05,0.020000000000000018
B_a015_s020_b30,B,candidate_b,0.15,0.2,1.0,1.0,3.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.06027055529436132,33.33333333333333,-50.0,50.0,-0.001859188509887033,0.0018591885098870103,-0.009999999999999981
B_a025_s010_b15,B,candidate_b,0.25,0.1,1.0,1.0,1.5,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.052546860901458034,0.0,0.0,50.0,-0.0029740399545397037,0.0029740399545396686,-0.18
