origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.5,50,1.0,7.0,,0.09778085345950281,0.14341842213539713,0.3706717577702344,0.006777087720882412,0.0028715716842843122,0.0036185303035901335,50,50,0.0,120
10.0,190.0,1.5,50,2.0,3.0,120,0.10606120243190639,0.047768957490704755,0.3679291349210874,0.004357484974383248,0.004263152641951932,0.004553956580817899,50,50,0.0,120
10.0,190.0,1.5,50,2.0,5.0,119,0.10606120243190639,0.047768957490704755,0.3679291349210874,0.004357484974383248,0.004263152641951932,0.004553956580817899,50,50,0.0,120
10.0,190.0,1.5,50,2.0,7.0,118,0.10606120243190639,0.047768957490704755,0.3679291349210874,0.004357484974383248,0.004263152641951932,0.004553956580817899,50,50,0.0,120
10.0,190.0,1.5,50,3.0,3.0,120,0.03846314006188959,0.04994360154543586,0.07963926190663535,0.00497649553048382,0.002069637549408471,0.006185301871137925,50,50,0.0,120
10.0,190.0,1.5,50,3.0,5.0,117,0.03846314006188959,0.04994360154543586,0.07963926190663535,0.00497649553048382,0.002069637549408471,0.006185301871137925,50,50,0.0,120
10.0,190.0,1.5,50,3.0,7.0,116,0.03846314006188959,0.04994360154543586,0.07963926190663535,0.00497649553048382,0.002069637549408471,0.006185301871137925,50,50,0.0,120
10.0,190.0,1.5,75,1.0,3.0,,0.28559576681632554,0.3807563619875111,0.41143123839481144,0.006331754718064863,0.002395361058752365,0.0030784651095206676,75,75,0.0,120
10.0,190.0,1.5,75,1.0,5.0,,0.28559576681632554,0.3807563619875111,0.41143123839481144,0.006331754718064863,0.002395361058752365,0.0030784651095206676,75,75,0.0,120
10.0,190.0,1.5,75,1.0,7.0,,0.28559576681632554,0.3807563619875111,0.41143123839481144,0.006331754718064863,0.002395361058752365,0.0030784651095206676,75,75,0.0,120
10.0,190.0,1.5,75,2.0,3.0,118,0.15424147636842164,0.2202952178413265,0.1721643949369258,0.005706957109811792,0.00266020712060596,0.0016520173328900664,75,75,0.0,120
10.0,190.0,1.5,75,2.0,5.0,117,0.15424147636842164,0.2202952178413265,0.1721643949369258,0.005706957109811792,0.00266020712060596,0.0016520173328900664,75,75,0.0,120
10.0,190.0,1.5,75,2.0,7.0,116,0.15424147636842164,0.2202952178413265,0.1721643949369258,0.005706957109811792,0.00266020712060596,0.0016520173328900664,75,75,0.0,120
10.0,190.0,1.5,75,3.0,3.0,117,0.09674579539993304,0.09831475825853288,0.1910848995314301,0.008471463852677705,0.003154610447658893,0.0034595531866801234,75,75,0.0,120
10.0,190.0,1.5,75,3.0,5.0,115,0.09674579539993304,0.09831475825853288,0.1910848995314301,0.008471463852677705,0.003154610447658893,0.0034595531866801234,75,75,0.0,120
10.0,190.0,1.5,75,3.0,7.0,114,0.09674579539993304,0.09831475825853288,0.1910848995314301,0.008471463852677705,0.003154610447658893,0.0034595531866801234,75,75,0.0,120
10.0,190.0,1.5,100,1.0,3.0,,0.19580602123606577,0.23120340793154853,0.38127620088094566,0.004205288109955951,0.0012093045949119782,0.00196845003384599,100,100,0.0,120
10.0,190.0,1.5,100,1.0,5.0,,0.19580602123606577,0.23120340793154853,0.38127620088094566,0.004205288109955951,0.0012093045949119782,0.00196845003384599,100,100,0.0,120
10.0,190.0,1.5,100,1.0,7.0,120,0.19580602123606577,0.23120340793154853,0.38127620088094566,0.004205288109955951,0.0012093045949119782,0.00196845003384599,100,100,0.0,120
10.0,190.0,1.5,100,2.0,3.0,116,0.1592787390562601,0.15551052935182247,0.21912668726218723,0.00489963101522364,0.003940308285435563,0.0019467999960071315,100,100,0.0,120
10.0,190.0,1.5,100,2.0,5.0,115,0.1592787390562601,0.15551052935182247,0.21912668726218723,0.00489963101522364,0.003940308285435563,0.0019467999960071315,100,100,0.0,120
10.0,190.0,1.5,100,2.0,7.0,114,0.1592787390562601,0.15551052935182247,0.21912668726218723,0.00489963101522364,0.003940308285435563,0.0019467999960071315,100,100,0.0,120
10.0,190.0,1.5,100,3.0,3.0,116,0.12461229525432944,0.21090830008038394,0.21146353115617456,0.004228512027080249,0.0020816103949767616,0.0021059054903818054,100,100,0.0,120
10.0,190.0,1.5,100,3.0,5.0,114,0.12461229525432944,0.21090830008038394,0.21146353115617456,0.004228512027080249,0.0020816103949767616,0.0021059054903818054,100,100,0.0,120
