movement_model,cell_FR,cell_MB,cell_PD,n_runs,win_rate_A,mean_survivors_A,median_end_tick,first_contact_tick_mean,cut_exists_rate,pocket_exists_rate,cut_tick_p50,pocket_tick_p50,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,mirror_ar_gap_mean,mirror_wedge_gap_mean,jitter_ar_A_mean,jitter_wedge_A_mean,runtime_cap_hit_count
v1,2,2,2,6,0.8333333333333334,14.666666666666666,459.0,109.66666666666667,1.0,1.0,132.5,159.5,2.202219274701378,1.0879781557436454,1.7126003564473689,1.0,23.666666666666668,0.18366150658028887,0.25518801419253667,0.010758121487555394,0.016872041169858413,0
v1,2,2,5,6,1.0,26.166666666666668,460.0,110.66666666666667,1.0,1.0,129.0,146.5,2.2317073384423805,1.087626210710117,1.7178514295153422,0.8333333333333334,23.333333333333332,0.212933663323172,0.25507644175859756,0.006961143283596463,0.02066934365784109,0
v1,2,2,8,6,1.0,24.833333333333332,456.5,110.16666666666667,1.0,1.0,129.5,164.0,2.239442300090976,1.0943413129819206,1.7187922155504296,0.6666666666666666,22.333333333333332,0.22807040017863012,0.2645411797059203,0.006447450520482331,0.014156218678715174,0
v1,2,5,2,6,0.8333333333333334,22.166666666666668,454.5,109.66666666666667,1.0,1.0,142.0,142.5,2.1990510523604194,1.067261418894556,1.7121616170646432,0.8333333333333334,24.833333333333332,0.1636747062503042,0.2298158981306425,0.011529541038839653,0.019098006872852697,0
v1,2,5,5,6,0.8333333333333334,20.0,473.5,110.66666666666667,1.0,1.0,130.0,151.5,2.253431780533827,1.0815678079828326,1.7185060445202538,0.8333333333333334,22.333333333333332,0.22698333362211265,0.2474373880631319,0.008245235661164247,0.01703697745347178,0
v1,2,5,8,6,1.0,19.0,478.5,110.66666666666667,1.0,1.0,129.0,137.5,2.2584894949351804,1.1035331122364864,1.7182439865960122,0.8500000000000014,22.666666666666668,0.23783614640429743,0.2735554396966728,0.007474699718961091,0.015602509752340834,0
v1,2,8,2,6,0.6666666666666666,9.0,476.5,109.83333333333333,1.0,1.0,129.0,138.0,2.1866651526214502,0.9950089508805856,1.7130156558216119,1.1666666666666667,24.666666666666668,0.1467097187099713,0.16243336584550438,0.012915154210095812,0.024983700983416724,0
v1,2,8,5,6,0.6666666666666666,19.5,439.5,110.5,1.0,1.0,130.5,155.5,2.221458371928795,1.048378694468931,1.715080264242103,0.6666666666666666,21.833333333333332,0.19102743799306243,0.2219232588763322,0.009932743426856069,0.018164881923301696,0
v1,2,8,8,6,0.6666666666666666,15.833333333333334,469.0,110.66666666666667,1.0,1.0,132.5,144.0,2.23239617708356,1.0797531404798593,1.7139838160868213,0.8333333333333334,23.333333333333332,0.20387550487594366,0.24860386883365207,0.008889418869806561,0.015480738269200147,0
v1,5,2,2,6,0.16666666666666666,1.0,489.0,104.83333333333333,1.0,1.0,124.5,169.0,2.1252822672972536,0.609129363694998,1.7287712898176055,5.833333333333333,50.666666666666664,0.18173065005470038,0.22961769446839608,0.023091817542878038,0.020424630525996818,0
