tick,alive_A,alive_B,max_outlier_persistence,persistent_outlier_count,candidate_count,isolated_candidate_count,blocked_candidate_count
197,48,56,12,0,20,11,0
198,48,55,13,0,20,15,0
199,47,55,14,0,20,12,0
200,47,55,15,0,20,12,0
201,46,54,16,0,20,11,0
202,46,54,17,0,20,14,0
203,45,54,18,0,20,15,0
204,45,53,19,0,20,14,0
205,44,53,20,1,20,13,0
206,44,53,21,1,20,16,0
207,43,52,22,1,20,18,0
208,43,52,23,1,20,11,0
209,42,52,24,1,20,9,0
210,42,51,25,1,20,15,0
211,41,51,26,1,20,15,0
212,41,51,27,1,20,15,0
213,40,50,28,1,20,15,0
214,40,50,29,1,20,14,0
215,39,50,30,1,20,15,0
216,39,49,5,0,20,11,0
217,38,49,6,0,20,12,0
218,38,49,7,0,20,15,0
219,38,48,8,0,20,13,0
220,37,48,9,0,20,15,0
221,37,48,10,0,20,17,0
222,37,47,0,0,20,13,0
223,36,47,0,0,20,10,0
224,36,47,0,0,20,10,0
225,36,46,0,0,20,13,0
226,35,46,0,0,20,16,0
227,35,46,0,0,20,19,0
228,35,46,0,0,20,13,0
229,34,45,0,0,20,17,0
230,34,45,1,0,20,11,0
231,34,45,0,0,20,16,0
232,33,44,0,0,20,8,0
233,33,44,1,0,20,7,0
234,33,44,2,0,20,14,0
235,32,43,3,0,20,13,0
236,32,43,3,0,20,11,0
237,32,43,4,0,20,14,0
238,31,43,5,0,20,11,0
239,31,42,0,0,20,14,0
240,31,42,1,0,20,13,0
241,30,42,2,0,20,15,0
242,30,42,3,0,20,13,0
243,30,41,4,0,20,13,0
244,29,41,5,0,20,14,0
245,29,41,6,0,20,13,0
246,29,41,7,0,20,10,0
247,28,40,8,0,20,7,0
248,28,40,0,0,20,13,0
249,28,40,1,0,20,12,0
250,27,40,2,0,20,12,0
251,27,39,3,0,20,10,0
252,27,39,4,0,20,15,0
253,26,39,5,0,20,11,0
254,26,39,6,0,20,9,0
255,26,38,7,0,20,10,0
256,25,38,8,0,20,9,0
257,25,38,0,0,20,11,0
258,25,38,0,0,20,12,0
259,24,37,0,0,20,10,0
260,24,37,0,0,20,8,0
261,24,37,0,0,20,10,0
262,23,37,0,0,20,13,0
263,23,36,0,0,20,18,0
264,23,36,0,0,20,16,0
265,22,36,0,0,20,17,0
266,22,36,0,0,20,15,0
267,22,36,0,0,20,16,0
268,22,35,0,0,20,8,0
269,21,35,0,0,20,14,0
270,21,35,0,0,20,17,0
271,21,35,0,0,20,17,0
272,20,35,0,0,20,14,0
273,20,34,0,0,20,9,0
274,20,34,0,0,20,15,0
275,19,34,0,0,20,10,0
276,19,34,1,0,20,14,0
277,19,34,2,0,20,16,0
278,18,33,3,0,20,11,0
279,18,33,4,0,20,14,0
280,18,33,5,0,20,14,0
281,18,33,6,0,20,13,0
282,17,33,7,0,20,13,0
283,17,33,8,0,20,12,0
284,17,33,9,0,20,11,0
285,16,32,10,0,20,13,0
286,16,32,0,0,20,14,0
287,16,32,0,0,20,15,0
288,16,32,0,0,20,12,0
289,15,32,0,0,20,12,0
290,15,32,0,0,20,15,0
291,15,32,0,0,20,16,0
292,15,31,0,0,20,16,0
293,14,31,0,0,20,15,0
294,14,31,0,0,20,14,0
295,14,31,0,0,20,15,0
296,14,31,0,0,20,16,0
297,13,31,0,0,20,11,0
298,13,31,0,0,20,14,0
299,13,31,0,0,20,17,0
300,13,30,0,0,20,13,0
