tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
37,B,100,10000.0,10000,0.16,0.026375565661898137,1.0,0,0,1,0,
38,A,100,10000.0,10000,0.2,0.03526547629430865,0.8099999999999998,0,0,1,0,
38,B,100,10000.0,10000,0.08,0.01864968186895366,1.0,0,0,1,0,
39,A,100,10000.0,10000,0.15,0.048215968563453004,0.8049999999999998,0,0,1,0,
39,B,100,10000.0,10000,0.06,0.009269883482169505,1.0,0,0,1,0,
40,A,100,10000.0,10000,0.13,0.03733014900038767,0.7999999999999998,0,0,1,0,
40,B,100,10000.0,10000,0.04,0.006963960916120504,1.0,0,0,1,0,
41,A,100,10000.0,10000,0.13,0.03273636151442616,0.7949999999999998,0,0,1,0,
41,B,100,10000.0,10000,0.06,0.00469410626836575,1.0,0,0,1,0,
42,A,100,10000.0,10000,0.11,0.033453410260628536,0.7899999999999998,0,0,1,0,
42,B,100,10000.0,10000,0.07,0.007084468403376176,1.0,0,0,1,0,
43,A,100,10000.0,10000,0.18,0.028617997438881715,0.7849999999999998,0,0,1,0,
43,B,100,10000.0,10000,0.04,0.00830345000852395,1.0,0,0,1,0,
44,A,100,10000.0,10000,0.1,0.04850467608902098,0.7799999999999998,0,0,1,0,
44,B,100,10000.0,10000,0.04,0.004791105448218147,1.0,0,0,1,0,
45,A,100,10000.0,10000,0.17,0.027602461289917057,0.7749999999999998,0,0,1,0,
45,B,100,10000.0,10000,0.04,0.004807506474190815,1.0,0,0,1,0,
46,A,100,10000.0,10000,0.23,0.04747804793310184,0.7699999999999998,0,0,1,0,
46,B,100,10000.0,10000,0.06,0.004821441868944731,1.0,0,0,1,0,
47,A,100,10000.0,10000,0.23,0.06612474007973546,0.7649999999999998,0,0,1,0,
47,B,100,10000.0,10000,0.06,0.007330497310168882,1.0,0,0,1,0,
48,A,100,10000.0,10000,0.12,0.06805546503109328,0.7599999999999998,0,0,1,0,
48,B,100,10000.0,10000,0.11,0.007228909060367883,1.0,0,0,1,0,
49,A,100,10000.0,10000,0.19,0.0366988002597729,0.7549999999999998,0,0,1,0,
49,B,100,10000.0,10000,0.06,0.013262430004316483,1.0,0,0,1,0,
50,A,100,10000.0,10000,0.12,0.0595074299977596,0.7499999999999998,0,0,1,0,
50,B,100,10000.0,10000,0.09,0.007140212959093506,1.0,0,0,1,0,
51,A,100,10000.0,10000,0.09,0.038267717264448,0.7449999999999998,0,0,1,0,
51,B,100,10000.0,10000,0.22,0.010805073488133643,1.0,0,0,1,0,
52,A,100,10000.0,10000,0.13,0.02964363425625194,0.7399999999999998,0,0,1,0,
52,B,100,10000.0,10000,0.08,0.026120864083576167,1.0,0,0,1,0,
53,A,100,10000.0,10000,0.2,0.04430541658602927,0.7349999999999998,0,0,1,0,
53,B,100,10000.0,10000,0.07,0.009518397584949434,1.0,0,0,1,0,
54,A,100,10000.0,10000,0.1,0.07015456621192862,0.7299999999999998,0,0,1,0,
54,B,100,10000.0,10000,0.09,0.008344937806906483,1.0,0,0,1,0,
55,A,100,10000.0,10000,0.1,0.035693192989877054,0.7249999999999998,0,0,1,0,
55,B,100,10000.0,10000,0.06,0.010755592703384553,1.0,0,0,1,0,
56,A,100,10000.0,10000,0.16,0.035719870545334986,0.7199999999999998,0,0,1,0,
56,B,100,10000.0,10000,0.1,0.0072017740396368435,1.0,0,0,1,0,
57,A,100,10000.0,10000,0.16,0.05879288911295433,0.7149999999999997,0,0,1,0,
57,B,100,10000.0,10000,0.08,0.011977073568336105,1.0,0,0,1,0,
58,A,100,10000.0,10000,0.13,0.05970966997604987,0.7099999999999997,0,0,1,0,
58,B,100,10000.0,10000,0.08,0.009557891727292267,1.0,0,0,1,0,
59,A,100,10000.0,10000,0.17,0.04960562399529933,0.7049999999999997,0,0,1,0,
59,B,100,10000.0,10000,0.05,0.009638728273642982,1.0,0,0,1,0,
60,A,100,10000.0,10000,0.07,0.0660615228321405,0.6999999999999997,0,0,1,0,
60,B,100,10000.0,10000,0.06,0.00595585759170425,1.0,0,0,1,0,
61,A,100,10000.0,10000,0.15,0.02785045600548708,0.6949999999999997,0,0,1,0,
61,B,100,10000.0,10000,0.07,0.007299661321659934,1.0,0,0,1,0,
62,A,100,10000.0,10000,0.12,0.060121823151619846,0.6899999999999997,0,0,1,0,
62,B,100,10000.0,10000,0.1,0.008607961896595961,1.0,0,0,1,0,
63,A,100,10000.0,10000,0.09,0.049181057812659135,0.6849999999999997,0,0,1,0,
63,B,100,10000.0,10000,0.11,0.01234059573459334,1.0,0,0,1,0,
64,A,100,10000.0,10000,0.07,0.037518385453396474,0.6799999999999997,0,0,1,0,
64,B,100,10000.0,10000,0.05,0.013535668888291053,1.0,0,0,1,0,
65,A,100,10000.0,10000,0.11,0.029803421950925335,0.6749999999999997,0,0,1,0,
65,B,100,10000.0,10000,0.05,0.006277847529173486,1.0,0,0,1,0,
66,A,100,10000.0,10000,0.08,0.04795137982768527,0.6699999999999997,0,0,1,0,
66,B,100,10000.0,10000,0.09,0.006227633257456788,1.0,0,0,1,0,
67,A,100,10000.0,10000,0.23,0.03562953236548938,0.6649999999999997,0,0,1,0,
67,B,100,10000.0,10000,0.06,0.01132956168813204,1.0,0,0,1,0,
68,A,100,10000.0,10000,0.11,0.10696189093542552,0.6599999999999997,0,0,1,0,
68,B,100,10000.0,10000,0.07,0.0076464072422675056,1.0,0,0,1,0,
69,A,100,10000.0,10000,0.12,0.052331667293837536,0.6549999999999997,0,0,1,0,
69,B,100,10000.0,10000,0.05,0.008637963645759306,1.0,0,0,1,0,
70,A,100,10000.0,10000,0.08,0.05835605815110112,0.6499999999999997,0,0,1,0,
70,B,100,10000.0,10000,0.08,0.0062500424338367555,1.0,0,0,1,0,
71,A,100,10000.0,10000,0.1,0.03969548595814487,0.6449999999999997,0,0,1,0,
71,B,100,10000.0,10000,0.13,0.00978567914296824,1.0,0,0,1,0,
72,A,100,10000.0,10000,0.1,0.05105593358033611,0.6399999999999997,0,0,1,0,
72,B,100,10000.0,10000,0.05,0.016142284202763424,1.0,0,0,1,0,
73,A,100,10000.0,10000,0.11,0.05244441076521711,0.6349999999999997,0,0,1,0,
73,B,100,10000.0,10000,0.1,0.006093078295406729,1.0,0,0,1,0,
74,A,100,10000.0,10000,0.11,0.05903733811242218,0.6299999999999997,0,0,1,0,
74,B,100,10000.0,10000,0.06,0.012283603875085758,1.0,0,0,1,0,
