tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
34,A,100,10000.0,10000,0.69,0.37625214425897135,1.0,0,0,1,0,
34,B,100,10000.0,10000,0.71,0.3371316365514363,1.0,0,0,1,0,
35,A,100,10000.0,10000,0.77,0.3316521899435988,1.0,0,0,1,0,
35,B,100,10000.0,10000,0.74,0.30431635241250776,1.0,0,0,1,0,
36,A,100,10000.0,10000,0.74,0.3523617511735413,1.0,0,0,1,0,
36,B,100,10000.0,10000,0.67,0.2899747484435571,1.0,0,0,1,0,
37,A,100,10000.0,10000,0.72,0.3256407522148226,1.0,0,0,1,0,
37,B,100,10000.0,10000,0.7,0.24917283486944353,1.0,0,0,1,0,
38,A,100,10000.0,10000,0.75,0.29837454629150617,1.0,0,0,1,0,
38,B,100,10000.0,10000,0.75,0.2531679218736802,1.0,0,0,1,0,
39,A,100,10000.0,10000,0.71,0.2955054993293367,1.0,0,0,1,0,
39,B,100,10000.0,10000,0.75,0.2602223043787437,1.0,0,0,1,0,
40,A,100,10000.0,10000,0.76,0.26781236975816736,1.0,0,0,1,0,
40,B,100,10000.0,10000,0.71,0.24331538571491318,1.0,0,0,1,0,
41,A,100,10000.0,10000,0.77,0.2713759991940372,1.0,0,0,1,0,
41,B,100,10000.0,10000,0.75,0.2235352863834109,1.0,0,0,1,0,
42,A,100,10000.0,10000,0.73,0.261002142564529,1.0,0,0,1,0,
42,B,100,10000.0,10000,0.7,0.23676287092280945,1.0,0,0,1,0,
43,A,100,10000.0,10000,0.66,0.24144251154567842,1.0,0,0,1,0,
43,B,100,10000.0,10000,0.71,0.2116239054013055,1.0,0,0,1,0,
44,A,100,10000.0,10000,0.65,0.20090725658854858,1.0,0,0,1,0,
44,B,100,10000.0,10000,0.71,0.20369776746646218,1.0,0,0,1,0,
45,A,100,10000.0,10000,0.71,0.18406249288563503,1.0,0,0,1,0,
45,B,100,10000.0,10000,0.64,0.20090289345523382,1.0,0,0,1,0,
46,A,100,10000.0,10000,0.74,0.19670470312760502,1.0,0,0,1,0,
46,B,100,10000.0,10000,0.71,0.17653785712265346,1.0,0,0,1,0,
47,A,100,10000.0,10000,0.61,0.1999259678833437,1.0,0,0,1,0,
47,B,100,10000.0,10000,0.72,0.18663761877395169,1.0,0,0,1,0,
48,A,100,10000.0,10000,0.62,0.1594452548464087,1.0,0,0,1,0,
48,B,100,10000.0,10000,0.66,0.1852194479775493,1.0,0,0,1,0,
49,A,100,10000.0,10000,0.7,0.1527912784268599,1.0,0,0,1,0,
49,B,100,10000.0,10000,0.8,0.1636084491651797,1.0,0,0,1,0,
50,A,100,10000.0,10000,0.68,0.17157756509580646,1.0,0,0,1,0,
50,B,100,10000.0,10000,0.73,0.18530840760510026,1.0,0,0,1,0,
51,A,100,10000.0,10000,0.63,0.16346704114340338,1.0,0,0,1,0,
51,B,100,10000.0,10000,0.73,0.1714747080762572,1.0,0,0,1,0,
52,A,100,10000.0,10000,0.73,0.14728836516343569,1.0,0,0,1,0,
52,B,100,10000.0,10000,0.79,0.1661218452051988,1.0,0,0,1,0,
53,A,100,10000.0,10000,0.72,0.16292016280358212,1.0,0,0,1,0,
53,B,100,10000.0,10000,0.66,0.17512914138128888,1.0,0,0,1,0,
54,A,100,10000.0,10000,0.73,0.15686667973862978,1.0,0,0,1,0,
54,B,100,10000.0,10000,0.67,0.1421108978321144,1.0,0,0,1,0,
55,A,100,10000.0,10000,0.7,0.15081134668402885,1.0,0,0,1,0,
55,B,100,10000.0,10000,0.7,0.13891656188730817,1.0,0,0,1,0,
56,A,100,10000.0,10000,0.69,0.14451601535955116,1.0,0,0,1,0,
56,B,100,10000.0,10000,0.76,0.14573689907108545,1.0,0,0,1,0,
57,A,100,10000.0,10000,0.76,0.14154513251837775,1.0,0,0,1,0,
