tick,deep_A,deep_B,ecs_A,ecs_B,coh_A,coh_B,dcoh_A,dcoh_B,pocket_A,pocket_B,reinteg_A,reinteg_B,alive_A,alive_B
75,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
76,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
77,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
78,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
79,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
80,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
81,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
82,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,100,100
83,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
84,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
85,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,5,0,1,100,100
86,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,5,0,0,100,100
87,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,5,0,0,100,100
88,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,5,0,0,100,100
89,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
90,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
91,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
92,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
93,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
94,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
95,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
96,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
97,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
98,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,7,0,0,100,100
99,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,1,100,100
100,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
101,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
102,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
103,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
104,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
105,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
106,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
107,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
108,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
109,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
110,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
111,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
112,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
113,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
114,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,100,100
115,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,1,0,99,100
116,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,99,100
117,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,1,0,99,100
118,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,99,100
119,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,99,100
120,0,0,0.0,0.0,1.0,1.0,0.0,0.0,6,6,0,0,99,100
121,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,1,0,98,100
122,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,98,100
123,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,98,100
124,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5,6,0,0,98,100
125,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,6,1,0,97,100
126,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,6,0,0,97,100
127,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,6,0,0,97,100
128,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,6,0,0,97,100
129,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,6,0,0,97,100
130,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,1,0,96,100
131,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
132,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
133,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
134,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
135,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
136,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,6,0,0,96,100
