tick,fleet_id,unit_id,objective_reached_tick,x_pre,y_pre,x_post,y_post,realized_dx,realized_dy,realized_disp_norm,realized_axial,centroid_x_pre,centroid_y_pre,centroid_to_objective_distance_pre,within_stop_radius_pre,axis_to_objective_x,axis_to_objective_y,target_dir_x,target_dir_y,forward_gain_effective,target_contrib_dx,target_contrib_dy,target_contrib_norm,using_fixture_expected_position,expected_pos_x,expected_pos_y,cohesion_vector_x,cohesion_vector_y,cohesion_norm,cohesion_axial_raw,cohesion_axial_gated,cohesion_deadband_triggered,one_sided_axial_restore_gate_active,cohesion_contrib_dx,cohesion_contrib_dy,cohesion_contrib_norm,separation_dir_x,separation_dir_y,separation_norm,separation_contrib_dx,separation_contrib_dy,separation_contrib_norm,boundary_x,boundary_y,boundary_contrib_dx,boundary_contrib_dy,boundary_contrib_norm,step_magnitude_gate_active,step_magnitude_gain,pre_projection_total_dx,pre_projection_total_dy,pre_projection_total_norm,projection_dx,projection_dy,projection_disp_norm,late_clamp_active_for_tick,late_clamp_overshoot,late_clamp_dx,late_clamp_dy,late_clamp_disp_norm,dominant_contributor_label
420,A,A1,425,355.58130972609933,328.4414336873802,356.2885530765182,329.1484038729526,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,355.1206028971513,328.2537560650811,-0.46070682894804804,-0.18767762229907703,0.4974672573659507,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A10,425,341.2682207366009,339.85765287618426,341.9754640910364,340.5646230577385,0.7072433544354908,0.7069701815542544,1.0000000000000102,1.0000000000000102,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351088,0.5655761484579175,0.8000000000000003,True,342.39513955684816,340.9841363726211,1.1269188202472833,1.1264834964368333,1.5933960886019776,0.0,0.0,False,False,0.14144867410036452,0.14139403309634,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433544354734,0.7069701815542574,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A100,425,335.15346965162644,362.02407302623374,335.8607130031545,362.73104321069655,0.7072433515280636,0.7069701844628185,1.0000000000000198,1.0000000000000198,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.9429911338918477,0.9426269140965289,1.3333333333333333,True,333.9136826487513,360.78476486557804,-1.2397870028751186,-1.2393081606556962,1.752985034039331,0.0,0.0,False,False,-0.23574778236380195,-0.23565672963372075,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433515280458,0.7069701844628081,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A11,425,340.64436839330847,342.0375545832914,341.35161174372735,342.7445247688638,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,340.98119918570336,342.39862307345885,0.3368307923948919,0.36106849016744036,0.4937868338637288,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A12,425,338.6817186162251,342.9279116470881,339.38896196992744,343.6348818293758,0.7072433537023244,0.706970182287705,1.0000000000000109,1.0000000000000109,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,339.56725881455856,343.8131097742966,0.8855401983334446,0.8851981272085254,1.2521011010608996,0.0,0.0,False,False,0.1414486733672114,0.1413940338297764,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433537023202,0.7069701822876937,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A13,425,337.75553314377214,345.04606991928824,338.462776494191,345.75304010486064,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,338.15331844341375,345.2275964751344,0.3977852996416118,0.18152655584617605,0.4372471098684836,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A14,425,335.8153200322506,345.718382087207,336.5225633860489,346.4253522693987,0.7072433537982761,0.7069701821916965,0.999999999999997,0.9999999999999969,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,336.739378072269,346.6420831759722,0.9240580400183944,0.9237010887651991,1.3065630343418762,0.0,0.0,False,False,0.1414486734631748,0.14139403373377588,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433537982835,0.7069701821916932,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A15,425,335.15974364396936,347.65158307437935,335.86698699438824,348.35855325995175,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,335.3254377011242,348.05656987680993,0.16569405715483754,0.40498680243058516,0.43757151497712965,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A16,425,332.9804107956746,348.5403297098492,333.6876541494911,349.2472998920226,0.7072433538165228,0.7069701821734498,1.000000000000002,1.000000000000002,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,333.9114973299794,349.4710565776477,0.9310865343048249,0.9307268677985121,1.3165009064963833,0.0,0.0,False,False,0.14144867348139312,0.1413940337155505,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433538165018,0.7069701821734679,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A17,425,332.17905113599227,350.8601319229509,332.88629448641115,351.56710210852333,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,332.4975569588346,350.8855432784855,0.31850582284232587,0.02541135553457252,0.31951791213415803,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
