tick,row_count,within_stop_radius_count,cohesion_deadband_count,projection_nonzero_count,late_clamp_nonzero_count,dominant_target_count,dominant_cohesion_count,dominant_separation_count,dominant_boundary_count,dominant_projection_count,dominant_late_clamp_count,mean_target_norm,mean_cohesion_norm,mean_separation_norm,mean_boundary_norm,mean_projection_norm,mean_late_clamp_norm,mean_realized_minus_pre_projection_norm,max_realized_minus_pre_projection_norm
420,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,1.761730998545206e-14,3.8656173759373825e-14
421,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,1.9134752978165976e-14,3.3748588647814775e-14
422,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,1.459062978777714e-14,3.694574685964375e-14
423,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,2.377644747354186e-14,3.815356980893988e-14
424,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,2.434572593797217e-14,3.591447075754528e-14
425,100,0,44,0,0,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.0,1.8702862980075618e-14,3.688898734660372e-14
426,100,100,44,0,0,100,0,0,0,0,0,1.0372032714187513,0.17039253770968354,0.0,0.0,0.0,0.0,1.3803174522860395e-14,3.442926725417442e-14
427,100,100,44,0,100,100,0,0,0,0,0,1.395219769942982,0.6347533958603672,0.0,0.0,0.0,0.24756623897371915,0.2475662389736863,0.24756623897371935
428,100,100,0,53,0,0,100,0,0,0,0,3.357837510593781e-10,1.0000000000017322,0.0,0.0,0.05004449138901265,0.0,0.050044491389018536,0.5749449591705437
429,100,100,0,71,100,0,57,40,0,3,0,0.009374527471422353,0.7812144901666958,0.48351695385422927,0.0,0.26879770744703607,0.023916851534415515,0.2776927880808182,1.2705008374853284
430,100,100,2,73,100,0,36,62,0,2,0,0.06281420017573419,0.6084915233237563,0.6209214630174045,0.0,0.28941861786105766,0.06994423034278062,0.31352665121029966,0.9657675794115023
overall,1100,500,354,197,300,800,193,102,0,5,0,0.7876919790313367,0.37044108609656695,0.10040349244287579,0.0,0.05529643788155514,0.03103884735008319,0.0808027426958141,1.2705008374853284
