axis_to_objective_x,axis_to_objective_y,boundary_contrib_dx,boundary_contrib_dy,boundary_x,boundary_y,centroid_to_objective_distance_pre,centroid_x_pre,centroid_y_pre,cohesion_contrib_dx,cohesion_contrib_dy,cohesion_deadband_triggered,cohesion_norm,cohesion_vector_x,cohesion_vector_y,expected_pos_x,expected_pos_y,fleet_id,forward_gain_effective,late_clamp_active_for_tick,late_clamp_dx,late_clamp_dy,late_clamp_overshoot,pre_projection_total_dx,pre_projection_total_dy,pre_projection_total_norm,projection_disp_norm,projection_dx,projection_dy,realized_disp_norm,realized_dx,realized_dy,separation_contrib_dx,separation_contrib_dy,separation_dir_x,separation_dir_y,separation_norm,target_contrib_dx,target_contrib_dy,target_dir_x,target_dir_y,tick,unit_id,using_fixture_expected_position,within_stop_radius_pre,x_post,x_pre,y_post,y_pre
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.0,0.0,True,0.4974672573659507,-0.46070682894804804,-0.18767762229907703,355.1206028971513,328.2537560650811,A,1.0,False,0.0,0.0,0.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,0.9999999999999981,0.707243350418878,0.706970185572402,0.0,0.0,0.0,0.0,0.0,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,420,A1,True,False,356.2885530765182,355.58130972609933,329.1484038729526,328.4414336873802
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867259518284,0.14139403460210329,False,0.6281975775541487,0.4442885673627188,0.4441169500882438,353.70666252600654,329.66824276591893,A,1.0,False,0.0,0.0,0.0,0.7072433529302915,0.7069701830600206,0.9999999999999999,0.0,0.0,0.0,1.0000000000000009,0.7072433529302771,0.7069701830600366,0.0,0.0,0.0,0.0,0.0,0.5657946803351087,0.5655761484579174,0.7072433504188859,0.7069701855723967,420,A2,True,False,353.9696173115741,353.2623739586438,329.9310959988907,329.2241258158307
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867950479995,0.14139402768981585,False,2.457882644866278,1.7383212724705004,1.7376496337327012,352.29272215486174,331.0827294667567,A,1.0,False,0.0,0.0,0.0,0.7072433598399088,0.7069701761477334,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.7072433598399357,0.7069701761477063,0.0,0.0,0.0,0.0,0.0,0.5657946803351088,0.5655761484579175,0.7072433504188859,0.7069701855723967,420,A3,True,False,351.26164424223117,350.55440088239123,330.0520500091717,329.345079833024
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.1414486737922001,0.14139403340462342,False,1.4688401609521369,1.0388274638970074,1.0384261739185945,350.87878178371693,332.49721616759444,A,1.0,False,0.0,0.0,0.0,0.7072433541273088,0.7069701818625408,0.9999999999999999,0.0,0.0,0.0,0.9999999999999664,0.7072433541272858,0.7069701818625163,0.0,0.0,0.0,0.0,0.0,0.5657946803351087,0.5655761484579174,0.7072433504188859,0.7069701855723967,420,A4,True,False,350.5471976739472,349.8399543198199,332.16576017553837,331.45878999367585
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867431259092,0.14139403288403155,False,1.6672353023257105,1.1791411164056171,1.1786856158122987,349.4648414125721,333.91170286843226,A,1.0,False,0.0,0.0,0.0,0.7072433546476997,0.706970181341949,1.0,0.0,0.0,0.0,0.9999999999999879,0.7072433546476873,0.7069701813419442,0.0,0.0,0.0,0.0,0.0,0.5657946803351088,0.5655761484579175,0.7072433504188859,0.7069701855723967,420,A5,True,False,348.9929436508142,348.2857002961665,333.4399874339619,332.73301725261996
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.1414486784092855,0.14139402878575374,False,2.3591401595642596,1.6684862887631766,1.6678416581552824,348.0509010414273,335.32618956927,A,1.0,False,0.0,0.0,0.0,0.7072433587443944,0.7069701772436713,1.0,0.0,0.0,0.0,0.9999999999999818,0.7072433587443925,0.7069701772436474,0.0,0.0,0.0,0.0,0.0,0.5657946803351088,0.5655761484579175,0.7072433504188859,0.7069701855723967,420,A6,True,False,347.08965811140854,346.38241475266415,334.3653180883584,333.65834791111473
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867282510185,0.14139403437209538,False,0.8588966677520038,0.607448968737117,0.6072143248110251,346.6369606702825,336.74067627010777,A,1.0,False,0.0,0.0,0.0,0.7072433531602106,0.7069701828300128,1.0,0.0,0.0,0.0,0.9999999999999835,0.7072433531602087,0.7069701828299912,0.0,0.0,0.0,0.0,0.0,0.5657946803351087,0.5655761484579174,0.7072433504188859,0.7069701855723967,420,A7,True,False,346.7367550547056,346.0295117015454,336.84043212812674,336.13346194529674
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.0,0.0,True,0.14655297316080484,0.0002670898065275651,-0.14655272977773848,345.2230202991378,338.1551629709455,A,1.0,False,0.0,0.0,0.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,0.9999999999999981,0.707243350418878,0.706970185572402,0.0,0.0,0.0,0.0,0.0,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,420,A8,True,False,345.9299965597501,345.22275320933124,339.00868588629567,338.30171570072326
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867266566846,0.1413940345315904,False,0.7045834789681744,0.49831198941103594,0.4981195037780708,343.80907992799297,339.56964967178334,A,1.0,False,0.0,0.0,0.0,0.7072433530007771,0.7069701829895078,0.9999999999999999,0.0,0.0,0.0,0.9999999999999801,0.7072433530007629,0.7069701829894939,0.0,0.0,0.0,0.0,0.0,0.5657946803351087,0.5655761484579174,0.7072433504188859,0.7069701855723967,420,A9,True,False,344.0180112915827,343.31076793858193,339.77850035099476,339.07153016800527
0.7072433504188859,0.7069701855723967,0.0,0.0,0.0,0.0,7.752433761026221,344.51714277295133,344.5192604653296,0.14144867410036452,0.14139403309634,False,1.5933960886019776,1.1269188202472833,1.1264834964368333,342.39513955684816,340.9841363726211,A,1.0,False,0.0,0.0,0.0,0.7072433544354734,0.7069701815542574,1.0,0.0,0.0,0.0,1.0000000000000102,0.7072433544354908,0.7069701815542544,0.0,0.0,0.0,0.0,0.0,0.5657946803351088,0.5655761484579175,0.7072433504188859,0.7069701855723967,420,A10,True,False,341.9754640910364,341.2682207366009,340.5646230577385,339.85765287618426
