tick,unit_id,fleet_id,chosen_candidate_source,chosen_displacement_norm,realistic_min_displacement_threshold
420,A99,A,prev_window_next_window,5.999999999999917,0.2
420,A100,A,prev_window_next_window,6.000000000000019,0.2
421,A1,A,prev_window_next_window,6.000000000000045,0.2
421,A2,A,prev_window_next_window,6.000000000000044,0.2
421,A3,A,prev_window_next_window,5.9999999999999565,0.2
421,A4,A,prev_window_next_window,6.000000000000057,0.2
421,A5,A,prev_window_next_window,5.9999999999999405,0.2
421,A6,A,prev_window_next_window,6.000000000000004,0.2
421,A7,A,prev_window_next_window,6.000000000000009,0.2
421,A8,A,prev_window_next_window,6.000000000000045,0.2
421,A9,A,prev_window_next_window,6.000000000000023,0.2
421,A10,A,prev_window_next_window,6.000000000000029,0.2
421,A11,A,prev_window_next_window,6.000000000000045,0.2
421,A12,A,prev_window_next_window,6.000000000000034,0.2
421,A13,A,prev_window_next_window,6.000000000000045,0.2
421,A14,A,prev_window_next_window,5.999999999999933,0.2
421,A15,A,prev_window_next_window,6.000000000000045,0.2
421,A16,A,prev_window_next_window,6.000000000000001,0.2
421,A17,A,prev_window_next_window,6.000000000000045,0.2
421,A18,A,prev_window_next_window,6.000000000000084,0.2
421,A19,A,prev_window_next_window,6.000000000000045,0.2
421,A20,A,prev_window_next_window,6.000000000000045,0.2
421,A21,A,prev_window_next_window,6.000000000000055,0.2
421,A22,A,prev_window_next_window,6.000000000000045,0.2
421,A23,A,prev_window_next_window,5.999999999999994,0.2
421,A24,A,prev_window_next_window,6.000000000000006,0.2
421,A25,A,prev_window_next_window,5.999999999999957,0.2
421,A26,A,prev_window_next_window,6.000000000000037,0.2
421,A27,A,prev_window_next_window,6.000000000000045,0.2
421,A28,A,prev_window_next_window,6.000000000000045,0.2
421,A29,A,prev_window_next_window,6.000000000000041,0.2
421,A30,A,prev_window_next_window,6.000000000000092,0.2
421,A31,A,prev_window_next_window,6.000000000000045,0.2
421,A32,A,prev_window_next_window,5.999999999999965,0.2
421,A33,A,prev_window_next_window,6.000000000000045,0.2
421,A34,A,prev_window_next_window,6.000000000000066,0.2
421,A35,A,prev_window_next_window,6.000000000000045,0.2
421,A36,A,prev_window_next_window,5.9999999999999964,0.2
421,A37,A,prev_window_next_window,6.000000000000045,0.2
421,A38,A,prev_window_next_window,6.000000000000004,0.2
421,A39,A,prev_window_next_window,6.000000000000045,0.2
421,A40,A,prev_window_next_window,6.000000000000045,0.2
421,A41,A,prev_window_next_window,5.999999999999946,0.2
421,A42,A,prev_window_next_window,6.000000000000045,0.2
421,A43,A,prev_window_next_window,6.000000000000045,0.2
421,A44,A,prev_window_next_window,5.999999999999956,0.2
421,A45,A,prev_window_next_window,6.000000000000045,0.2
421,A46,A,prev_window_next_window,6.000000000000013,0.2
421,A47,A,prev_window_next_window,6.000000000000045,0.2
421,A48,A,prev_window_next_window,6.000000000000045,0.2
421,A49,A,prev_window_next_window,5.99999999999997,0.2
421,A50,A,prev_window_next_window,5.999999999999966,0.2
421,A51,A,prev_window_next_window,6.000000000000045,0.2
421,A52,A,prev_window_next_window,5.999999999999989,0.2
421,A53,A,prev_window_next_window,6.000000000000045,0.2
421,A54,A,prev_window_next_window,6.000000000000002,0.2
421,A55,A,prev_window_next_window,6.000000000000045,0.2
421,A56,A,prev_window_next_window,6.000000000000002,0.2
421,A57,A,prev_window_next_window,6.000000000000045,0.2
421,A58,A,prev_window_next_window,6.000000000000045,0.2
421,A59,A,prev_window_next_window,6.000000000000045,0.2
421,A60,A,prev_window_next_window,6.000000000000021,0.2
421,A61,A,prev_window_next_window,6.000000000000071,0.2
421,A62,A,prev_window_next_window,6.000000000000045,0.2
421,A63,A,prev_window_next_window,6.00000000000008,0.2
421,A64,A,prev_window_next_window,6.000000000000045,0.2
421,A65,A,prev_window_next_window,6.000000000000045,0.2
421,A66,A,prev_window_next_window,6.000000000000011,0.2
421,A67,A,prev_window_next_window,6.000000000000045,0.2
421,A68,A,prev_window_next_window,6.000000000000045,0.2
421,A69,A,prev_window_next_window,6.000000000000045,0.2
421,A70,A,prev_window_next_window,6.000000000000054,0.2
421,A71,A,prev_window_next_window,6.000000000000045,0.2
421,A72,A,prev_window_next_window,6.000000000000045,0.2
421,A73,A,prev_window_next_window,5.999999999999966,0.2
421,A74,A,prev_window_next_window,6.000000000000045,0.2
421,A75,A,prev_window_next_window,6.000000000000045,0.2
421,A76,A,prev_window_next_window,6.000000000000045,0.2
421,A77,A,prev_window_next_window,6.000000000000045,0.2
421,A78,A,prev_window_next_window,5.999999999999975,0.2
421,A79,A,prev_window_next_window,6.000000000000045,0.2
421,A80,A,prev_window_next_window,6.000000000000091,0.2
421,A81,A,prev_window_next_window,6.000000000000012,0.2
421,A82,A,prev_window_next_window,6.000000000000041,0.2
421,A83,A,prev_window_next_window,6.000000000000022,0.2
421,A84,A,prev_window_next_window,6.000000000000045,0.2
421,A85,A,prev_window_next_window,6.000000000000025,0.2
421,A86,A,prev_window_next_window,6.000000000000045,0.2
421,A87,A,prev_window_next_window,6.000000000000045,0.2
421,A88,A,prev_window_next_window,5.999999999999976,0.2
421,A89,A,prev_window_next_window,6.000000000000009,0.2
421,A90,A,prev_window_next_window,6.000000000000058,0.2
421,A91,A,prev_window_next_window,6.000000000000015,0.2
421,A92,A,prev_window_next_window,6.000000000000055,0.2
421,A93,A,prev_window_next_window,5.999999999999975,0.2
421,A94,A,prev_window_next_window,5.999999999999923,0.2
421,A95,A,prev_window_next_window,6.000000000000029,0.2
421,A96,A,prev_window_next_window,5.999999999999991,0.2
421,A97,A,prev_window_next_window,5.999999999999972,0.2
421,A98,A,prev_window_next_window,6.000000000000051,0.2
421,A99,A,prev_window_next_window,5.999999999999921,0.2
421,A100,A,prev_window_next_window,6.000000000000007,0.2
422,A1,A,prev_window_next_window,6.000000000000048,0.2
422,A2,A,prev_window_next_window,6.00000000000003,0.2
422,A3,A,prev_window_next_window,5.999999999999974,0.2
422,A4,A,prev_window_next_window,6.0000000000000036,0.2
422,A5,A,prev_window_next_window,5.999999999999992,0.2
422,A6,A,prev_window_next_window,6.0000000000000036,0.2
422,A7,A,prev_window_next_window,5.999999999999995,0.2
