tick,row_count,dominant_target_count,dominant_cohesion_count,dominant_separation_count,dominant_boundary_count,dominant_projection_count,dominant_late_clamp_count,mean_target_contrib_norm,mean_cohesion_contrib_norm,mean_separation_contrib_norm,mean_projection_contrib_norm,mean_late_clamp_contrib_norm,mean_cohesion_norm
420,100,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245365049183
421,100,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245368820145
422,100,100,0,0,0,0,0,1.0266666666666655,0.14666666666666683,0.0,0.0,0.0,0.9089245372905911
423,100,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245377464391
424,100,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245382771787
425,100,100,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245389396521
426,100,100,0,0,0,0,0,1.0372032714187511,0.17039253770968354,0.0,0.0,0.0,0.9089245398846206
427,100,100,0,0,0,0,0,2.147179953840235,1.2274701438971194,0.0,0.009225398422640833,0.23193270213680706,1.200959831575131
428,100,10,74,16,0,0,0,0.10263404854620722,0.7963882872152704,0.15537708817228763,0.14921172277289724,0.10981550217502618,1.790889623589835
429,100,46,0,52,0,2,0,1.4885311266073233,0.8308307688407462,0.5709405796638523,0.18691462990400903,0.0,1.1691192650396387
430,100,6,52,41,0,1,0,0.4168808574194356,0.9080976917654258,0.42066598268985556,0.2290898721245332,0.0,1.7623462450425325
