tick,row_count,dominant_target_count,dominant_cohesion_count,dominant_separation_count,dominant_boundary_count,dominant_projection_count,dominant_late_clamp_count,dominant_mixed_count,mean_target_contrib_norm,mean_cohesion_contrib_norm,mean_separation_contrib_norm,mean_projection_contrib_norm,mean_late_clamp_contrib_norm,mean_cohesion_norm
420,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245365049184
421,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245368820147
422,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245372905911
423,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.908924537746439
424,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.9089245382771787
425,100,100,0,0,0,0,0,0,1.0266666666666655,0.1466666666666668,0.0,0.0,0.0,0.908924538939652
426,100,100,0,0,0,0,0,0,1.0372032714187511,0.17039253770968354,0.0,0.0,0.0,0.9089245398846205
427,100,100,0,0,0,0,0,0,1.395219769942982,0.6347533958603672,0.0,0.0,0.24756623897377852,0.9089245398913206
428,100,44,56,0,0,0,0,0,0.44000000192950345,0.5599999999999976,0.0,0.26878610493425975,0.44000066860555154,0.9089245399007022
429,100,15,12,69,0,4,0,0,0.1934869120691584,0.2140720600402551,0.6928707262757944,0.38274970335196273,0.10076910888157543,0.5486601250557004
430,100,1,10,88,0,1,0,0,0.02715926384111914,0.3368334628158219,0.8493054033602004,0.3226586454726575,0.0,0.7842667241760222
