tick,unit_id,fleet_id,x,y,effective_heading_x,effective_heading_y,realistic_heading_x,realistic_heading_y,angle_delta_deg_effective_vs_realistic
420,A1,A,356.2885530765182,329.1484038729526,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A10,A,341.9754640910364,340.5646230577385,0.7072433544354836,0.7069701815542472,0.7072433542499019,0.7069701817399004,0.0
420,A100,A,335.8607130031545,362.73104321069655,0.7072433515280496,0.7069701844628045,0.7072433513193892,0.7069701846715453,0.0
420,A11,A,341.35161174372735,342.7445247688638,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A12,A,339.38896196992744,343.6348818293758,0.7072433537023167,0.7069701822876974,0.707243353539146,0.706970182450931,0.0
420,A13,A,338.462776494191,345.75304010486064,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A14,A,336.5225633860489,346.4253522693987,0.7072433537982782,0.7069701821916986,0.7072433536320575,0.7069701823579835,0.0
420,A15,A,335.86698699438824,348.35855325995175,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A16,A,333.6876541494911,349.2472998920226,0.7072433538165214,0.7069701821734483,0.7072433536497135,0.7069701823403208,0.0
420,A17,A,332.88629448641115,351.56710210852333,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A18,A,330.6830123099663,351.8995804844338,0.7072433543638462,0.7069701816259121,0.7072433541803959,0.7069701818094333,0.0
420,A19,A,330.21371099401523,353.99965777238396,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A2,A,353.9696173115741,329.9310959988907,0.7072433529302764,0.7069701830600359,0.7072433527962465,0.7069701831941174,0.0
420,A20,A,329.1413032195765,356.30924896160684,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A21,A,357.7841764313933,330.91630082847286,0.7072433522225704,0.7069701837680152,0.7072433520681756,0.7069701839224697,0.0
420,A22,A,355.5968555880482,331.3002433032325,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A23,A,353.6822663944212,332.47173703217544,0.7072433530294205,0.7069701829608533,0.7072433528667661,0.7069701831235706,0.0
420,A24,A,351.9792951478856,333.59730451177376,0.7072433537155586,0.7069701822744502,0.7072433535334012,0.706970182456678,0.0
420,A25,A,350.9792907319036,335.42556726440637,0.7072433528147928,0.7069701831755639,0.7072433526585036,0.7069701833319135,8.537736462515939e-07
420,A26,A,348.5369421780585,335.81204313476496,0.7072433578416221,0.7069701781467924,0.7072433575467185,0.7069701784418099,0.0
420,A27,A,348.38322283510735,338.44671427641464,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A28,A,347.6385184276249,340.44615328915756,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A29,A,345.49555072871783,341.25546910093345,0.7072433525707827,0.7069701834196684,0.7072433524223175,0.706970183568191,0.0
420,A3,A,351.26164424223117,330.0520500091717,0.7072433598399358,0.7069701761477064,0.7072433595062962,0.706970176481475,0.0
420,A30,A,343.38995079443765,341.97856342637425,0.7072433540715003,0.7069701819183712,0.7072433538794017,0.7069701821105437,0.0
420,A31,A,342.9123886049253,344.46701822236383,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A32,A,340.8970816615662,345.1424190171635,0.7072433531462681,0.7069701828439607,0.7072433529802226,0.7069701830100703,0.0
420,A33,A,340.5822333859633,347.2470865247911,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A34,A,337.9884817808557,347.89070446221484,0.707243353322136,0.7069701826680247,0.7072433531510609,0.706970182839166,0.0
420,A35,A,337.0838868215947,349.99892228440586,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A36,A,335.1021408523335,350.66124026124373,0.7072433534647287,0.7069701825253771,0.7072433532896232,0.7069701827005502,0.0
420,A37,A,334.43533903493807,352.9281707929865,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A38,A,332.52962465896275,353.74547956507934,0.7072433529278325,0.7069701830624805,0.707243352768157,0.7069701832222177,1.2074182697257333e-06
420,A39,A,331.74824105980434,355.6666878401776,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A4,A,350.5471976739472,332.16576017553837,0.7072433541273095,0.70697018186254,0.7072433539509395,0.7069701820389782,1.2074182697257333e-06
420,A40,A,330.74218624123813,357.67210597426964,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A41,A,359.2398184435995,332.3713806148371,0.7072433518833375,0.7069701841073791,0.7072433517105433,0.7069701842802402,0.0
420,A42,A,357.07255241304523,332.80023725328994,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A43,A,355.97983189900873,334.89885824097155,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A44,A,353.77130496707827,335.38862216115774,0.7072433525284995,0.706970183461968,0.707243352358883,0.70697018363165,0.0
420,A45,A,352.8222120651415,337.1722705511464,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A46,A,350.74091813176955,338.0151676954085,0.7072433529135392,0.7069701830767795,0.7072433527350285,0.7069701832553591,0.0
420,A47,A,349.7656420769951,339.8927451678537,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A48,A,349.0489031271679,341.8723042627698,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A49,A,346.9118726156127,342.67124394781194,0.7072433522201834,0.7069701837704031,0.7072433520567475,0.7069701839339021,0.0
420,A5,A,348.9929436508142,333.4399874339619,0.7072433546476958,0.7069701813419528,0.7072433544558769,0.7069701815338458,0.0
420,A50,A,345.1124063662694,343.70035369141704,0.7072433528550301,0.706970183135311,0.707243352677893,0.7069701833125167,0.0
420,A51,A,344.8916668861536,345.9668903273064,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A52,A,342.6601528854104,346.9048092570951,0.7072433522331696,0.7069701837574118,0.7072433520694922,0.7069701839211525,1.2074182697257333e-06
420,A53,A,341.88601744041995,348.8332488003524,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A54,A,339.4708129158087,349.37246305587706,0.7072433528255341,0.7069701831648184,0.7072433526491073,0.7069701833413135,1.2074182697257333e-06
420,A55,A,338.86477649795796,352.04174477588424,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A56,A,336.71104086203553,352.26951883640663,0.7072433526919212,0.7069701832984833,0.7072433525186342,0.7069701834718369,0.0
420,A57,A,336.09880056787114,354.40761237788263,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A58,A,334.85296256617954,355.972185058694,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A59,A,333.3386734111926,357.44412039870656,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A6,A,347.08965811140854,334.3653180883584,0.7072433587444054,0.7069701772436603,0.7072433584392909,0.7069701775488926,0.0
420,A60,A,332.76829421114587,359.63981883174455,0.7072433520547727,0.706970183935878,0.707243351873425,0.7069701841172955,0.0
420,A61,A,361.02421326613546,334.1550862382602,0.7072433516969272,0.7069701842938616,0.7072433515034979,0.7069701844873655,0.0
420,A62,A,358.51342195712067,334.65665845064296,0.7072433504188793,0.7069701855724033,0.7072433503003884,0.70697018569094,0.0
420,A63,A,357.7817106438761,336.5695978980751,0.7072433515151487,0.7069701844757105,0.7072433513256123,0.7069701846653197,0.0
