scale,n_pairs,mean_abs_delta_first_contact,p50_abs_delta_cut,p50_abs_delta_pocket,mean_delta_mirror_ar_gap,mean_delta_mirror_wedge_gap,mean_delta_jitter_ar_A,mean_delta_jitter_wedge_A,mean_delta_jitter_split_A
0.65,18,1.8888888888888888,2.5,28.0,-0.08750152298461558,-0.14568964357001565,-0.006149116069342345,-0.0008945834539176798,-0.0012521411010309983
0.7,18,1.6111111111111112,2.0,14.5,-0.08064325716880176,-0.1154549225894301,-0.005017222406714073,-0.0006457469621863536,-0.0012859663730138574
