run_id,movement_model,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB2_PD5_vs_reuenthal_v3b3,v3b3,8,2,5,reuenthal,3,v2,A,434,21,0,109,117,133,144,2.0222884385232645,2.1671629258589897,0.6784225586014352,0.6609033622151198,1.7384362307091106,1.9194604988117683,0.9327021574451888,58f20a805032110f7add2c67675bc0d04a591cf6da226d7f70e2c17fc855bd7f
precontact_FR8_MB2_PD5_vs_reuenthal_v3b4,v3b4,8,2,5,reuenthal,3,v2,A,466,16,0,108,116,135,142,2.109895874071661,2.1862687152412863,0.6633790615612899,0.6185646556666007,1.7259146091796276,2.0688488880455047,1.0832757293850621,caa8351d07cb5becf2ca9fca9de52edb6350ff416df2a606ddae71748cd9f9c6
precontact_FR8_MB2_PD5_vs_reuenthal_v3b5,v3b5,8,2,5,reuenthal,3,v2,A,408,28,0,109,118,135,173,2.044203559853016,2.1862687152412863,0.6849130475727437,0.6376349836228561,1.7258278530877136,2.0429344324910215,1.0460155323443214,a0a850c6101cb43df8dcaddce891b5d3d3aaea17af7d22ee618d002b00ada4b0
precontact_FR8_MB2_PD5_vs_mittermeyer_v3a,v3a,8,2,5,mittermeyer,4,v2,A,435,20,0,107,115,126,211,2.074601386557151,2.1862687152412863,0.6727900548460259,0.6484190078684736,1.7352626641468638,1.9912963876599785,1.058873372661198,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634
precontact_FR8_MB2_PD5_vs_mittermeyer_v3b1,v3b1,8,2,5,mittermeyer,4,v2,A,419,28,0,107,115,164,198,2.2101929282788477,2.4931215250457273,0.6592476355831192,0.6316256325710395,1.7480908269804245,2.026580592522913,0.9530793430362543,3032121ce6a20805b85e1580ea74b8cffea924deb2c1ba2713724cb0dbd76121
precontact_FR8_MB2_PD5_vs_mittermeyer_v3b2,v3b2,8,2,5,mittermeyer,4,v2,A,468,17,0,107,115,183,174,2.3076938497369994,2.3731871148245425,0.6363866222744805,0.5745644142376062,1.7475622037137102,1.9529618946466063,0.814793808588956,1bd5ffdfdb83b5cb8948a2c4d1dc7126deb9f337ce287c335944fd432c125b23
precontact_FR8_MB2_PD5_vs_mittermeyer_v3b3,v3b3,8,2,5,mittermeyer,4,v2,B,517,0,7,106,115,197,217,2.1984362428117574,2.302752076069411,0.6926480030734282,0.6360790825586007,1.7399353120229049,2.1368294639815937,0.98503268602152,04ff2d0debe557c1092ee00904c5077659d8e30976138c75217a922b8760ce78
precontact_FR8_MB2_PD5_vs_mittermeyer_v3b4,v3b4,8,2,5,mittermeyer,4,v2,A,457,15,0,106,114,174,176,2.100122509457153,2.1862687152412863,0.6379468724179409,0.5730483083839261,1.734162065213125,1.9030900387504857,0.9521791091605213,8758bb8b8293683aa20ba4f9e9aa8e8311c78bd621edf1df56e8ae704638ff9b
precontact_FR8_MB2_PD5_vs_mittermeyer_v3b5,v3b5,8,2,5,mittermeyer,4,v2,B,477,0,12,106,115,199,160,2.006795368814947,2.1862687152412863,0.6462556373213679,0.603000754691812,1.7342615978726148,2.0755516224466093,0.9146134317018382,20a5025612b1d892c0724ba128bd621f55c41d6d6f3a4d3ffb575eb045956340
precontact_FR8_MB2_PD5_vs_bittenfeld_v3a,v3a,8,2,5,bittenfeld,5,v2,B,463,0,13,105,113,293,201,2.216616834119818,2.301192695514181,0.6527238992270668,0.6405939371028174,1.7387048289866622,2.1433252656694814,0.9388419773483638,767e9ec25ff4ebab5dc90c972ce36feabff9e2edf6a62c9d295d6f03d0cc2ad2
precontact_FR8_MB2_PD5_vs_bittenfeld_v3b1,v3b1,8,2,5,bittenfeld,5,v2,B,432,0,16,105,113,175,159,2.4954235377588745,2.616068105247793,0.6068124028665876,0.542594003963884,1.735300294851287,2.3510160876858732,1.0,62b3f5383daf3ffe2ac3b0bc99909d89fa4bd571f583d94cecb20aa1cfbcafb3
