run_id,movement_model,movement_v3a_experiment,movement_v3a_variant_id,centroid_probe_scale,runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_window_last_tick,precontact_ar_p90_A,precontact_ar_p90_B,precontact_wedge_p10_A,precontact_wedge_p10_B,precontact_split_p90_A,precontact_split_p90_B,precontact_persistent_outlier_p90,precontact_max_persistence_max,precontact_ar_p90_gap_AB,precontact_wedge_p10_gap_AB,precontact_split_p90_gap_AB,precontact_ar_jitter_A,precontact_ar_jitter_B,precontact_wedge_jitter_A,precontact_wedge_jitter_B,precontact_split_jitter_A,precontact_split_jitter_B,cut_before_contact,pocket_before_contact,determinism_digest,rep_index,precontact_outlier_total_p90,phase_label
FR8_MB2_PD5_vs_reuenthal_base_rep01,v3a,base,base,1.0,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,15,0,108,117,132,135,100,1.9755744071558732,2.1977728281735036,0.7002160827132036,0.8304752630260097,1.7278565173906955,1.7151093795045538,0.0,13.0,0.22219842101763043,0.13025918031280614,0.01274713788614168,0.020321630765892013,0.008306939403843625,0.016867112249282962,0.006685472603761963,0.0028995711671697183,0.0019109956338743106,False,False,e318ff0ee74affeb3a968a47089f92d4f7a1e3f4c17d45d7f2fbae92ee5814cf,1,1.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reuenthal_probe_1.00_rep01,v3a,exp_precontact_centroid_probe,probe_1.00,1.0,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,15,0,108,117,132,135,100,1.9755744071558732,2.1977728281735036,0.7002160827132036,0.8304752630260097,1.7278565173906955,1.7151093795045538,0.0,13.0,0.22219842101763043,0.13025918031280614,0.01274713788614168,0.020321630765892013,0.008306939403843625,0.016867112249282962,0.006685472603761963,0.0028995711671697183,0.0019109956338743106,False,False,e318ff0ee74affeb3a968a47089f92d4f7a1e3f4c17d45d7f2fbae92ee5814cf,1,1.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reuenthal_probe_0.80_rep01,v3a,exp_precontact_centroid_probe,probe_0.80,0.8,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,444,0,24,110,117,132,200,100,1.9928149457997666,2.2172365673084236,0.7938655158806693,0.859711701602293,1.7313389495229128,1.7180107363855006,0.0,0.0,0.22442162150865697,0.0658461857216237,0.01332821313741217,0.01755715602737173,0.0066161660070325895,0.012961507427194614,0.005464515883724507,0.0024445216424716113,0.0017905890855032562,False,False,2c587d1034305777953fd16b328447fe67cae4eef359e2e2678c3e815da41c2b,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reuenthal_probe_0.60_rep01,v3a,exp_precontact_centroid_probe,probe_0.60,0.6,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,489,0,18,111,118,130,136,100,2.0620312686752906,2.2222809218577124,0.8125473436813163,0.8685357627117913,1.7114396507963423,1.7212039250966384,0.0,0.0,0.1602496531824218,0.05598841903047502,0.009764274300296139,0.013195511737861577,0.005151500129792074,0.01613034661171522,0.009867908114987384,0.002465452557662478,0.0015870836857170682,False,False,0e5735a0ac45b6a3dee6a3d25e08aaa65044b386229e1c41718fc789e9ffb2ba,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reuenthal_probe_0.40_rep01,v3a,exp_precontact_centroid_probe,probe_0.40,0.4,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,527,0,8,112,119,166,136,100,2.1462908148598134,2.2337829877703674,1.125620206246762,0.8506395208290704,1.7137356084946198,1.7173343132070327,0.0,0.0,0.087492172910554,0.2749806854176916,0.003598704712412859,0.01046330745827606,0.0037071974668489434,0.014388837852260685,0.00846466478768924,0.0012803539165138413,0.0014764527561812234,False,False,a1c39fcd252638262c57c4fd03c40c717aef0fc94b56450c468ce55a55232a26,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_mittermeyer_base_rep01,v3a,base,base,1.0,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,435,20,0,107,115,126,211,100,2.0244696608337844,2.0379935648108622,0.6720652673359414,0.8570296542078412,1.734557491607079,1.7205555418636773,0.0,18.0,0.013523903977077811,0.18496438687189976,0.014001949743401632,0.02135835996892515,0.014435136769005713,0.019109481565201595,0.017173088705091037,0.0030970261082296697,0.0029242545091600573,False,False,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634,1,1.0,phase2_causal_sweep
FR8_MB2_PD5_vs_mittermeyer_probe_1.00_rep01,v3a,exp_precontact_centroid_probe,probe_1.00,1.0,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,435,20,0,107,115,126,211,100,2.0244696608337844,2.0379935648108622,0.6720652673359414,0.8570296542078412,1.734557491607079,1.7205555418636773,0.0,18.0,0.013523903977077811,0.18496438687189976,0.014001949743401632,0.02135835996892515,0.014435136769005713,0.019109481565201595,0.017173088705091037,0.0030970261082296697,0.0029242545091600573,False,False,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634,1,1.0,phase2_causal_sweep
FR8_MB2_PD5_vs_mittermeyer_probe_0.80_rep01,v3a,exp_precontact_centroid_probe,probe_0.80,0.8,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,462,0,14,108,116,160,173,100,1.9774873100452242,2.106237872599848,0.7567256877399127,0.820881223265174,1.7241970875958286,1.7100108505671037,0.0,0.0,0.12875056255462392,0.06415553552526132,0.014186237028724902,0.018034355765933683,0.012824752016053138,0.016896346596446326,0.016117074641616942,0.0029164174048565477,0.004156328666487836,False,False,82400a61e65a08a7eb74d8c8cf13ff3397f81e1da562e27262eab967481d311f,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_mittermeyer_probe_0.60_rep01,v3a,exp_precontact_centroid_probe,probe_0.60,0.6,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,418,0,21,109,117,128,136,100,2.0542040718282646,2.1054308886018704,0.8325443526285866,0.84771547811074,1.7299427475534948,1.7094480903816565,0.0,0.0,0.051226816773605854,0.01517112548215338,0.020494657171838293,0.014477684566673307,0.011418707599290139,0.014459864094165685,0.01428153788296211,0.0030879997379864464,0.0027756125659452622,False,False,41ebdf2b6e47538b6c53c4b3a63ce4e0d8d82e9cf05b2af34b6a72091aa12ccb,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_mittermeyer_probe_0.40_rep01,v3a,exp_precontact_centroid_probe,probe_0.40,0.4,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,452,0,18,111,119,187,137,100,2.149294266368755,2.168194410994529,1.1294805863309991,0.8485518832802958,1.7147493024497964,1.7085438830289532,0.0,0.0,0.01890014462577394,0.2809287030507033,0.006205419420843183,0.010717944673917424,0.008578771904086374,0.011352101105314523,0.009636508601835698,0.001848816255999916,0.002217834898106808,False,False,8bd55cf009a77c1fee7b61be0b70c6c5556c7b0f441e09e75280eb8caab8d511,1,0.0,phase2_causal_sweep
