run_id,movement_model,movement_v3a_experiment,movement_v3a_variant_id,centroid_probe_scale,runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_window_last_tick,precontact_ar_p90_A,precontact_ar_p90_B,precontact_wedge_p10_A,precontact_wedge_p10_B,precontact_split_p90_A,precontact_split_p90_B,precontact_persistent_outlier_p90,precontact_max_persistence_max,precontact_ar_p90_gap_AB,precontact_wedge_p10_gap_AB,precontact_split_p90_gap_AB,precontact_ar_jitter_A,precontact_ar_jitter_B,precontact_wedge_jitter_A,precontact_wedge_jitter_B,precontact_split_jitter_A,precontact_split_jitter_B,cut_before_contact,pocket_before_contact,determinism_digest,rep_index,precontact_outlier_total_p90,phase_label
FR8_MB2_PD5_vs_kircheis_probe_0.70_rep01,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,444,20,0,106,114,125,238,100,2.018115689440512,1.9890649861703489,0.8034638903003997,0.8244633407488702,1.733545363373691,1.7296829280392205,0.0,11.0,0.029050703270163236,0.020999450448470514,0.0038624353344705042,0.018425296083731172,0.01829874934054039,0.01847495717750109,0.01770168361688926,0.0029147250366130324,0.004714522308065309,False,False,0eb381d297c525a08b87bb5e7173b5a21455174e515250c3778a6872533f7731,1,1.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_kircheis_probe_0.70_rep02,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,444,20,0,106,114,125,238,100,2.018115689440512,1.9890649861703489,0.8034638903003997,0.8244633407488702,1.733545363373691,1.7296829280392205,0.0,11.0,0.029050703270163236,0.020999450448470514,0.0038624353344705042,0.018425296083731172,0.01829874934054039,0.01847495717750109,0.01770168361688926,0.0029147250366130324,0.004714522308065309,False,False,0eb381d297c525a08b87bb5e7173b5a21455174e515250c3778a6872533f7731,2,1.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_base_rep01,v3a,base,base,1.0,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,15,0,108,117,132,135,100,1.9755744071558732,2.1977728281735036,0.7002160827132036,0.8304752630260097,1.7278565173906955,1.7151093795045538,0.0,13.0,0.22219842101763043,0.13025918031280614,0.01274713788614168,0.020321630765892013,0.008306939403843625,0.016867112249282962,0.006685472603761963,0.0028995711671697183,0.0019109956338743106,False,False,e318ff0ee74affeb3a968a47089f92d4f7a1e3f4c17d45d7f2fbae92ee5814cf,1,1.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_base_rep02,v3a,base,base,1.0,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,15,0,108,117,132,135,100,1.9755744071558732,2.1977728281735036,0.7002160827132036,0.8304752630260097,1.7278565173906955,1.7151093795045538,0.0,13.0,0.22219842101763043,0.13025918031280614,0.01274713788614168,0.020321630765892013,0.008306939403843625,0.016867112249282962,0.006685472603761963,0.0028995711671697183,0.0019109956338743106,False,False,e318ff0ee74affeb3a968a47089f92d4f7a1e3f4c17d45d7f2fbae92ee5814cf,2,1.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_probe_0.65_rep01,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,438,0,25,110,118,135,135,100,2.0424708105520946,2.220199737879111,0.8506973003581342,0.8611046836700221,1.7189497802148694,1.7150599287159491,0.0,0.0,0.17772892732701662,0.010407383311887952,0.0038898514989202937,0.014319641519332467,0.005251665654046568,0.015021698336412906,0.004110701094792201,0.003116196547372115,0.0013426005477444756,False,False,a06663a2309771c7f80b5c2dee764b7528c318abe53d790ed72bb37a07d45a5f,1,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_probe_0.65_rep02,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,438,0,25,110,118,135,135,100,2.0424708105520946,2.220199737879111,0.8506973003581342,0.8611046836700221,1.7189497802148694,1.7150599287159491,0.0,0.0,0.17772892732701662,0.010407383311887952,0.0038898514989202937,0.014319641519332467,0.005251665654046568,0.015021698336412906,0.004110701094792201,0.003116196547372115,0.0013426005477444756,False,False,a06663a2309771c7f80b5c2dee764b7528c318abe53d790ed72bb37a07d45a5f,2,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_probe_0.70_rep01,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,469,0,24,110,117,132,135,100,2.036649020869518,2.2205056493623894,0.7955315600322136,0.8723991986274554,1.733712961821076,1.7131809890622693,0.0,0.0,0.18385662849287154,0.07686763859524182,0.020531972758806694,0.014794978712812623,0.005190321504655238,0.019941083928525224,0.010635133620161505,0.003102039056454258,0.0019797703771692356,False,False,42a94d25ddb41784bd9f0eb8b364af912f2ad85672e8a2af13294b2e0053aad7,1,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reuenthal_probe_0.70_rep02,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,469,0,24,110,117,132,135,100,2.036649020869518,2.2205056493623894,0.7955315600322136,0.8723991986274554,1.733712961821076,1.7131809890622693,0.0,0.0,0.18385662849287154,0.07686763859524182,0.020531972758806694,0.014794978712812623,0.005190321504655238,0.019941083928525224,0.010635133620161505,0.003102039056454258,0.0019797703771692356,False,False,42a94d25ddb41784bd9f0eb8b364af912f2ad85672e8a2af13294b2e0053aad7,2,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_mittermeyer_base_rep01,v3a,base,base,1.0,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,435,20,0,107,115,126,211,100,2.0244696608337844,2.0379935648108622,0.6720652673359414,0.8570296542078412,1.734557491607079,1.7205555418636773,0.0,18.0,0.013523903977077811,0.18496438687189976,0.014001949743401632,0.02135835996892515,0.014435136769005713,0.019109481565201595,0.017173088705091037,0.0030970261082296697,0.0029242545091600573,False,False,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634,1,1.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_mittermeyer_base_rep02,v3a,base,base,1.0,v2,8,2,5,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,435,20,0,107,115,126,211,100,2.0244696608337844,2.0379935648108622,0.6720652673359414,0.8570296542078412,1.734557491607079,1.7205555418636773,0.0,18.0,0.013523903977077811,0.18496438687189976,0.014001949743401632,0.02135835996892515,0.014435136769005713,0.019109481565201595,0.017173088705091037,0.0030970261082296697,0.0029242545091600573,False,False,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634,2,1.0,phase3_cv3_stability_recheck
