scale,n_runs,geometry_score,mean_delta_ar_p90_A,mean_delta_wedge_p10_A,mean_delta_persistent_p90,mean_delta_max_persistence,mean_abs_delta_first_contact,p50_abs_delta_cut,p50_abs_delta_pocket
0.65,18,-41.72943693179219,-0.11246289878886347,0.1614184774477768,-2.9555555555555566,-38.5,1.8888888888888888,2.5,28.0
0.7,18,-35.7150163381665,-0.13202785613741574,0.12743292647352727,-2.900000000000001,-32.55555555555556,1.6111111111111112,2.0,14.5
0.75,18,-31.09589950260447,-0.15297698102279833,0.0984780771372279,-2.7333333333333343,-28.11111111111111,1.3333333333333333,2.0,25.5
