run_id,movement_model,movement_v3a_experiment,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,precontact_outlier_total_p90,precontact_persistent_outlier_p90,precontact_max_persistence_max,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB2_PD5_vs_mittermeyer_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,mittermeyer,4,v2,B,542,0,6,107,115,126,142,1.9671808687788659,2.189738780396574,0.698164114820909,0.6672358912720954,1.7375487078043046,0.0,0.0,8.0,2.31467834540813,1.0,1b4a165e46aa8f51106b87d3d95d5300e889e9ac8759939349d1385a13e3873c
precontact_FR8_MB2_PD5_vs_bittenfeld_base,v3a,base,8,2,5,bittenfeld,5,v2,B,463,0,13,105,113,293,201,2.1785768305460884,2.2723283695633056,0.6525169456491424,0.6405939371028174,1.7387112772680688,4.0,1.0,39.0,2.1433252656694814,0.9388419773483638,767e9ec25ff4ebab5dc90c972ce36feabff9e2edf6a62c9d295d6f03d0cc2ad2
precontact_FR8_MB2_PD5_vs_bittenfeld_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,2,5,bittenfeld,5,v2,A,536,7,0,106,114,125,171,1.9754278772320315,2.195845285048795,0.7274496985319737,0.7093948944176871,1.724634305481418,0.0,0.0,0.0,1.8016095936295218,0.9133442310752297,ac1ba4839764f480b6a4b10e26d4cebcf1cfdc479a41f26e0cdad5172afef256
precontact_FR8_MB2_PD5_vs_bittenfeld_exp_b_distance_capped,v3a,exp_b_distance_capped,8,2,5,bittenfeld,5,v2,A,462,13,0,105,113,124,213,2.1715614845087656,2.241838612389953,0.6404053227050583,0.6281784987528334,1.7513948248749083,3.0,1.0,30.0,2.013446327281577,0.9438586366675832,cf237c0f5f841463cf4e2de7c9aa08371ab1bb39d6de1c2eb27695b045ed8747
precontact_FR8_MB2_PD5_vs_bittenfeld_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,bittenfeld,5,v2,B,500,0,10,105,113,124,168,2.060207552619739,2.189738780396574,0.6178677874689033,0.6135663306088851,1.744177695248424,1.0,0.0,27.0,2.1232810888019213,0.8640493346059258,c89c273e3123cf62f2969df1a1468c946d12d6043ce4095e440ab31f9aec8133
precontact_FR8_MB2_PD5_vs_muller_base,v3a,base,8,2,5,muller,6,v2,B,474,0,11,105,113,124,217,2.137429399175506,2.2440587443092133,0.6488850502880219,0.6282193061257215,1.7381664286573473,6.0,5.0,55.0,2.2953395762604334,0.9620838166426022,be66c18bb3ff450b7ae9e968898ce9ccd0bf62db6b29286a829dbacef51c805c
precontact_FR8_MB2_PD5_vs_muller_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,2,5,muller,6,v2,B,393,0,23,106,113,125,148,1.9779264065671636,2.195845285048795,0.732360592943384,0.7187263368682724,1.7223745496224825,1.0,0.0,21.0,2.0185203068833295,0.922397749956821,5f1f4b29998fc50ecd24f160d2760673dd60864d3b4e4b0e25640d0c520b742d
precontact_FR8_MB2_PD5_vs_muller_exp_b_distance_capped,v3a,exp_b_distance_capped,8,2,5,muller,6,v2,B,375,0,29,105,113,124,203,2.1865404938969513,2.272208570136768,0.5979862913392633,0.587314251673343,1.7564439324013956,6.1000000000000085,5.0,57.0,2.2626331469527985,1.0051577723644805,8ca046bb47d78b05ea1f51a371d44601e5f91716adc14d43944b98cc6d535eee
precontact_FR8_MB2_PD5_vs_muller_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,muller,6,v2,A,424,19,0,104,113,123,193,2.1156458666151043,2.189738780396574,0.5983861697071967,0.5901175096617275,1.7413960415303065,5.0,1.1000000000000085,47.0,2.020100029084742,0.9617555290379793,b09a1a4bf80a2ce5687971df7423d2f2a7c3d512cc2f2247171ae64c344e8257
precontact_FR8_MB5_PD5_vs_reinhard_base,v3a,base,8,5,5,reinhard,1,v2,A,492,8,0,105,114,124,177,2.221159569105,2.3126505443383634,0.6399963160728345,0.6291535316842265,1.7384327954258731,4.1000000000000085,2.0,41.0,2.1294883743313844,0.9694855194318126,9fd50a75cd55759a9b25b9ba4bf704b97c3f4bc9b21d9faaa139ce023ef43d85
