movement_model,cell_MB,n_runs,win_rate_A,precontact_ar_p90_A_mean,precontact_ar_max_A_mean,precontact_wedge_p10_A_mean,overall_ar_p90_A_mean,end_tick_mean,cut_tick_T_mean
v3a,2,6,0.6666666666666666,2.1458945436503587,2.2569683364576876,0.6622909056136868,2.1100688391275835,452.8333333333333,153.83333333333334
v3a,5,6,0.8333333333333334,2.195773291458563,2.287483370650712,0.6296014652756572,2.1048503445621773,490.3333333333333,154.5
v3a,8,6,0.3333333333333333,2.1715922428321366,2.2368761564895534,0.604785765634564,2.1415183198350554,466.6666666666667,219.0
v3b1,2,6,0.8333333333333334,2.36335895521289,2.5288438344280197,0.6242196180219314,2.164004032514321,419.6666666666667,212.83333333333334
v3b1,5,6,0.3333333333333333,2.327129004986858,2.40284835204773,0.6652418082231257,2.2243205141144173,469.5,260.5
v3b1,8,6,0.5,2.290261202674414,2.3738616113100273,0.5887431392907864,2.1191213925749195,445.3333333333333,247.0
v3b2,2,6,0.6666666666666666,2.2612461960347665,2.3287576039156277,0.6018412513601655,2.1069243288072896,425.6666666666667,238.33333333333334
v3b2,5,6,0.3333333333333333,2.2354679909543393,2.2955537536388575,0.6465541765911111,2.1346243626096864,455.6666666666667,249.66666666666666
v3b2,8,6,0.8333333333333334,2.170113298914495,2.2411162566912304,0.6016930119924814,2.0493913030577064,442.1666666666667,265.5
v3b3,2,6,0.6666666666666666,2.235608226918307,2.313270100702511,0.6186546507570435,2.1252593526447097,460.6666666666667,221.16666666666666
v3b3,5,6,0.8333333333333334,2.179414777218379,2.2427535386051534,0.6453462707325153,2.056182557796372,442.6666666666667,235.5
v3b3,8,6,1.0,2.1633501782101945,2.2176766093170044,0.6032176732982429,2.047952132288048,433.5,289.6666666666667
v3b4,2,6,0.5,2.1022841958028025,2.1862687152412863,0.6186959692500873,2.0858109401933125,484.6666666666667,262.5
v3b4,5,6,0.6666666666666666,2.099456797861185,2.1840683277974993,0.6296151706730518,2.078598280336281,450.3333333333333,214.83333333333334
v3b4,8,6,0.3333333333333333,2.05509041657624,2.1811532090517765,0.6276352280258586,2.0555124220069936,481.0,266.3333333333333
v3b5,2,6,0.8333333333333334,2.018829396740951,2.1862687152412863,0.6437225444656237,2.0025998619295167,424.5,210.83333333333334
v3b5,5,6,0.8333333333333334,2.018416485903562,2.1840683277974993,0.6347629133030607,2.017028671221107,432.5,226.4
v3b5,8,6,0.8333333333333334,1.9950146171224128,2.1811532090517765,0.6498530346655925,1.9407991342078441,451.3333333333333,200.66666666666666
