case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR2_MB2_PD2,2.0,2.0,2.0,0,A,100,33,0.33,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,0.04052646724512632,0.004912299060015335,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,0,B,100,4,0.04,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,0.004912299060015335,0.04052646724512632,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,1,A,100,90,0.9,15.076330865909883,14.373870632885065,9.349009767539977,20.0,0.4674504883769989,1.0,0.9,0.10864958111885437,0.02556459060601124,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,1,B,100,21,0.21,184.9417004238046,185.64657500864143,9.378124435772918,20.0,0.4689062217886459,1.0,0.21,0.02556459060601124,0.10864958111885437,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,2,A,100,30,0.3,15.75188264749779,15.052601231875878,9.409830375138881,20.0,0.47049151875694406,1.0,0.3,0.03545705253781872,0.04198265923228239,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,2,B,100,35,0.35,184.2710174717189,184.98153905944974,9.33332440597861,20.0,0.4666662202989305,1.0,0.35,0.04198265923228239,0.03545705253781872,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,3,A,100,32,0.32,16.420207405349633,15.727474280704904,9.434187531980047,20.0,0.47170937659900236,1.0,0.32,0.03726661541639642,0.038052864350391236,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,3,B,100,32,0.32,183.587541971087,184.307796995578,9.327422694479814,20.0,0.4663711347239907,1.0,0.32,0.038052864350391236,0.03726661541639642,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,4,A,100,59,0.59,17.097515719816013,16.400296541527965,9.462278360139617,20.0,0.4731139180069809,1.0,0.59,0.06794229265428076,0.0372790649960959,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,4,B,100,31,0.31,182.90554811067278,183.62757543072843,9.343041660518413,20.0,0.46715208302592065,1.0,0.31,0.0372790649960959,0.06794229265428076,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,5,A,100,47,0.47,17.76692868988291,17.09270360012094,9.466119593193369,20.0,0.4733059796596685,1.0,0.47,0.05432999563578733,0.05544545922264399,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,5,B,100,46,0.46,182.2266579949121,182.952917539812,9.343945765755253,20.0,0.46719728828776264,1.0,0.46,0.05544545922264399,0.05432999563578733,0.8888888888888888,1
