case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,0,A,100,33,0.33,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,0.04052646724512632,0.004912299060015335,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,0,B,100,4,0.04,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,0.004912299060015335,0.04052646724512632,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,1,A,100,92,0.92,15.026507409421553,14.334376840031831,9.167180036500431,20.0,0.45835900182502154,1.0,0.92,0.11449233937138736,0.02567904681841937,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,1,B,100,21,0.21,184.9895699757317,185.6974574863639,9.213024889356001,20.0,0.46065124446780004,1.0,0.21,0.02567904681841937,0.11449233937138736,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,2,A,100,82,0.82,15.653100982613076,14.981217129993453,9.076560925682966,20.0,0.4538280462841483,1.0,0.82,0.10247820027873944,0.0896438946109478,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,2,B,100,71,0.71,184.37507980433722,185.08915466297896,8.993910243803976,20.0,0.44969551219019877,1.0,0.71,0.0896438946109478,0.10247820027873944,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,3,A,100,81,0.81,16.240088962527548,15.638222297308307,8.92819865273886,20.0,0.446409932636943,1.0,0.81,0.10499802075463116,0.09903143138802051,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,3,B,100,75,0.75,183.74861649481994,184.4679964577752,8.858317671541428,20.0,0.4429158835770714,1.0,0.75,0.09903143138802051,0.10499802075463116,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,4,A,100,85,0.85,16.872086507312204,16.275104379183528,8.794258144558734,20.0,0.4397129072279367,1.0,0.85,0.11460937684316996,0.094521560255857,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,4,B,100,69,0.69,183.14570244673135,183.82622465727687,8.714616567721603,20.0,0.4357308283860801,1.0,0.69,0.094521560255857,0.11460937684316996,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,5,A,100,59,0.59,17.471776106549406,16.91517687768601,8.65621185066834,20.0,0.432810592533417,1.0,0.59,0.08357776192087218,0.11373618130085583,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,5,B,100,77,0.77,182.51334170100083,183.2035484597576,8.608928174657038,20.0,0.4304464087328519,1.0,0.77,0.11373618130085583,0.08357776192087218,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,6,A,100,81,0.81,18.080454645213134,17.57219795175988,8.568460688244103,20.0,0.4284230344122052,1.0,0.81,0.1169597856159249,0.10211331734780504,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,6,B,100,67,0.67,181.89657183262455,182.56601129884734,8.536109320157815,20.0,0.4268054660078907,1.0,0.67,0.10211331734780504,0.1169597856159249,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,7,A,100,81,0.81,18.70435225760182,18.19916327620405,8.466640283635089,20.0,0.4233320141817544,1.0,0.81,0.12392469443471754,0.11165841875544147,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,7,B,100,69,0.69,181.26146851225622,181.9182776769898,8.432479333542584,20.0,0.4216239666771292,1.0,0.69,0.11165841875544147,0.12392469443471754,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,8,A,100,65,0.65,19.334799452425397,18.84037190902114,8.408311371049075,20.0,0.42041556855245377,1.0,0.65,0.10398394161807323,0.122543944385623,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,8,B,100,71,0.71,180.6439485112891,181.26996275481,8.346166269067545,20.0,0.41730831345337727,1.0,0.71,0.122543944385623,0.10398394161807323,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,9,A,100,77,0.77,19.958412505549003,19.473157470912017,8.307583714756024,20.0,0.4153791857378012,1.0,0.77,0.13311251253280032,0.1123707757904252,0.5555555555555556,1
