case_id,fr,mb,pd,side,C_conn_abs_t0,C_conn_rel_t0,C_scale_t0,C_v3_t0,C_v3p1_t0,d_ref_t0,d_nn_mean_t0,d_nn_p95_t0,C_conn_abs_t1,C_conn_rel_t1,C_scale_t1,C_v3_t1,C_v3p1_t1,d_ref_t1,drop_t1,dominant_cause_t1
FR5_MB5_PD8,5.0,5.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.85,1.0,1.0,0.85,1.0,1.924031453911342,0.0,none
FR5_MB5_PD8,5.0,5.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.25,1.0,1.0,0.25,1.0,1.8840805538070065,0.0,none
FR5_MB8_PD2,5.0,8.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.85,1.0,1.0,0.85,1.0,1.8996592709977849,0.0,none
FR5_MB8_PD2,5.0,8.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.25,1.0,1.0,0.25,1.0,1.8532674519600891,0.0,none
FR5_MB8_PD5,5.0,8.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.85,1.0,1.0,0.85,1.0,1.9015968538206975,0.0,none
FR5_MB8_PD5,5.0,8.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.8578150301788772,0.0,none
FR5_MB8_PD8,5.0,8.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.85,1.0,1.0,0.85,1.0,1.9018722575307994,0.0,none
FR5_MB8_PD8,5.0,8.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.8585755191017106,0.0,none
FR8_MB2_PD2,8.0,2.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.9131627821971726,0.0,none
FR8_MB2_PD2,8.0,2.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.9039909262053636,0.0,none
FR8_MB2_PD5,8.0,2.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.9138587433796879,0.0,none
FR8_MB2_PD5,8.0,2.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.9077817625897109,0.0,none
FR8_MB2_PD8,8.0,2.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.9137822164680285,0.0,none
FR8_MB2_PD8,8.0,2.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.906425121957438,0.0,none
FR8_MB5_PD2,8.0,5.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.8966804190124829,0.0,none
FR8_MB5_PD2,8.0,5.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.8821863638332927,0.0,none
FR8_MB5_PD5,8.0,5.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.8971357388468828,0.0,none
FR8_MB5_PD5,8.0,5.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.892597107453557,0.0,none
FR8_MB5_PD8,8.0,5.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.8972015722706088,0.0,none
FR8_MB5_PD8,8.0,5.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.29,1.0,1.0,0.29,1.0,1.8910136901740149,0.0,none
FR8_MB8_PD2,8.0,8.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.8719798915494075,0.0,none
FR8_MB8_PD2,8.0,8.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.33,1.0,1.0,0.33,1.0,1.8567212564326334,0.0,none
FR8_MB8_PD5,8.0,8.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.878594255419823,0.0,none
FR8_MB8_PD5,8.0,8.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.8644703349005072,0.0,none
FR8_MB8_PD8,8.0,8.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.8795793749633443,0.0,none
FR8_MB8_PD8,8.0,8.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.8673609416278731,0.0,none
