case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR2_MB2_PD2,2.0,2.0,2.0,0,A,100,0,33,0.33,100,1.0,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,1.0,1.9999999999999991,1.9999999999999973,2.0000000000000004,0.04052646724512632,0.004912299060015335,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,0,B,100,0,4,0.04,100,1.0,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,1.0,1.9999999999999778,1.9999999999999758,2.000000000000016,0.004912299060015335,0.04052646724512632,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,1,A,100,0,90,0.9,100,1.0,15.076330865909883,14.373870632885065,9.349009767539977,20.0,0.4674504883769989,1.0,0.9,1.0,1.9237532498412588,1.9710498920769388,2.0000000000000018,0.10864958111885437,0.02556459060601124,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,1,B,100,0,21,0.21,100,1.0,184.9417004238046,185.64657500864143,9.378124435772918,20.0,0.4689062217886459,1.0,0.21,1.0,1.8971934979944305,1.9012193678487073,2.000019801631294,0.02556459060601124,0.10864958111885437,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,2,A,100,0,30,0.3,100,1.0,15.75188264749779,15.052601231875878,9.409830375138881,20.0,0.47049151875694406,1.0,0.3,1.0,1.9073798605386276,1.9560403736803984,2.0040675794108136,0.03545705253781872,0.04198265923228239,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,2,B,100,0,35,0.35,100,1.0,184.2710174717189,184.98153905944974,9.33332440597861,20.0,0.4666662202989305,1.0,0.35,1.0,1.9061612860089996,1.958207425782776,2.0164296053818545,0.04198265923228239,0.03545705253781872,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,3,A,100,0,32,0.32,100,1.0,16.420207405349633,15.727474280704904,9.434187531980047,20.0,0.47170937659900236,1.0,0.32,1.0,1.898252992101021,1.9516578293322153,2.0000000398710673,0.03726661541639642,0.038052864350391236,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,3,B,100,0,32,0.32,100,1.0,183.587541971087,184.307796995578,9.327422694479814,20.0,0.4663711347239907,1.0,0.32,1.0,1.908263111740117,1.9656694872517622,2.0231791006290916,0.038052864350391236,0.03726661541639642,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,4,A,100,0,59,0.59,100,1.0,17.097515719816013,16.400296541527965,9.462278360139617,20.0,0.4731139180069809,1.0,0.59,1.0,1.9131561510545172,1.9610569914474194,2.0005132191547927,0.06794229265428076,0.0372790649960959,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,4,B,100,0,31,0.31,100,1.0,182.90554811067278,183.62757543072843,9.343041660518413,20.0,0.46715208302592065,1.0,0.31,1.0,1.9258512475537983,1.9646690286101594,2.036159582587478,0.0372790649960959,0.06794229265428076,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,5,A,100,0,47,0.47,100,1.0,17.76692868988291,17.09270360012094,9.466119593193369,20.0,0.4733059796596685,1.0,0.47,1.0,1.9233273085850469,1.9643757073017514,2.0276457862387542,0.05432999563578733,0.05544545922264399,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,5,B,100,0,46,0.46,100,1.0,182.2266579949121,182.952917539812,9.343945765755253,20.0,0.46719728828776264,1.0,0.46,1.0,1.9255859601156602,1.9546557305461705,2.0266931847960943,0.05544545922264399,0.05432999563578733,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,6,A,100,0,47,0.47,100,1.0,18.449059514930344,17.770775242410352,9.470282240145885,20.0,0.4735141120072942,1.0,0.47,1.0,1.9395571514441912,1.9829462021138817,2.0184912723479176,0.054036383037527336,0.03277174850779385,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,6,B,100,0,27,0.27,100,1.0,181.54915254626147,182.27935592391614,9.34058048348717,20.0,0.4670290241743585,1.0,0.27,1.0,1.9132019161360083,1.970188252759917,2.0139882410034526,0.03277174850779385,0.054036383037527336,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,7,A,100,0,45,0.45,100,1.0,19.124965012863647,18.46725641745167,9.461689028631941,20.0,0.47308445143159705,1.0,0.45,1.0,1.9455232045760593,1.9653672939677558,2.017520673132037,0.05190573502730311,0.05920694222911016,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,7,B,100,0,48,0.48,100,1.0,180.87018366553875,181.5981713918813,9.339810619615838,20.0,0.4669905309807919,1.0,0.48,1.0,1.9406913086148878,1.9769917297107589,2.041326702534,0.05920694222911016,0.05190573502730311,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,8,A,100,0,54,0.54,100,1.0,19.799527537679634,19.153944764927786,9.449542505281102,20.0,0.47247712526405505,1.0,0.54,1.0,1.921524316030551,1.9458444962602428,2.007957537412451,0.06295653384509003,0.03490742463635188,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,8,B,100,0,28,0.28,100,1.0,180.1885245728432,180.9154584933984,9.344472332705617,20.0,0.4672236166352809,1.0,0.28,1.0,1.9511280671355593,1.965053187425226,2.0321037604707044,0.03490742463635188,0.06295653384509003,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,9,A,100,0,41,0.41,100,1.0,20.483018070347857,19.834093098146838,9.449310515016286,20.0,0.4724655257508143,1.0,0.41,1.0,1.9207224256476527,1.9544002589689224,2.007317746183211,0.048372107106653406,0.02564935826210779,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,9,B,100,0,21,0.21,100,1.0,179.51407709208667,180.21974596487522,9.348565575289566,20.0,0.4674282787644783,1.0,0.21,1.0,1.9536067975271323,1.9688834344679926,2.074492808242252,0.02564935826210779,0.048372107106653406,0.8888888888888888,1
FR2_MB2_PD2,2.0,2.0,2.0,10,A,100,0,54,0.54,100,1.0,21.156763676480736,20.52442360460212,9.456303881988237,20.0,0.47281519409941186,1.0,0.54,1.0,1.9426477484548428,1.9687782983266238,2.003957646238868,0.06275427161170621,0.02556603214568076,0.8888888888888888,1
